label,value,team,situation,n_games,rank,rank_chart_value
Penalty Kill,-15.04,STL,4on5,last 5 games,30th,2.0
Powerplay,60.93000000000001,STL,5on4,all,25th,8.0
Powerplay,11.319999999999999,STL,5on4,last 20 games,28th,5.0
Powerplay,4.26,STL,5on4,last 10 games,29th,4.0
Powerplay,3.67,STL,5on4,last 5 games,20th,13.0
Penalty Kill,-72.47000000000001,TBL,4on5,all,13th,20.0
Penalty Kill,-14.969999999999999,TBL,4on5,last 20 games,16th,17.0
Penalty Kill,-5.060000000000001,TBL,4on5,last 10 games,5th,28.0
Penalty Kill,-2.4699999999999998,TBL,4on5,last 5 games,9th,23.0
Powerplay,91.46,TBL,5on4,all,5th,28.0
Powerplay,19.980000000000004,TBL,5on4,last 20 games,7th,26.0
Powerplay,8.35,TBL,5on4,last 10 games,19th,14.0
Powerplay,3.69,TBL,5on4,last 5 games,19th,14.0
Penalty Kill,-57.099999999999994,TOR,4on5,all,5th,28.0
Penalty Kill,-14.34,TOR,4on5,last 20 games,14th,19.0
Penalty Kill,-5.67,TOR,4on5,last 10 games,7th,26.0
Penalty Kill,-3.2,TOR,4on5,last 5 games,13th,19.0
Powerplay,87.87,TOR,5on4,all,8th,25.0
Powerplay,17.11,TOR,5on4,last 20 games,17th,16.0
Powerplay,9.270000000000001,TOR,5on4,last 10 games,14th,19.0
Powerplay,7.31,TOR,5on4,last 5 games,6th,27.0
Penalty Kill,-79.60999999999999,VAN,4on5,all,19th,14.0
Penalty Kill,-10.419999999999998,VAN,4on5,last 20 games,4th,29.0
Penalty Kill,-6.799999999999999,VAN,4on5,last 10 games,13th,20.0
Penalty Kill,-3.85,VAN,4on5,last 5 games,16th,16.0
Powerplay,78.28999999999999,VAN,5on4,all,16th,17.0
Powerplay,17.590000000000003,VAN,5on4,last 20 games,15th,18.0
Powerplay,8.96,VAN,5on4,last 10 games,17th,16.0
Powerplay,6.1,VAN,5on4,last 5 games,8th,25.0
Penalty Kill,-49.75999999999999,VGK,4on5,all,2nd,31.0
Penalty Kill,-16.61,VGK,4on5,last 20 games,18th,15.0
Penalty Kill,-10.27,VGK,4on5,last 10 games,22nd,11.0
Penalty Kill,-6.69,VGK,4on5,last 5 games,26th,6.0
Powerplay,73.46,VGK,5on4,all,19th,14.0
Powerplay,17.7,VGK,5on4,last 20 games,13th,20.0
Powerplay,11.879999999999999,VGK,5on4,last 10 games,6th,27.0
Powerplay,5.1899999999999995,VGK,5on4,last 5 games,11th,22.0
Penalty Kill,-64.43,WPG,4on5,all,10th,23.0
Penalty Kill,-19.429999999999996,WPG,4on5,last 20 games,22nd,11.0
Penalty Kill,-5.92,WPG,4on5,last 10 games,10th,23.0
Penalty Kill,-6.34,WPG,4on5,last 5 games,23rd,9.0
Powerplay,77.74,WPG,5on4,all,17th,16.0
Powerplay,16.939999999999998,WPG,5on4,last 20 games,18th,15.0
Powerplay,6.88,WPG,5on4,last 10 games,24th,9.0
Powerplay,3.5500000000000003,WPG,5on4,last 5 games,22nd,11.0
Penalty Kill,-66.74,WSH,4on5,all,12th,21.0
Penalty Kill,-17.680000000000003,WSH,4on5,last 20 games,19th,14.0
Penalty Kill,-8.84,WSH,4on5,last 10 games,18th,15.0
Penalty Kill,-4.85,WSH,4on5,last 5 games,18th,14.0
Powerplay,70.64,WSH,5on4,all,20th,13.0
Powerplay,19.24,WSH,5on4,last 20 games,9th,24.0
Powerplay,11.46,WSH,5on4,last 10 games,7th,26.0
Powerplay,3.4199999999999995,WSH,5on4,last 5 games,24th,9.0
Defense,449.51,ANA,5on5,all,32nd,1.0
Defense,110.49000000000001,ANA,5on5,last 20 games,26th,7.0
Defense,63.79,ANA,5on5,last 10 games,30th,2.0
Defense,34.14,ANA,5on5,last 5 games,30th,2.0
Defense,390.6,ARI,5on5,all,25th,8.0
Defense,97.59,ARI,5on5,last 20 games,21st,12.0
Defense,44.8,ARI,5on5,last 10 games,10th,22.0
Defense,27.89,ARI,5on5,last 5 games,26th,6.0
Defense,282.61,BOS,5on5,all,1st,32.0
Defense,78.06,BOS,5on5,last 20 games,2nd,31.0
Defense,36.33,BOS,5on5,last 10 games,3rd,29.0
Defense,22.84,BOS,5on5,last 5 games,15th,17.0
Defense,405.06,BUF,5on5,all,26th,7.0
Defense,130.22,BUF,5on5,last 20 games,31st,2.0
Defense,58.07,BUF,5on5,last 10 games,26th,6.0
Defense,24.439999999999998,BUF,5on5,last 5 games,19th,13.0
Defense,286.58000000000004,CAR,5on5,all,2nd,31.0
Defense,79.2,CAR,5on5,last 20 games,4th,29.0
Defense,41.56,CAR,5on5,last 10 games,7th,25.0
Defense,16.6,CAR,5on5,last 5 games,2nd,30.0
Defense,439.33000000000004,CBJ,5on5,all,31st,2.0
Defense,138.74,CBJ,5on5,last 20 games,32nd,1.0
Defense,77.85,CBJ,5on5,last 10 games,31st,1.0
Defense,36.03,CBJ,5on5,last 5 games,31st,1.0
Defense,333.95,CGY,5on5,all,10th,23.0
Defense,91.91,CGY,5on5,last 20 games,13th,20.0
Defense,49.82,CGY,5on5,last 10 games,22nd,10.0
Defense,24.8,CGY,5on5,last 5 games,22nd,10.0
Defense,418.95,CHI,5on5,all,30th,3.0
Defense,115.7,CHI,5on5,last 20 games,29th,4.0
Defense,60.629999999999995,CHI,5on5,last 10 games,29th,3.0
Defense,31.310000000000002,CHI,5on5,last 5 games,29th,3.0
Defense,308.4,COL,5on5,all,3rd,30.0
Defense,81.84,COL,5on5,last 20 games,6th,27.0
Defense,34.010000000000005,COL,5on5,last 10 games,2nd,30.0
Defense,16.23,COL,5on5,last 5 games,1st,31.0
Defense,318.14,DAL,5on5,all,6th,27.0
Defense,93.33,DAL,5on5,last 20 games,16th,17.0
Defense,49.8,DAL,5on5,last 10 games,21st,11.0
Defense,18.27,DAL,5on5,last 5 games,6th,26.0
Defense,342.77,DET,5on5,all,13th,20.0
Defense,91.52000000000001,DET,5on5,last 20 games,10th,23.0
Defense,47.129999999999995,DET,5on5,last 10 games,14th,18.0
Defense,25.11,DET,5on5,last 5 games,23rd,9.0
Defense,340.61,EDM,5on5,all,12th,21.0
Defense,92.38,EDM,5on5,last 20 games,14th,19.0
Defense,43.04,EDM,5on5,last 10 games,9th,23.0
Defense,21.64,EDM,5on5,last 5 games,11th,21.0
Defense,366.22,FLA,5on5,all,21st,12.0
Defense,91.86,FLA,5on5,last 20 games,12th,21.0
Defense,47.89,FLA,5on5,last 10 games,17th,15.0
Defense,18.23,FLA,5on5,last 5 games,5th,27.0
Defense,326.27,LAK,5on5,all,8th,25.0
Defense,67.75,LAK,5on5,last 20 games,1st,32.0
Defense,31.08,LAK,5on5,last 10 games,1st,31.0
Defense,18.07,LAK,5on5,last 5 games,4th,28.0
Defense,316.18,MIN,5on5,all,4th,29.0
Defense,78.19,MIN,5on5,last 20 games,3rd,30.0
Defense,45.75,MIN,5on5,last 10 games,11th,21.0
Defense,21.98,MIN,5on5,last 5 games,12th,20.0
Defense,415.0,MTL,5on5,all,29th,4.0
Defense,112.88,MTL,5on5,last 20 games,27th,6.0
Defense,59.85,MTL,5on5,last 10 games,28th,4.0
Defense,25.869999999999997,MTL,5on5,last 5 games,25th,7.0
Defense,323.94,NJD,5on5,all,7th,26.0
Defense,91.72,NJD,5on5,last 20 games,11th,22.0
Defense,48.42,NJD,5on5,last 10 games,18th,14.0
Defense,25.130000000000003,NJD,5on5,last 5 games,24th,8.0
Defense,363.49,NSH,5on5,all,19th,14.0
Defense,97.43,NSH,5on5,last 20 games,20th,13.0
Defense,49.41,NSH,5on5,last 10 games,20th,12.0
Defense,19.22,NSH,5on5,last 5 games,8th,24.0
Defense,351.99,NYI,5on5,all,16th,17.0
Defense,85.8,NYI,5on5,last 20 games,7th,26.0
Defense,47.67,NYI,5on5,last 10 games,15th,17.0
Defense,24.259999999999998,NYI,5on5,last 5 games,18th,14.0
Defense,326.68,NYR,5on5,all,9th,24.0
Defense,89.99000000000001,NYR,5on5,last 20 games,8th,25.0
Defense,40.41,NYR,5on5,last 10 games,5th,27.0
Defense,22.689999999999998,NYR,5on5,last 5 games,14th,18.0
Defense,363.28,OTT,5on5,all,18th,15.0
Defense,101.42,OTT,5on5,last 20 games,25th,8.0
Defense,47.75,OTT,5on5,last 10 games,16th,16.0
Defense,24.8,OTT,5on5,last 5 games,22nd,10.0
Defense,367.40999999999997,PHI,5on5,all,22nd,11.0
Defense,99.11,PHI,5on5,last 20 games,22nd,11.0
Defense,53.7,PHI,5on5,last 10 games,24th,8.0
Defense,28.77,PHI,5on5,last 5 games,27th,5.0
Defense,365.3,PIT,5on5,all,20th,13.0
Defense,92.57,PIT,5on5,last 20 games,15th,18.0
Defense,49.3,PIT,5on5,last 10 games,19th,13.0
Defense,23.490000000000002,PIT,5on5,last 5 games,17th,15.0
Defense,335.37,SEA,5on5,all,11th,22.0
Defense,94.28,SEA,5on5,last 20 games,18th,15.0
Defense,40.41,SEA,5on5,last 10 games,5th,27.0
Defense,18.8,SEA,5on5,last 5 games,7th,25.0
Defense,414.59000000000003,SJS,5on5,all,27th,6.0
Defense,115.6,SJS,5on5,last 20 games,28th,5.0
Defense,56.1,SJS,5on5,last 10 games,25th,7.0
Defense,28.86,SJS,5on5,last 5 games,28th,4.0
Defense,414.94,STL,5on5,all,28th,5.0
Defense,99.93,STL,5on5,last 20 games,23rd,10.0
Defense,41.6,STL,5on5,last 10 games,8th,24.0
Defense,24.630000000000003,STL,5on5,last 5 games,21st,11.0
Defense,352.0,TBL,5on5,all,17th,16.0
Defense,94.0,TBL,5on5,last 20 games,17th,16.0
Defense,45.91,TBL,5on5,last 10 games,12th,20.0
Defense,20.0,TBL,5on5,last 5 games,9th,23.0
Defense,316.62,TOR,5on5,all,5th,28.0
Defense,94.59,TOR,5on5,last 20 games,19th,14.0
Defense,46.65,TOR,5on5,last 10 games,13th,19.0
Defense,22.23,TOR,5on5,last 5 games,13th,19.0
Defense,372.73,VAN,5on5,all,23rd,10.0
Defense,79.41,VAN,5on5,last 20 games,5th,28.0
Defense,38.9,VAN,5on5,last 10 games,4th,28.0
Defense,20.68,VAN,5on5,last 5 games,10th,22.0
Defense,350.34000000000003,VGK,5on5,all,15th,18.0
Defense,100.72999999999999,VGK,5on5,last 20 games,24th,9.0
Defense,52.239999999999995,VGK,5on5,last 10 games,23rd,9.0
Defense,22.92,VGK,5on5,last 5 games,16th,16.0
Defense,345.64,WPG,5on5,all,14th,19.0
Defense,90.42,WPG,5on5,last 20 games,9th,24.0
Defense,41.2,WPG,5on5,last 10 games,6th,26.0
Defense,17.45,WPG,5on5,last 5 games,3rd,29.0
Defense,377.03,WSH,5on5,all,24th,9.0
Defense,116.6,WSH,5on5,last 20 games,30th,3.0
Defense,59.79,WSH,5on5,last 10 games,27th,5.0
Defense,24.509999999999998,WSH,5on5,last 5 games,20th,12.0
