season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,g_dif,xg_dif,fwf_dif,hdsc_dif,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,offense,defense,differential
20122013,2012020001,2013-01-19,PHI,1,HOME,PIT,L,REG,1,3,4on5,3.8833333333333333,0,2,0.0,0.589,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.5,0,6,0.0,0,8,0.0,-2,-0.589,-6,-1.0,0,4,0.0,0.0,0.0,2.0,2.0,1.0,0,3,0.0,0.5,0,2,0,2,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.589,-2.589
20122013,2012020001,2013-01-19,PHI,1,HOME,PIT,L,REG,1,3,5on4,8.866666666666667,0,0,1.357,0.0,1.0,4.0,0.0,1.0,9.0,0.0,1.0,2.625,0.0,16,0,1.0,18,1,0.95,0,1.357,16,4.0,11,0,5.0,4.0,3.0,0.0,0.0,0.0,6,0,0.375,0.0,2,1,5,0,0.28,0.0,0.11,1.0,1.0,2.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.357,0.0,1.357
20122013,2012020001,2013-01-19,PHI,1,HOME,PIT,L,REG,1,3,5on5,45.666666666666664,1,1,1.565,2.238,0.41,5.0,2.0,0.71,8.0,9.0,0.47,2.2916666666666665,2.1176470588235294,26,35,0.43,36,44,0.45,0,-0.673,-9,3.0,16,23,3.0,10.0,6.0,7.0,18.0,7.0,13,17,0.5416666666666666,0.5,10,9,10,12,0.28,0.27,0.28,0.2,2.0,4.0,5.0,10.0,17.0,27.0,38.0,7.0,9.0,7.0,36.0,10.0,8.0,7.0,3.0,5.0,2.565,3.238,-0.673
20122013,2012020001,2013-01-19,PHI,1,HOME,PIT,L,REG,1,3,all,60.0,1,3,2.922,2.827,0.51,9.0,3.0,0.75,17.0,12.0,0.59,2.425,2.175,42,41,0.51,54,53,0.5,-2,0.0950000000000002,1,6.0,27,27,8.0,14.0,9.0,9.0,20.0,8.0,19,20,0.475,0.5,12,12,15,14,0.28,0.26,0.22,0.23,3.0,6.0,5.0,10.0,27.0,35.0,40.0,8.0,12.0,9.0,37.0,10.0,8.0,7.0,4.0,5.0,3.922,5.827,-1.9049999999999998
20122013,2012020001,2013-01-19,PHI,1,HOME,PIT,L,REG,1,3,other,1.5833333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20122013,2012020001,2013-01-19,PIT,1,AWAY,PHI,W,REG,3,1,4on5,8.866666666666667,0,0,0.0,1.357,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,2.625,0,16,0.0,1,18,0.05,0,-1.357,-16,-4.0,0,11,0.0,0.0,0.0,5.0,4.0,3.0,0,6,0.0,0.375,1,2,0,5,0.0,0.28,1.0,0.11,0.0,0.0,1.0,2.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.357,-1.357
20122013,2012020001,2013-01-19,PIT,1,AWAY,PHI,W,REG,3,1,5on4,3.8833333333333333,2,0,0.589,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.5,0.0,6,0,1.0,8,0,1.0,2,0.589,6,1.0,4,0,2.0,2.0,1.0,0.0,0.0,0.0,3,0,0.5,0.0,2,0,2,0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.589,0.0,2.589
20122013,2012020001,2013-01-19,PIT,1,AWAY,PHI,W,REG,3,1,5on5,45.666666666666664,1,1,2.238,1.565,0.59,2.0,5.0,0.29,9.0,8.0,0.53,2.1176470588235294,2.2916666666666665,35,26,0.57,44,36,0.55,0,0.673,9,-3.0,23,16,7.0,18.0,7.0,3.0,10.0,6.0,17,13,0.5,0.5416666666666666,9,10,12,10,0.27,0.28,0.2,0.28,5.0,10.0,2.0,4.0,27.0,17.0,36.0,10.0,8.0,7.0,38.0,7.0,9.0,7.0,5.0,3.0,3.238,2.565,0.673
20122013,2012020001,2013-01-19,PIT,1,AWAY,PHI,W,REG,3,1,all,60.0,3,1,2.827,2.922,0.49,3.0,9.0,0.25,12.0,17.0,0.41,2.175,2.425,41,42,0.49,53,54,0.5,2,-0.0950000000000002,-1,-6.0,27,27,9.0,20.0,8.0,8.0,14.0,9.0,20,19,0.5,0.475,12,12,14,15,0.26,0.28,0.23,0.22,5.0,10.0,3.0,6.0,35.0,27.0,37.0,10.0,8.0,7.0,40.0,8.0,12.0,9.0,5.0,4.0,5.827,3.922,1.9049999999999998
20122013,2012020001,2013-01-19,PIT,1,AWAY,PHI,W,REG,3,1,other,1.5833333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20122013,2012020002,2013-01-19,OTT,1,AWAY,WPG,W,REG,4,1,4on5,9.883333333333333,0,1,0.091,0.368,0.2,0.0,1.0,0.0,1.0,1.0,0.5,2.5,1.8,4,6,0.4,4,8,0.33,-1,-0.277,-2,-1.0,3,6,1.0,1.0,0.0,0.0,1.0,3.0,1,4,0.5,0.8,0,2,1,0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,2.0,5.0,7.0,2.0,1.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.091,1.3679999999999999,-1.277
20122013,2012020002,2013-01-19,OTT,1,AWAY,WPG,W,REG,4,1,5on4,3.0,1,0,0.384,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.25,0.0,4,0,1.0,4,0,1.0,1,0.384,4,1.0,3,0,0.0,2.0,1.0,0.0,0.0,0.0,3,0,0.75,0.0,0,0,1,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.384,0.0,1.384
20122013,2012020002,2013-01-19,OTT,1,AWAY,WPG,W,REG,4,1,5on5,45.083333333333336,3,0,1.696,1.57,0.52,4.0,7.0,0.36,19.0,14.0,0.58,2.261904761904762,2.5,42,34,0.55,51,46,0.53,3,0.1259999999999999,8,-3.0,31,20,15.0,11.0,12.0,7.0,16.0,4.0,18,16,0.42857142857142855,0.47058823529411764,9,12,11,14,0.22,0.3,0.18,0.26,7.0,14.0,2.0,4.0,20.0,23.0,18.0,4.0,5.0,4.0,27.0,4.0,13.0,8.0,2.0,1.0,4.696,1.57,3.1259999999999994
20122013,2012020002,2013-01-19,OTT,1,AWAY,WPG,W,REG,4,1,all,60.0,4,1,2.21,2.241,0.5,5.0,10.0,0.33,21.0,17.0,0.55,2.2653061224489797,2.4651162790697674,51,44,0.54,61,58,0.51,3,-0.03100000000000014,7,-5.0,37,28,16.0,15.0,13.0,7.0,19.0,7.0,23,21,0.46938775510204084,0.4883720930232558,10,14,14,16,0.23,0.28,0.16,0.24,7.0,14.0,3.0,6.0,28.0,35.0,21.0,5.0,8.0,7.0,29.0,4.0,19.0,12.0,2.0,1.0,6.21,3.241,2.969
