lineId,name,team,position,situation,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,goalsFor,goalsAgainst,player_id
847572684794078481559,Bratt-Toffoli-Hughes,NJD,line,5on5,23,8594.0,0.6,0.63,0.59,6.0,6.0,8481559
847516984779348480802,Kane-Mcleod-Draisaitl,EDM,line,5on5,5,649.0,0.46,0.63,0.6,1.0,1.0,8480802
847637484796718481716,Voronkov-Kuraly-Olivier,CBJ,line,5on5,2,633.0,0.6,0.56,0.61,0.0,0.0,8481716
847841384794208484145,Benson-Thompson-Greenway,BUF,line,5on5,8,1329.0,0.24,0.44,0.43,0.0,1.0,8484145
847689784802818482089,Neighbours-Sundqvist-Toropchenko,STL,line,5on5,16,1712.0,0.2,0.24,0.24,0.0,1.0,8482089
847061084795208479525,Parise-Colton-Duhaime,COL,line,5on5,4,928.0,0.22,0.44,0.39,0.0,2.0,8479525
847698184781338481093,Harvey-Pinard-Evans-Anderson,MTL,line,5on5,10,2106.0,0.52,0.35,0.39,1.0,0.0,8481093
847682284820708484325,Merela-Glendening-Chaffee,TBL,line,5on5,2,841.0,0.69,0.63,0.62,2.0,0.0,8484325
847836684788738482745,Terry-Mctavish-Vatrano,ANA,line,5on5,23,4317.0,0.42,0.46,0.44,8.0,8.0,8482745
847691984780518482125,Willman-Tierney-Holtz,NJD,line,5on5,6,1996.0,0.28,0.41,0.47,1.0,2.0,8482125
847735384778398482201,Sheary-Motte-Goncalves,TBL,line,5on5,2,794.0,1.0,0.77,1.0,0.0,0.0,8482201
847687184781338481058,Pearson-Evans-Ylnen,MTL,line,5on5,11,2038.0,0.2,0.37,0.33,0.0,1.0,8481058
847742584774928481186,Wood-Mackinnon-O'Connor,COL,line,5on5,16,604.0,0.59,0.48,0.55,2.0,1.0,8481186
847750584792938481789,Kartye-Wennberg-Tanev,SEA,line,5on5,16,2620.0,0.51,0.4,0.4,2.0,0.0,8481789
847410284774568482078,Perron-Compher-Raymond,DET,line,5on5,22,3517.0,0.5,0.46,0.49,2.0,3.0,8482078
847940084796758482155,Moore-Dubois-Laferriere,LAK,line,5on5,17,619.0,0.43,0.41,0.4,0.0,0.0,8482155
848080684808708481517,Groulx-Lundestrom-Leason,ANA,line,5on5,8,768.0,0.15,0.46,0.42,0.0,2.0,8481517
847741684774448477955,Burakovsky-Mccann-Bjorkstrand,SEA,line,5on5,3,662.0,0.47,0.71,0.65,0.0,2.0,8477955
847749684784218481068,Greer-Lindholm-Sharangovich,CGY,line,5on5,16,904.0,0.69,0.48,0.47,1.0,1.0,8481068
847517284810288482074,Zary-Kadri-Pospisil,CGY,line,5on5,41,22885.0,0.53,0.54,0.53,19.0,10.0,8482074
847682284773538479591,Eyssimont-Glendening-Motte,TBL,line,5on5,28,1550.0,0.43,0.4,0.41,1.0,1.0,8479591
847517284793468482074,Zary-Kadri-Dube,CGY,line,5on5,15,848.0,0.57,0.48,0.6,1.0,1.0,8482074
847842184792918482679,Greer-Rooney-Coronato,CGY,line,5on5,6,2030.0,0.59,0.43,0.4,2.0,2.0,8482679
847399484752258482740,Benn-Johnston-Smith,DAL,line,5on5,13,773.0,0.6,0.53,0.48,1.0,0.0,8482740
847344984768788481528,Girgensons-Cozens-Okposo,BUF,line,5on5,8,901.0,0.2,0.29,0.29,1.0,1.0,8481528
847579184779878484144,Hall-Bedard-Donato,CHI,line,5on5,4,2373.0,0.45,0.45,0.43,2.0,1.0,8484144
847637484799418480762,Robinson-Kuraly-Danforth,CBJ,line,5on5,5,3005.0,0.57,0.51,0.49,1.0,1.0,8480762
847584284769348480870,Mcginn-Carrick-Groulx,ANA,line,5on5,5,1294.0,0.52,0.46,0.48,1.0,0.0,8480870
847795284784668480813,Fabbri-Veleno-Sprong,DET,line,5on5,23,3105.0,0.47,0.51,0.51,3.0,2.0,8480813
847410284774298480813,Perron-Copp-Veleno,DET,line,5on5,12,4733.0,0.42,0.51,0.5,4.0,1.0,8480813
847517284815928483808,Pelletier-Kadri-Kuzmenko,CGY,line,5on5,4,1234.0,0.38,0.36,0.37,1.0,0.0,8483808
847646984769818479330,Armia-Gignac-Anderson,MTL,line,5on5,1,692.0,0.55,0.36,0.42,0.0,0.0,8479330
847742584795258481641,Kiviranta-Colton-Wood,COL,line,5on5,12,1463.0,0.71,0.7,0.63,1.0,1.0,8481641
847571484793938480144,Gregor-Kampf-Jarnkrok,TOR,line,5on5,25,2657.0,0.28,0.34,0.36,1.0,1.0,8480144
847687284784398480015,Tippett-Laughton-Konecny,PHI,line,5on5,23,2112.0,0.34,0.45,0.48,1.0,2.0,8480015
847471584800158480028,Tippett-Frost-Atkinson,PHI,line,5on5,31,5245.0,0.47,0.51,0.55,1.0,4.0,8480028
847647984780428479675,Moore-Danault-Arvidsson,LAK,line,5on5,11,5617.0,0.52,0.53,0.57,5.0,4.0,8479675
847572684794078482110,Bratt-Mercer-Toffoli,NJD,line,5on5,4,824.0,0.58,0.48,0.48,1.0,2.0,8482110
847121584751918482241,Zohorna-Malkin-Smith,PIT,line,5on5,10,1012.0,0.6,0.49,0.42,0.0,1.0,8482241
847403784780468479365,Van Riemsdyk-Frederic-Heinen,BOS,line,5on5,12,2164.0,0.38,0.46,0.42,3.0,2.0,8479365
847579884774078482101,Gushchin-Granlund-Duclair,SJS,line,5on5,1,652.0,0.19,0.37,0.44,0.0,0.0,8482101
847702184796198483431,Carcone-Kerfoot-Cooley,ARI,line,5on5,7,698.0,0.45,0.6,0.54,1.0,1.0,8483431
847516984779988480802,Kane-Mcleod-Foegele,EDM,line,5on5,27,2287.0,0.59,0.6,0.6,0.0,0.0,8480802
847579884774078480188,Zetterlund-Granlund-Duclair,SJS,line,5on5,31,18472.0,0.44,0.44,0.43,16.0,14.0,8480188
847350484773928481237,Clutterbuck-Maclean-Fasching,NYI,line,5on5,4,667.0,0.45,0.52,0.5,0.0,1.0,8481237
847639284783988480014,Connor-Lowry-Vilardi,WPG,line,5on5,4,1284.0,0.67,0.43,0.47,1.0,1.0,8480014
847742984779528478432,Fabbri-Copp-Fischer,DET,line,5on5,14,1899.0,0.4,0.51,0.55,0.0,2.0,8478432
847645384780108479542,Hagel-Point-Kucherov,TBL,line,5on5,60,20687.0,0.58,0.58,0.57,22.0,19.0,8479542
847578684764548477934,Hyman-Draisaitl-Nugent-Hopkins,EDM,line,5on5,27,4061.0,0.7,0.61,0.63,3.0,1.0,8477934
847749684782118479346,Hunt-Lindholm-Dube,CGY,line,5on5,2,792.0,0.07,0.26,0.25,0.0,1.0,8479346
848080684815178482745,Lundestrom-Mctavish-Leason,ANA,line,5on5,5,660.0,0.12,0.25,0.21,0.0,0.0,8482745
847644884780208482153,Brisson-Karlsson-Amadio,VGK,line,5on5,4,1205.0,0.3,0.41,0.33,1.0,2.0,8482153
847645884783668480870,Groulx-Strome-Vatrano,ANA,line,5on5,8,617.0,0.14,0.23,0.29,0.0,0.0,8480870
847647484780478480835,Bunting-Drury-Noesen,CAR,line,5on5,19,3597.0,0.58,0.62,0.66,2.0,3.0,8480835
847794984794208479999,Mittelstadt-Thompson-Tuch,BUF,line,5on5,10,1703.0,0.91,0.69,0.72,1.0,1.0,8479999
847952084799688481422,Lettieri-Lucchini-Duhaime,MIN,line,5on5,2,675.0,0.54,0.41,0.41,1.0,0.0,8481422
847843984800158480068,Tippett-Poehling-Konecny,PHI,line,5on5,21,1035.0,0.54,0.63,0.63,1.0,0.0,8480068
847516684757148481582,Robertson-Tavares-Jarnkrok,TOR,line,5on5,4,799.0,0.54,0.52,0.53,0.0,1.0,8481582
847750184795258481186,Nichushkin-Colton-O'Connor,COL,line,5on5,8,1754.0,0.67,0.55,0.62,2.0,1.0,8481186
847399484827028482740,Benn-Johnston-Stankoven,DAL,line,5on5,24,13599.0,0.63,0.56,0.58,15.0,9.0,8482740
847585584764748480829,Fast-Kotkaniemi-Noesen,CAR,line,5on5,12,2898.0,0.63,0.67,0.63,0.0,0.0,8480829
