season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,g_dif,xg_dif,fwf_dif,hdsc_dif,offense,defense,differential
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,4on5,4.0,0.0,0.0,0.01,0.867,0.01,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.3333333333333335,1.0,6.0,0.14,1.0,7.0,0.12,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,2.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.857,-5.0,-3.0,0.01,0.867,-0.857
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,5on4,8.0,0.0,0.0,0.192,0.0,1.0,4.0,0.0,1.0,6.0,0.0,1.0,2.9,0.0,10.0,0.0,1.0,16.0,1.0,0.94,5.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,6.0,1.0,5.0,0.0,0.31,0.0,0.38,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.192,10.0,4.0,0.192,0.0,0.192
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,5on5,45.5,3.0,2.0,2.825,2.331,0.55,7.0,6.0,0.54,17.0,15.0,0.53,2.4146341463414633,2.3658536585365852,42.0,45.0,0.48,54.0,55.0,0.5,29.0,34.0,10.0,17.0,7.0,9.0,20.0,6.0,14.0,11.0,0.34146341463414637,0.2682926829268293,12.0,10.0,13.0,11.0,0.24,0.2,0.22,0.18,0.0,4.0,0.0,8.0,12.0,30.0,11.0,12.0,2.0,2.0,17.0,9.0,6.0,2.0,2.0,3.0,1.0,0.4940000000000002,-3.0,1.0,5.825,4.3309999999999995,1.4940000000000007
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,all,60.0,4.0,2.0,3.933,3.369,0.54,12.0,9.0,0.57,24.0,21.0,0.53,2.5384615384615383,2.450980392156863,54.0,55.0,0.5,73.0,71.0,0.51,36.0,41.0,12.0,20.0,8.0,12.0,23.0,7.0,15.0,13.0,0.28846153846153844,0.2549019607843137,19.0,16.0,18.0,14.0,0.25,0.2,0.26,0.23,0.0,4.0,0.0,8.0,19.0,40.0,13.0,12.0,2.0,2.0,19.0,11.0,8.0,3.0,2.0,4.0,2.0,0.5639999999999996,-1.0,3.0,7.933,5.369,2.564
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,other,2.5,1.0,0.0,0.905,0.17,0.84,1.0,0.0,1.0,1.0,1.0,0.5,4.0,2.0,1.0,4.0,0.2,2.0,8.0,0.2,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.25,1.0,4.0,0.0,1.0,0.0,0.12,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.735,-3.0,1.0,1.905,0.17,1.735
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,4on5,8.0,0.0,0.0,0.0,0.192,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2.9,0.0,11.0,0.0,1.0,17.0,0.06,0.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.1,1.0,6.0,0.0,5.0,0.0,0.29,1.0,0.35,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.192,-11.0,-4.0,0.0,0.192,-0.192
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,5on4,4.0,0.0,0.0,0.867,0.01,0.99,3.0,0.0,1.0,5.0,0.0,1.0,3.3333333333333335,0.0,6.0,0.0,1.0,7.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,2.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,6.0,3.0,0.867,0.01,0.857
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,5on5,45.5,2.0,3.0,2.331,2.825,0.45,6.0,7.0,0.46,15.0,17.0,0.47,2.3658536585365852,2.4146341463414633,45.0,42.0,0.52,55.0,54.0,0.5,34.0,29.0,9.0,20.0,6.0,10.0,17.0,7.0,11.0,14.0,0.2682926829268293,0.34146341463414637,10.0,12.0,11.0,13.0,0.2,0.24,0.18,0.22,0.0,8.0,0.0,4.0,30.0,12.0,17.0,9.0,6.0,2.0,11.0,12.0,2.0,2.0,3.0,2.0,-1.0,-0.4940000000000002,3.0,-1.0,4.3309999999999995,5.825,-1.4940000000000007
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,all,60.0,2.0,4.0,3.369,3.933,0.46,9.0,12.0,0.43,21.0,24.0,0.47,2.450980392156863,2.5384615384615383,55.0,54.0,0.5,71.0,73.0,0.49,41.0,36.0,12.0,23.0,7.0,12.0,20.0,8.0,13.0,15.0,0.2549019607843137,0.28846153846153844,16.0,19.0,14.0,18.0,0.2,0.25,0.23,0.26,0.0,8.0,0.0,4.0,40.0,19.0,19.0,11.0,8.0,3.0,13.0,12.0,2.0,2.0,4.0,2.0,-2.0,-0.5639999999999996,1.0,-3.0,5.369,7.933,-2.564
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,other,2.5,0.0,1.0,0.17,0.905,0.16,0.0,1.0,0.0,1.0,1.0,0.5,2.0,4.0,4.0,1.0,0.8,8.0,2.0,0.8,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,4.0,1.0,1.0,0.0,0.12,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-0.735,3.0,-1.0,0.17,1.905,-1.735
