index,season,team,full,GP,W,L,OTL,PTS,playoffs,season_mod,W%,league_playoff_min,Conference,Division
206,20162017,STL,St. Louis Blues,82,46,29,7,99,Lost in Second Round to NSH,16/17,0.5609756097560976,0.4878048780487805,5th in 5th in West,3rd in 3rd in Central
207,20162017,NSH,Nashville Predators,82,41,29,12,94,Lost in Stanley Cup Final to PIT,16/17,0.5,0.4878048780487805,7th in 7th in West,4th in 4th in Central
208,20162017,WPG,Winnipeg Jets,82,40,35,7,87,,16/17,0.4878048780487805,0.4878048780487805,9th in 9th in West,5th in 5th in Central
209,20162017,DAL,Dallas Stars,82,34,37,11,79,,16/17,0.4146341463414634,0.4878048780487805,11th in 11th in West,6th in 6th in Central
210,20162017,COL,Colorado Avalanche,82,22,56,4,48,,16/17,0.2682926829268293,0.4878048780487805,14th in 14th in West,7th in 7th in Central
211,20162017,ANA,Anaheim Ducks,82,46,23,13,105,Lost in Conference Finals to NSH,16/17,0.5609756097560976,0.4878048780487805,3rd in 3rd in West,1st in 1st in Pacific
212,20162017,EDM,Edmonton Oilers,82,47,26,9,103,Lost in Second Round to ANA,16/17,0.573170731707317,0.4878048780487805,4th in 4th in West,2nd in 2nd in Pacific
213,20162017,SJS,San Jose Sharks,82,46,29,7,99,Lost in First Round to EDM,16/17,0.5609756097560976,0.4878048780487805,5th in 5th in West,3rd in 3rd in Pacific
214,20162017,CGY,Calgary Flames,82,45,33,4,94,Lost in First Round to ANA,16/17,0.5487804878048781,0.4878048780487805,7th in 7th in West,4th in 4th in Pacific
215,20162017,LAK,Los Angeles Kings,82,39,35,8,86,,16/17,0.47560975609756095,0.4878048780487805,10th in 10th in West,5th in 5th in Pacific
216,20162017,ARI,Arizona Coyotes,82,30,42,10,70,,16/17,0.36585365853658536,0.4878048780487805,12th in 12th in West,6th in 6th in Pacific
217,20162017,VAN,Vancouver Canucks,82,30,43,9,69,,16/17,0.36585365853658536,0.4878048780487805,13th in 13th in West,7th in 7th in Pacific
218,20152016,FLA,Florida Panthers,82,47,26,9,103,Lost in First Round to NYI,15/16,0.573170731707317,0.4634146341463415,3rd in 3rd in East,1st in 1st in Atlantic
219,20152016,TBL,Tampa Bay Lightning,82,46,31,5,97,Lost in Conference Finals to PIT,15/16,0.5609756097560976,0.4634146341463415,6th in 6th in East,2nd in 2nd in Atlantic
220,20152016,DET,Detroit Red Wings,82,41,30,11,93,Lost in First Round to TBL,15/16,0.5,0.4634146341463415,8th in 8th in East,3rd in 3rd in Atlantic
221,20152016,BOS,Boston Bruins,82,42,31,9,93,,15/16,0.5121951219512195,0.4634146341463415,8th in 8th in East,3rd in 3rd in Atlantic
222,20152016,OTT,Ottawa Senators,82,38,35,9,85,,15/16,0.4634146341463415,0.4634146341463415,11th in 11th in East,5th in 5th in Atlantic
223,20152016,MTL,Montreal Canadiens,82,38,38,6,82,,15/16,0.4634146341463415,0.4634146341463415,13th in 13th in East,6th in 6th in Atlantic
224,20152016,BUF,Buffalo Sabres,82,35,36,11,81,,15/16,0.4268292682926829,0.4634146341463415,14th in 14th in East,7th in 7th in Atlantic
225,20152016,TOR,Toronto Maple Leafs,82,29,42,11,69,,15/16,0.35365853658536583,0.4634146341463415,16th in 16th in East,8th in 8th in Atlantic
226,20152016,WSH,Washington Capitals,82,56,18,8,120,Lost in Second Round to PIT,15/16,0.6829268292682927,0.4634146341463415,1st in 1st in East,1st in 1st in Metro
227,20152016,PIT,Pittsburgh Penguins,82,48,26,8,104,Defeated SJS in Stanley Cup Final,15/16,0.5853658536585366,0.4634146341463415,2nd in 2nd in East,2nd in 2nd in Metro
228,20152016,NYR,New York Rangers,82,46,27,9,101,Lost in First Round to PIT,15/16,0.5609756097560976,0.4634146341463415,4th in 4th in East,3rd in 3rd in Metro
229,20152016,NYI,New York Islanders,82,45,27,10,100,Lost in Second Round to TBL,15/16,0.5487804878048781,0.4634146341463415,5th in 5th in East,4th in 4th in Metro
230,20152016,PHI,Philadelphia Flyers,82,41,27,14,96,Lost in First Round to WSH,15/16,0.5,0.4634146341463415,7th in 7th in East,5th in 5th in Metro
231,20152016,CAR,Carolina Hurricanes,82,35,31,16,86,,15/16,0.4268292682926829,0.4634146341463415,10th in 10th in East,6th in 6th in Metro
232,20152016,NJD,New Jersey Devils,82,38,36,8,84,,15/16,0.4634146341463415,0.4634146341463415,12th in 12th in East,7th in 7th in Metro
233,20152016,CBJ,Columbus Blue Jackets,82,34,40,8,76,,15/16,0.4146341463414634,0.4634146341463415,15th in 15th in East,8th in 8th in Metro
234,20152016,DAL,Dallas Stars,82,50,23,9,109,Lost in Second Round to STL,15/16,0.6097560975609756,0.4634146341463415,1st in 1st in West,1st in 1st in Central
235,20152016,STL,St. Louis Blues,82,49,24,9,107,Lost in Conference Finals to SJS,15/16,0.5975609756097561,0.4634146341463415,2nd in 2nd in West,2nd in 2nd in Central
236,20152016,CHI,Chicago Blackhawks,82,47,26,9,103,Lost in First Round to STL,15/16,0.573170731707317,0.4634146341463415,3rd in 3rd in West,3rd in 3rd in Central
237,20152016,NSH,Nashville Predators,82,41,27,14,96,Lost in Second Round to SJS,15/16,0.5,0.4634146341463415,7th in 7th in West,4th in 4th in Central
238,20152016,MIN,Minnesota Wild,82,38,33,11,87,Lost in First Round to DAL,15/16,0.4634146341463415,0.4634146341463415,8th in 8th in West,5th in 5th in Central
239,20152016,COL,Colorado Avalanche,82,39,39,4,82,,15/16,0.47560975609756095,0.4634146341463415,9th in 9th in West,6th in 6th in Central
240,20152016,WPG,Winnipeg Jets,82,35,39,8,78,,15/16,0.4268292682926829,0.4634146341463415,10th in 10th in West,7th in 7th in Central
241,20152016,ANA,Anaheim Ducks,82,46,25,11,103,Lost in First Round to NSH,15/16,0.5609756097560976,0.4634146341463415,3rd in 3rd in West,1st in 1st in Pacific
242,20152016,LAK,Los Angeles Kings,82,48,28,6,102,Lost in First Round to SJS,15/16,0.5853658536585366,0.4634146341463415,5th in 5th in West,2nd in 2nd in Pacific
243,20152016,SJS,San Jose Sharks,82,46,30,6,98,Lost in Stanley Cup Final to PIT,15/16,0.5609756097560976,0.4634146341463415,6th in 6th in West,3rd in 3rd in Pacific
244,20152016,ARI,Arizona Coyotes,82,35,39,8,78,,15/16,0.4268292682926829,0.4634146341463415,10th in 10th in West,4th in 4th in Pacific
245,20152016,CGY,Calgary Flames,82,35,40,7,77,,15/16,0.4268292682926829,0.4634146341463415,12th in 12th in West,5th in 5th in Pacific
246,20152016,VAN,Vancouver Canucks,82,31,38,13,75,,15/16,0.3780487804878049,0.4634146341463415,13th in 13th in West,6th in 6th in Pacific
247,20152016,EDM,Edmonton Oilers,82,31,43,8,70,,15/16,0.3780487804878049,0.4634146341463415,14th in 14th in West,7th in 7th in Pacific
248,20142015,MTL,Montreal Canadiens,82,50,22,10,110,Lost in Second Round to TBL,14/15,0.6097560975609756,0.524390243902439,2nd in 2nd in East,1st in 1st in Atlantic
249,20142015,TBL,Tampa Bay Lightning,82,50,24,8,108,Lost in Stanley Cup Final to CHI,14/15,0.6097560975609756,0.524390243902439,3rd in 3rd in East,2nd in 2nd in Atlantic
250,20142015,DET,Detroit Red Wings,82,43,25,14,100,Lost in First Round to TBL,14/15,0.524390243902439,0.524390243902439,6th in 6th in East,3rd in 3rd in Atlantic
251,20142015,OTT,Ottawa Senators,82,43,26,13,99,Lost in First Round to MTL,14/15,0.524390243902439,0.524390243902439,7th in 7th in East,4th in 4th in Atlantic
252,20142015,BOS,Boston Bruins,82,41,27,14,96,,14/15,0.5,0.524390243902439,9th in 9th in East,5th in 5th in Atlantic
253,20142015,FLA,Florida Panthers,82,38,29,15,91,,14/15,0.4634146341463415,0.524390243902439,10th in 10th in East,6th in 6th in Atlantic
254,20142015,TOR,Toronto Maple Leafs,82,30,44,8,68,,14/15,0.36585365853658536,0.524390243902439,15th in 15th in East,7th in 7th in Atlantic
255,20142015,BUF,Buffalo Sabres,82,23,51,8,54,,14/15,0.2804878048780488,0.524390243902439,16th in 16th in East,8th in 8th in Atlantic
256,20142015,NYR,New York Rangers,82,53,22,7,113,Lost in Conference Finals to TBL,14/15,0.6463414634146342,0.524390243902439,1st in 1st in East,1st in 1st in Metro
257,20142015,WSH,Washington Capitals,82,45,26,11,101,Lost in Second Round to NYR,14/15,0.5487804878048781,0.524390243902439,4th in 4th in East,2nd in 2nd in Metro
258,20142015,NYI,New York Islanders,82,47,28,7,101,Lost in First Round to WSH,14/15,0.573170731707317,0.524390243902439,4th in 4th in East,2nd in 2nd in Metro
259,20142015,PIT,Pittsburgh Penguins,82,43,27,12,98,Lost in First Round to NYR,14/15,0.524390243902439,0.524390243902439,8th in 8th in East,4th in 4th in Metro
260,20142015,CBJ,Columbus Blue Jackets,82,42,35,5,89,,14/15,0.5121951219512195,0.524390243902439,11th in 11th in East,5th in 5th in Metro
261,20142015,PHI,Philadelphia Flyers,82,33,31,18,84,,14/15,0.4024390243902439,0.524390243902439,12th in 12th in East,6th in 6th in Metro
262,20142015,NJD,New Jersey Devils,82,32,36,14,78,,14/15,0.3902439024390244,0.524390243902439,13th in 13th in East,7th in 7th in Metro
263,20142015,CAR,Carolina Hurricanes,82,30,41,11,71,,14/15,0.36585365853658536,0.524390243902439,14th in 14th in East,8th in 8th in Metro
264,20142015,STL,St. Louis Blues,82,51,24,7,109,Lost in First Round to MIN,14/15,0.6219512195121951,0.524390243902439,1st in 1st in West,1st in 1st in Central
265,20142015,NSH,Nashville Predators,82,47,25,10,104,Lost in First Round to CHI,14/15,0.573170731707317,0.524390243902439,3rd in 3rd in West,2nd in 2nd in Central
266,20142015,CHI,Chicago Blackhawks,82,48,28,6,102,Defeated TBL in Stanley Cup Final,14/15,0.5853658536585366,0.524390243902439,4th in 4th in West,3rd in 3rd in Central
267,20142015,MIN,Minnesota Wild,82,46,28,8,100,Lost in Second Round to CHI,14/15,0.5609756097560976,0.524390243902439,6th in 6th in West,4th in 4th in Central
268,20142015,WPG,Winnipeg Jets,82,43,26,13,99,Lost in First Round to ANA,14/15,0.524390243902439,0.524390243902439,7th in 7th in West,5th in 5th in Central
269,20142015,DAL,Dallas Stars,82,41,31,10,92,,14/15,0.5,0.524390243902439,10th in 10th in West,6th in 6th in Central
270,20142015,COL,Colorado Avalanche,82,39,31,12,90,,14/15,0.47560975609756095,0.524390243902439,11th in 11th in West,7th in 7th in Central
271,20142015,ANA,Anaheim Ducks,82,51,24,7,109,Lost in Conference Finals to CHI,14/15,0.6219512195121951,0.524390243902439,1st in 1st in West,1st in 1st in Pacific
272,20142015,VAN,Vancouver Canucks,82,48,29,5,101,Lost in First Round to CGY,14/15,0.5853658536585366,0.524390243902439,5th in 5th in West,2nd in 2nd in Pacific
273,20142015,CGY,Calgary Flames,82,45,30,7,97,Lost in Second Round to ANA,14/15,0.5487804878048781,0.524390243902439,8th in 8th in West,3rd in 3rd in Pacific
274,20142015,LAK,Los Angeles Kings,82,40,27,15,95,,14/15,0.4878048780487805,0.524390243902439,9th in 9th in West,4th in 4th in Pacific
275,20142015,SJS,San Jose Sharks,82,40,33,9,89,,14/15,0.4878048780487805,0.524390243902439,12th in 12th in West,5th in 5th in Pacific
276,20142015,EDM,Edmonton Oilers,82,24,44,14,62,,14/15,0.2926829268292683,0.524390243902439,13th in 13th in West,6th in 6th in Pacific
277,20142015,ARI,Arizona Coyotes,82,24,50,8,56,,14/15,0.2926829268292683,0.524390243902439,14th in 14th in West,7th in 7th in Pacific
278,20132014,BOS,Boston Bruins,82,54,19,9,117,Lost in Second Round to MTL,13/14,0.6585365853658537,0.47560975609756095,1st in 1st in East,1st in 1st in Atlantic
279,20132014,TBL,Tampa Bay Lightning,82,46,27,9,101,Lost in First Round to MTL,13/14,0.5609756097560976,0.47560975609756095,3rd in 3rd in East,2nd in 2nd in Atlantic
280,20132014,MTL,Montreal Canadiens,82,46,28,8,100,Lost in Conference Finals to NYR,13/14,0.5609756097560976,0.47560975609756095,4th in 4th in East,3rd in 3rd in Atlantic
281,20132014,DET,Detroit Red Wings,82,39,28,15,93,Lost in First Round to BOS,13/14,0.47560975609756095,0.47560975609756095,7th in 7th in East,4th in 4th in Atlantic
282,20132014,OTT,Ottawa Senators,82,37,31,14,88,,13/14,0.45121951219512196,0.47560975609756095,10th in 10th in East,5th in 5th in Atlantic
283,20132014,TOR,Toronto Maple Leafs,82,38,36,8,84,,13/14,0.4634146341463415,0.47560975609756095,12th in 12th in East,6th in 6th in Atlantic
284,20132014,FLA,Florida Panthers,82,29,45,8,66,,13/14,0.35365853658536583,0.47560975609756095,15th in 15th in East,7th in 7th in Atlantic
285,20132014,BUF,Buffalo Sabres,82,21,51,10,52,,13/14,0.25609756097560976,0.47560975609756095,16th in 16th in East,8th in 8th in Atlantic
286,20132014,PIT,Pittsburgh Penguins,82,51,24,7,109,Lost in Second Round to NYR,13/14,0.6219512195121951,0.47560975609756095,2nd in 2nd in East,1st in 1st in Metro
287,20132014,NYR,New York Rangers,82,45,31,6,96,Lost in Stanley Cup Final to LAK,13/14,0.5487804878048781,0.47560975609756095,5th in 5th in East,2nd in 2nd in Metro
288,20132014,PHI,Philadelphia Flyers,82,42,30,10,94,Lost in First Round to NYR,13/14,0.5121951219512195,0.47560975609756095,6th in 6th in East,3rd in 3rd in Metro
289,20132014,CBJ,Columbus Blue Jackets,82,43,32,7,93,Lost in First Round to PIT,13/14,0.524390243902439,0.47560975609756095,7th in 7th in East,4th in 4th in Metro
290,20132014,WSH,Washington Capitals,82,38,30,14,90,,13/14,0.4634146341463415,0.47560975609756095,9th in 9th in East,5th in 5th in Metro
291,20132014,NJD,New Jersey Devils,82,35,29,18,88,,13/14,0.4268292682926829,0.47560975609756095,10th in 10th in East,6th in 6th in Metro
292,20132014,CAR,Carolina Hurricanes,82,36,35,11,83,,13/14,0.43902439024390244,0.47560975609756095,13th in 13th in East,7th in 7th in Metro
293,20132014,NYI,New York Islanders,82,34,37,11,79,,13/14,0.4146341463414634,0.47560975609756095,14th in 14th in East,8th in 8th in Metro
294,20132014,COL,Colorado Avalanche,82,52,22,8,112,Lost in First Round to MIN,13/14,0.6341463414634146,0.47560975609756095,2nd in 2nd in West,1st in 1st in Central
295,20132014,STL,St. Louis Blues,82,52,23,7,111,Lost in First Round to CHI,13/14,0.6341463414634146,0.47560975609756095,3rd in 3rd in West,2nd in 2nd in Central
296,20132014,CHI,Chicago Blackhawks,82,46,21,15,107,Lost in Conference Finals to LAK,13/14,0.5609756097560976,0.47560975609756095,5th in 5th in West,3rd in 3rd in Central
297,20132014,MIN,Minnesota Wild,82,43,27,12,98,Lost in Second Round to CHI,13/14,0.524390243902439,0.47560975609756095,7th in 7th in West,4th in 4th in Central
298,20132014,DAL,Dallas Stars,82,40,31,11,91,Lost in First Round to ANA,13/14,0.4878048780487805,0.47560975609756095,8th in 8th in West,5th in 5th in Central
299,20132014,NSH,Nashville Predators,82,38,32,12,88,,13/14,0.4634146341463415,0.47560975609756095,10th in 10th in West,6th in 6th in Central
300,20132014,WPG,Winnipeg Jets,82,37,35,10,84,,13/14,0.45121951219512196,0.47560975609756095,11th in 11th in West,7th in 7th in Central
301,20132014,ANA,Anaheim Ducks,82,54,20,8,116,Lost in Second Round to LAK,13/14,0.6585365853658537,0.47560975609756095,1st in 1st in West,1st in 1st in Pacific
302,20132014,SJS,San Jose Sharks,82,51,22,9,111,Lost in First Round to LAK,13/14,0.6219512195121951,0.47560975609756095,3rd in 3rd in West,2nd in 2nd in Pacific
303,20132014,LAK,Los Angeles Kings,82,46,28,8,100,Defeated NYR in Stanley Cup Final,13/14,0.5609756097560976,0.47560975609756095,6th in 6th in West,3rd in 3rd in Pacific
304,20132014,ARI,Arizona Coyotes,82,37,30,15,89,,13/14,0.45121951219512196,0.47560975609756095,9th in 9th in West,4th in 4th in Pacific
305,20132014,VAN,Vancouver Canucks,82,36,35,11,83,,13/14,0.43902439024390244,0.47560975609756095,12th in 12th in West,5th in 5th in Pacific
306,20132014,CGY,Calgary Flames,82,35,40,7,77,,13/14,0.4268292682926829,0.47560975609756095,13th in 13th in West,6th in 6th in Pacific
307,20132014,EDM,Edmonton Oilers,82,29,44,9,67,,13/14,0.35365853658536583,0.47560975609756095,14th in 14th in West,7th in 7th in Pacific
308,20122013,PIT,Pittsburgh Penguins,48,36,12,0,72,Lost in Conference Finals to BOS,12/13,0.75,0.5,1st in 1st in East,1st in 1st in Atlantic
309,20122013,NYR,New York Rangers,48,26,18,4,56,Lost in Conference Semi-Finals to BOS,12/13,0.5416666666666666,0.5,6th in 6th in East,2nd in 2nd in Atlantic
310,20122013,NYI,New York Islanders,48,24,17,7,55,Lost in Conference Quarter-Finals to PIT,12/13,0.5,0.5,8th in 8th in East,3rd in 3rd in Atlantic
311,20122013,PHI,Philadelphia Flyers,48,23,22,3,49,,12/13,0.4791666666666667,0.5,10th in 10th in East,4th in 4th in Atlantic
312,20122013,NJD,New Jersey Devils,48,19,19,10,48,,12/13,0.3958333333333333,0.5,11th in 11th in East,5th in 5th in Atlantic
313,20122013,MTL,Montreal Canadiens,48,29,14,5,63,Lost in Conference Quarter-Finals to OTT,12/13,0.6041666666666666,0.5,2nd in 2nd in East,1st in 1st in Northeast
314,20122013,BOS,Boston Bruins,48,28,14,6,62,Lost in Stanley Cup Final to CHI,12/13,0.5833333333333334,0.5,3rd in 3rd in East,2nd in 2nd in Northeast
315,20122013,TOR,Toronto Maple Leafs,48,26,17,5,57,Lost in Conference Quarter-Finals to BOS,12/13,0.5416666666666666,0.5,4th in 4th in East,3rd in 3rd in Northeast
316,20122013,OTT,Ottawa Senators,48,25,17,6,56,Lost in Conference Semi-Finals to PIT,12/13,0.5208333333333334,0.5,6th in 6th in East,4th in 4th in Northeast
317,20122013,BUF,Buffalo Sabres,48,21,21,6,48,,12/13,0.4375,0.5,11th in 11th in East,5th in 5th in Northeast
318,20122013,WSH,Washington Capitals,48,27,18,3,57,Lost in Conference Quarter-Finals to NYR,12/13,0.5625,0.5,4th in 4th in East,1st in 1st in Southeast
319,20122013,WPG,Winnipeg Jets,48,24,21,3,51,,12/13,0.5,0.5,9th in 9th in East,2nd in 2nd in Southeast
320,20122013,CAR,Carolina Hurricanes,48,19,25,4,42,,12/13,0.3958333333333333,0.5,13th in 13th in East,3rd in 3rd in Southeast
321,20122013,TBL,Tampa Bay Lightning,48,18,26,4,40,,12/13,0.375,0.5,14th in 14th in East,4th in 4th in Southeast
322,20122013,FLA,Florida Panthers,48,15,27,6,36,,12/13,0.3125,0.5,15th in 15th in East,5th in 5th in Southeast
323,20122013,CHI,Chicago Blackhawks,48,36,7,5,77,Defeated BOS in Stanley Cup Final,12/13,0.75,0.5,1st in 1st in West,1st in 1st in Central
324,20122013,STL,St. Louis Blues,48,29,17,2,60,Lost in Conference Quarter-Finals to LAK,12/13,0.6041666666666666,0.5,3rd in 3rd in West,2nd in 2nd in Central
325,20122013,DET,Detroit Red Wings,48,24,16,8,56,Lost in Conference Semi-Finals to CHI,12/13,0.5,0.5,7th in 7th in West,3rd in 3rd in Central
326,20122013,CBJ,Columbus Blue Jackets,48,24,17,7,55,,12/13,0.5,0.5,8th in 8th in West,4th in 4th in Central
327,20122013,NSH,Nashville Predators,48,16,23,9,41,,12/13,0.3333333333333333,0.5,14th in 14th in West,5th in 5th in Central
328,20122013,VAN,Vancouver Canucks,48,26,15,7,59,Lost in Conference Quarter-Finals to SJS,12/13,0.5416666666666666,0.5,4th in 4th in West,1st in 1st in Northwest
329,20122013,MIN,Minnesota Wild,48,26,19,3,55,Lost in Conference Quarter-Finals to CHI,12/13,0.5416666666666666,0.5,8th in 8th in West,2nd in 2nd in Northwest
330,20122013,EDM,Edmonton Oilers,48,19,22,7,45,,12/13,0.3958333333333333,0.5,12th in 12th in West,3rd in 3rd in Northwest
331,20122013,CGY,Calgary Flames,48,19,25,4,42,,12/13,0.3958333333333333,0.5,13th in 13th in West,4th in 4th in Northwest
332,20122013,COL,Colorado Avalanche,48,16,25,7,39,,12/13,0.3333333333333333,0.5,15th in 15th in West,5th in 5th in Northwest
333,20122013,ANA,Anaheim Ducks,48,30,12,6,66,Lost in Conference Quarter-Finals to DET,12/13,0.625,0.5,2nd in 2nd in West,1st in 1st in Pacific
334,20122013,LAK,Los Angeles Kings,48,27,16,5,59,Lost in Conference Finals to CHI,12/13,0.5625,0.5,4th in 4th in West,2nd in 2nd in Pacific
335,20122013,SJS,San Jose Sharks,48,25,16,7,57,Lost in Conference Semi-Finals to LAK,12/13,0.5208333333333334,0.5,6th in 6th in West,3rd in 3rd in Pacific
336,20122013,ARI,Arizona Coyotes,48,21,18,9,51,,12/13,0.4375,0.5,10th in 10th in West,4th in 4th in Pacific
337,20122013,DAL,Dallas Stars,48,22,22,4,48,,12/13,0.4583333333333333,0.5,11th in 11th in West,5th in 5th in Pacific
338,20112012,NYR,New York Rangers,82,51,24,7,109,Lost in Conference Finals to NJD,11/12,0.6219512195121951,0.4634146341463415,1st in 1st in East,1st in 1st in Atlantic
339,20112012,PIT,Pittsburgh Penguins,82,51,25,6,108,Lost in Conference Quarter-Finals to PHI,11/12,0.6219512195121951,0.4634146341463415,2nd in 2nd in East,2nd in 2nd in Atlantic
340,20112012,PHI,Philadelphia Flyers,82,47,26,9,103,Lost in Conference Semi-Finals to NJD,11/12,0.573170731707317,0.4634146341463415,3rd in 3rd in East,3rd in 3rd in Atlantic
341,20112012,NJD,New Jersey Devils,82,48,28,6,102,Lost in Stanley Cup Final to LAK,11/12,0.5853658536585366,0.4634146341463415,4th in 4th in East,4th in 4th in Atlantic
342,20112012,NYI,New York Islanders,82,34,37,11,79,,11/12,0.4146341463414634,0.4634146341463415,14th in 14th in East,5th in 5th in Atlantic
343,20112012,BOS,Boston Bruins,82,49,29,4,102,Lost in Conference Quarter-Finals to WSH,11/12,0.5975609756097561,0.4634146341463415,4th in 4th in East,1st in 1st in Northeast
344,20112012,OTT,Ottawa Senators,82,41,31,10,92,Lost in Conference Quarter-Finals to NYR,11/12,0.5,0.4634146341463415,7th in 7th in East,2nd in 2nd in Northeast
345,20112012,BUF,Buffalo Sabres,82,39,32,11,89,,11/12,0.47560975609756095,0.4634146341463415,9th in 9th in East,3rd in 3rd in Northeast
346,20112012,TOR,Toronto Maple Leafs,82,35,37,10,80,,11/12,0.4268292682926829,0.4634146341463415,13th in 13th in East,4th in 4th in Northeast
347,20112012,MTL,Montreal Canadiens,82,31,35,16,78,,11/12,0.3780487804878049,0.4634146341463415,15th in 15th in East,5th in 5th in Northeast
348,20112012,FLA,Florida Panthers,82,38,26,18,94,Lost in Conference Quarter-Finals to NJD,11/12,0.4634146341463415,0.4634146341463415,6th in 6th in East,1st in 1st in Southeast
349,20112012,WSH,Washington Capitals,82,42,32,8,92,Lost in Conference Semi-Finals to NYR,11/12,0.5121951219512195,0.4634146341463415,7th in 7th in East,2nd in 2nd in Southeast
350,20112012,TBL,Tampa Bay Lightning,82,38,36,8,84,,11/12,0.4634146341463415,0.4634146341463415,10th in 10th in East,3rd in 3rd in Southeast
351,20112012,WPG,Winnipeg Jets,82,37,35,10,84,,11/12,0.45121951219512196,0.4634146341463415,10th in 10th in East,3rd in 3rd in Southeast
352,20112012,CAR,Carolina Hurricanes,82,33,33,16,82,,11/12,0.4024390243902439,0.4634146341463415,12th in 12th in East,5th in 5th in Southeast
353,20112012,STL,St. Louis Blues,82,49,22,11,109,Lost in Conference Semi-Finals to LAK,11/12,0.5975609756097561,0.4634146341463415,2nd in 2nd in West,1st in 1st in Central
354,20112012,NSH,Nashville Predators,82,48,26,8,104,Lost in Conference Semi-Finals to ARI,11/12,0.5853658536585366,0.4634146341463415,3rd in 3rd in West,2nd in 2nd in Central
355,20112012,DET,Detroit Red Wings,82,48,28,6,102,Lost in Conference Quarter-Finals to NSH,11/12,0.5853658536585366,0.4634146341463415,4th in 4th in West,3rd in 3rd in Central
356,20112012,CHI,Chicago Blackhawks,82,45,26,11,101,Lost in Conference Quarter-Finals to ARI,11/12,0.5487804878048781,0.4634146341463415,5th in 5th in West,4th in 4th in Central
357,20112012,CBJ,Columbus Blue Jackets,82,29,46,7,65,,11/12,0.35365853658536583,0.4634146341463415,15th in 15th in West,5th in 5th in Central
358,20112012,VAN,Vancouver Canucks,82,51,22,9,111,Lost in Conference Quarter-Finals to LAK,11/12,0.6219512195121951,0.4634146341463415,1st in 1st in West,1st in 1st in Northwest
359,20112012,CGY,Calgary Flames,82,37,29,16,90,,11/12,0.45121951219512196,0.4634146341463415,9th in 9th in West,2nd in 2nd in Northwest
360,20112012,COL,Colorado Avalanche,82,41,35,6,88,,11/12,0.5,0.4634146341463415,11th in 11th in West,3rd in 3rd in Northwest
361,20112012,MIN,Minnesota Wild,82,35,36,11,81,,11/12,0.4268292682926829,0.4634146341463415,12th in 12th in West,4th in 4th in Northwest
362,20112012,EDM,Edmonton Oilers,82,32,40,10,74,,11/12,0.3902439024390244,0.4634146341463415,14th in 14th in West,5th in 5th in Northwest
363,20112012,ARI,Arizona Coyotes,82,42,27,13,97,Lost in Conference Finals to LAK,11/12,0.5121951219512195,0.4634146341463415,6th in 6th in West,1st in 1st in Pacific
364,20112012,SJS,San Jose Sharks,82,43,29,10,96,Lost in Conference Quarter-Finals to STL,11/12,0.524390243902439,0.4634146341463415,7th in 7th in West,2nd in 2nd in Pacific
365,20112012,LAK,Los Angeles Kings,82,40,27,15,95,Defeated NJD in Stanley Cup Final,11/12,0.4878048780487805,0.4634146341463415,8th in 8th in West,3rd in 3rd in Pacific
366,20112012,DAL,Dallas Stars,82,42,35,5,89,,11/12,0.5121951219512195,0.4634146341463415,10th in 10th in West,4th in 4th in Pacific
367,20112012,ANA,Anaheim Ducks,82,34,36,12,80,,11/12,0.4146341463414634,0.4634146341463415,13th in 13th in West,5th in 5th in Pacific
