label,value,team,situation,n_games
defense_p60_perc,0.14,CBJ,5on4,all
cum_dif_p60_perc,0.12,CBJ,5on4,all
offense,49.71,CBJ,5on4,all
defense,13.969999999999999,CBJ,5on4,all
cum_dif,35.74,CBJ,5on4,all
Points,0.25,CBJ,5on4,last 20 games
Goals For,0.53,CBJ,5on4,last 20 games
Goal Differential,0.31,CBJ,5on4,last 20 games
Shooting %,0.44,CBJ,5on4,last 20 games
Save %,0.34,CBJ,5on4,last 20 games
sv%,0.864,CBJ,5on4,last 20 games
Blocked shot attempt %,0.84,CBJ,5on4,last 20 games
Blocked shot attempt % against,0.47,CBJ,5on4,last 20 games
Expected Goals For,0.34,CBJ,5on4,last 20 games
XG Differential,0.2,CBJ,5on4,last 20 games
Shot (FW) Volume,0.78,CBJ,5on4,last 20 games
Shot (FW) Differential,0.56,CBJ,5on4,last 20 games
Penalty Differential,0.72,CBJ,5on4,last 20 games
offense_p60_perc,0.47,CBJ,5on4,last 20 games
defense_p60_perc,0.14,CBJ,5on4,last 20 games
cum_dif_p60_perc,0.25,CBJ,5on4,last 20 games
offense,17.89,CBJ,5on4,last 20 games
defense,5.62,CBJ,5on4,last 20 games
cum_dif,12.27,CBJ,5on4,last 20 games
Points,0.44,CBJ,5on4,last 10 games
Goals For,0.3,CBJ,5on4,last 10 games
Goal Differential,0.31,CBJ,5on4,last 10 games
Shooting %,0.28,CBJ,5on4,last 10 games
Save %,0.53,CBJ,5on4,last 10 games
sv%,0.917,CBJ,5on4,last 10 games
Blocked shot attempt %,0.78,CBJ,5on4,last 10 games
Blocked shot attempt % against,0.45,CBJ,5on4,last 10 games
Expected Goals For,0.27,CBJ,5on4,last 10 games
XG Differential,0.28,CBJ,5on4,last 10 games
Shot (FW) Volume,0.78,CBJ,5on4,last 10 games
Shot (FW) Differential,0.69,CBJ,5on4,last 10 games
Penalty Differential,0.66,CBJ,5on4,last 10 games
offense_p60_perc,0.25,CBJ,5on4,last 10 games
defense_p60_perc,0.41,CBJ,5on4,last 10 games
cum_dif_p60_perc,0.28,CBJ,5on4,last 10 games
offense,8.74,CBJ,5on4,last 10 games
defense,2.23,CBJ,5on4,last 10 games
cum_dif,6.51,CBJ,5on4,last 10 games
Points,0.66,CBJ,5on4,last 5 games
Goals For,0.5,CBJ,5on4,last 5 games
Goal Differential,0.25,CBJ,5on4,last 5 games
Shooting %,0.42,CBJ,5on4,last 5 games
Save %,0.16,CBJ,5on4,last 5 games
sv%,0.75,CBJ,5on4,last 5 games
Blocked shot attempt %,0.72,CBJ,5on4,last 5 games
Blocked shot attempt % against,0.8,CBJ,5on4,last 5 games
Expected Goals For,0.34,CBJ,5on4,last 5 games
XG Differential,0.38,CBJ,5on4,last 5 games
Shot (FW) Volume,0.72,CBJ,5on4,last 5 games
Shot (FW) Differential,0.75,CBJ,5on4,last 5 games
Penalty Differential,0.56,CBJ,5on4,last 5 games
offense_p60_perc,0.44,CBJ,5on4,last 5 games
defense_p60_perc,0.34,CBJ,5on4,last 5 games
cum_dif_p60_perc,0.31,CBJ,5on4,last 5 games
offense,3.88,CBJ,5on4,last 5 games
defense,1.3,CBJ,5on4,last 5 games
cum_dif,2.58,CBJ,5on4,last 5 games
Points,0.48,CGY,all,all
Goals For,0.53,CGY,all,all
Goal Differential,0.5,CGY,all,all
Shooting %,0.12,CGY,all,all
Save %,0.12,CGY,all,all
sv%,0.887,CGY,all,all
Blocked shot attempt %,0.44,CGY,all,all
Blocked shot attempt % against,0.38,CGY,all,all
Expected Goals For,0.58,CGY,all,all
XG Differential,0.73,CGY,all,all
Shot (FW) Volume,0.94,CGY,all,all
Shot (FW) Differential,0.97,CGY,all,all
Penalty Differential,0.19,CGY,all,all
offense_p60_perc,0.56,CGY,all,all
defense_p60_perc,0.66,CGY,all,all
cum_dif_p60_perc,0.66,CGY,all,all
offense,386.96000000000004,CGY,all,all
defense,360.69,CGY,all,all
cum_dif,26.27000000000004,CGY,all,all
Points,0.39,CGY,all,last 20 games
Goals For,0.64,CGY,all,last 20 games
Goal Differential,0.56,CGY,all,last 20 games
Shooting %,0.25,CGY,all,last 20 games
Save %,0.06,CGY,all,last 20 games
sv%,0.867,CGY,all,last 20 games
Blocked shot attempt %,0.3,CGY,all,last 20 games
Blocked shot attempt % against,0.44,CGY,all,last 20 games
Expected Goals For,0.86,CGY,all,last 20 games
XG Differential,0.94,CGY,all,last 20 games
Shot (FW) Volume,0.97,CGY,all,last 20 games
Shot (FW) Differential,0.97,CGY,all,last 20 games
Penalty Differential,0.58,CGY,all,last 20 games
offense_p60_perc,0.83,CGY,all,last 20 games
defense_p60_perc,0.59,CGY,all,last 20 games
cum_dif_p60_perc,0.8,CGY,all,last 20 games
offense,142.23000000000002,CGY,all,last 20 games
defense,125.36,CGY,all,last 20 games
cum_dif,16.87000000000002,CGY,all,last 20 games
Points,0.27,CGY,all,last 10 games
Goals For,0.45,CGY,all,last 10 games
Goal Differential,0.45,CGY,all,last 10 games
Shooting %,0.38,CGY,all,last 10 games
Save %,0.03,CGY,all,last 10 games
sv%,0.848,CGY,all,last 10 games
Blocked shot attempt %,0.09,CGY,all,last 10 games
Blocked shot attempt % against,0.84,CGY,all,last 10 games
Expected Goals For,0.75,CGY,all,last 10 games
XG Differential,0.88,CGY,all,last 10 games
Shot (FW) Volume,0.91,CGY,all,last 10 games
Shot (FW) Differential,1.0,CGY,all,last 10 games
Penalty Differential,0.77,CGY,all,last 10 games
offense_p60_perc,0.7,CGY,all,last 10 games
defense_p60_perc,0.55,CGY,all,last 10 games
cum_dif_p60_perc,0.66,CGY,all,last 10 games
offense,68.74000000000001,CGY,all,last 10 games
defense,62.65,CGY,all,last 10 games
cum_dif,6.0900000000000105,CGY,all,last 10 games
Points,0.47,CGY,all,last 5 games
Goals For,0.59,CGY,all,last 5 games
Goal Differential,0.48,CGY,all,last 5 games
Shooting %,0.34,CGY,all,last 5 games
Save %,0.03,CGY,all,last 5 games
sv%,0.843,CGY,all,last 5 games
Blocked shot attempt %,0.03,CGY,all,last 5 games
Blocked shot attempt % against,0.84,CGY,all,last 5 games
Expected Goals For,0.88,CGY,all,last 5 games
XG Differential,0.91,CGY,all,last 5 games
Shot (FW) Volume,0.94,CGY,all,last 5 games
Shot (FW) Differential,0.97,CGY,all,last 5 games
Penalty Differential,1.0,CGY,all,last 5 games
offense_p60_perc,0.7,CGY,all,last 5 games
defense_p60_perc,0.69,CGY,all,last 5 games
cum_dif_p60_perc,0.78,CGY,all,last 5 games
offense,36.06,CGY,all,last 5 games
defense,29.130000000000003,CGY,all,last 5 games
cum_dif,6.93,CGY,all,last 5 games
Points,0.48,CGY,5on5,all
Goals For,0.73,CGY,5on5,all
Goal Differential,0.59,CGY,5on5,all
Shooting %,0.28,CGY,5on5,all
Save %,0.14,CGY,5on5,all
sv%,0.896,CGY,5on5,all
Blocked shot attempt %,0.55,CGY,5on5,all
Blocked shot attempt % against,0.38,CGY,5on5,all
Expected Goals For,0.64,CGY,5on5,all
XG Differential,0.83,CGY,5on5,all
Shot (FW) Volume,0.94,CGY,5on5,all
Shot (FW) Differential,0.97,CGY,5on5,all
Penalty Differential,0.77,CGY,5on5,all
offense_p60_perc,0.62,CGY,5on5,all
defense_p60_perc,0.72,CGY,5on5,all
cum_dif_p60_perc,0.75,CGY,5on5,all
offense,286.51,CGY,5on5,all
defense,255.26,CGY,5on5,all
cum_dif,31.25,CGY,5on5,all
Points,0.39,CGY,5on5,last 20 games
Goals For,0.64,CGY,5on5,last 20 games
Goal Differential,0.56,CGY,5on5,last 20 games
Shooting %,0.22,CGY,5on5,last 20 games
Save %,0.09,CGY,5on5,last 20 games
sv%,0.879,CGY,5on5,last 20 games
Blocked shot attempt %,0.45,CGY,5on5,last 20 games
Blocked shot attempt % against,0.34,CGY,5on5,last 20 games
Expected Goals For,0.7,CGY,5on5,last 20 games
XG Differential,0.91,CGY,5on5,last 20 games
Shot (FW) Volume,0.94,CGY,5on5,last 20 games
Shot (FW) Differential,0.97,CGY,5on5,last 20 games
Penalty Differential,1.0,CGY,5on5,last 20 games
offense_p60_perc,0.66,CGY,5on5,last 20 games
defense_p60_perc,0.62,CGY,5on5,last 20 games
cum_dif_p60_perc,0.72,CGY,5on5,last 20 games
offense,103.0,CGY,5on5,last 20 games
defense,92.25999999999999,CGY,5on5,last 20 games
cum_dif,10.740000000000009,CGY,5on5,last 20 games
Points,0.27,CGY,5on5,last 10 games
Goals For,0.41,CGY,5on5,last 10 games
Goal Differential,0.48,CGY,5on5,last 10 games
Shooting %,0.27,CGY,5on5,last 10 games
Save %,0.06,CGY,5on5,last 10 games
sv%,0.865,CGY,5on5,last 10 games
Blocked shot attempt %,0.06,CGY,5on5,last 10 games
Blocked shot attempt % against,0.91,CGY,5on5,last 10 games
Expected Goals For,0.5,CGY,5on5,last 10 games
XG Differential,0.84,CGY,5on5,last 10 games
Shot (FW) Volume,0.91,CGY,5on5,last 10 games
Shot (FW) Differential,1.0,CGY,5on5,last 10 games
Penalty Differential,1.0,CGY,5on5,last 10 games
offense_p60_perc,0.47,CGY,5on5,last 10 games
defense_p60_perc,0.72,CGY,5on5,last 10 games
cum_dif_p60_perc,0.66,CGY,5on5,last 10 games
offense,46.54,CGY,5on5,last 10 games
defense,41.54,CGY,5on5,last 10 games
cum_dif,5.0,CGY,5on5,last 10 games
Points,0.47,CGY,5on5,last 5 games
Goals For,0.27,CGY,5on5,last 5 games
Goal Differential,0.39,CGY,5on5,last 5 games
Shooting %,0.17,CGY,5on5,last 5 games
Save %,0.14,CGY,5on5,last 5 games
sv%,0.87,CGY,5on5,last 5 games
Blocked shot attempt %,0.06,CGY,5on5,last 5 games
Blocked shot attempt % against,0.83,CGY,5on5,last 5 games
Expected Goals For,0.8,CGY,5on5,last 5 games
XG Differential,0.88,CGY,5on5,last 5 games
Shot (FW) Volume,0.91,CGY,5on5,last 5 games
Shot (FW) Differential,0.97,CGY,5on5,last 5 games
Penalty Differential,1.0,CGY,5on5,last 5 games
offense_p60_perc,0.52,CGY,5on5,last 5 games
defense_p60_perc,0.69,CGY,5on5,last 5 games
cum_dif_p60_perc,0.66,CGY,5on5,last 5 games
offense,23.5,CGY,5on5,last 5 games
defense,21.64,CGY,5on5,last 5 games
cum_dif,1.8599999999999994,CGY,5on5,last 5 games
Points,0.48,CGY,4on5,all
Goals For,0.58,CGY,4on5,all
Goal Differential,0.66,CGY,4on5,all
Shooting %,0.25,CGY,4on5,all
Save %,0.47,CGY,4on5,all
sv%,0.859,CGY,4on5,all
Blocked shot attempt %,0.69,CGY,4on5,all
Blocked shot attempt % against,0.34,CGY,4on5,all
Expected Goals For,0.72,CGY,4on5,all
XG Differential,0.84,CGY,4on5,all
Shot (FW) Volume,1.0,CGY,4on5,all
Shot (FW) Differential,1.0,CGY,4on5,all
Penalty Differential,0.19,CGY,4on5,all
offense_p60_perc,0.67,CGY,4on5,all
defense_p60_perc,0.75,CGY,4on5,all
cum_dif_p60_perc,0.77,CGY,4on5,all
offense,14.0,CGY,4on5,all
defense,70.37,CGY,4on5,all
cum_dif,-56.370000000000005,CGY,4on5,all
Points,0.39,CGY,4on5,last 20 games
Goals For,0.44,CGY,4on5,last 20 games
Goal Differential,0.28,CGY,4on5,last 20 games
Shooting %,0.22,CGY,4on5,last 20 games
Save %,0.12,CGY,4on5,last 20 games
sv%,0.827,CGY,4on5,last 20 games
Blocked shot attempt %,0.45,CGY,4on5,last 20 games
Blocked shot attempt % against,0.59,CGY,4on5,last 20 games
Expected Goals For,0.8,CGY,4on5,last 20 games
XG Differential,0.72,CGY,4on5,last 20 games
Shot (FW) Volume,1.0,CGY,4on5,last 20 games
Shot (FW) Differential,0.94,CGY,4on5,last 20 games
Penalty Differential,0.34,CGY,4on5,last 20 games
offense_p60_perc,0.62,CGY,4on5,last 20 games
defense_p60_perc,0.36,CGY,4on5,last 20 games
cum_dif_p60_perc,0.36,CGY,4on5,last 20 games
offense,3.52,CGY,4on5,last 20 games
defense,23.64,CGY,4on5,last 20 games
cum_dif,-20.12,CGY,4on5,last 20 games
Points,0.27,CGY,4on5,last 10 games
Goals For,0.67,CGY,4on5,last 10 games
Goal Differential,0.06,CGY,4on5,last 10 games
Shooting %,0.38,CGY,4on5,last 10 games
Save %,0.06,CGY,4on5,last 10 games
sv%,0.775,CGY,4on5,last 10 games
Blocked shot attempt %,0.55,CGY,4on5,last 10 games
Blocked shot attempt % against,0.19,CGY,4on5,last 10 games
Expected Goals For,0.84,CGY,4on5,last 10 games
XG Differential,0.38,CGY,4on5,last 10 games
Shot (FW) Volume,1.0,CGY,4on5,last 10 games
Shot (FW) Differential,0.94,CGY,4on5,last 10 games
Penalty Differential,0.38,CGY,4on5,last 10 games
offense_p60_perc,0.81,CGY,4on5,last 10 games
defense_p60_perc,0.03,CGY,4on5,last 10 games
cum_dif_p60_perc,0.12,CGY,4on5,last 10 games
offense,2.62,CGY,4on5,last 10 games
defense,15.2,CGY,4on5,last 10 games
cum_dif,-12.579999999999998,CGY,4on5,last 10 games
Points,0.47,CGY,4on5,last 5 games
Goals For,0.31,CGY,4on5,last 5 games
Goal Differential,0.09,CGY,4on5,last 5 games
Shooting %,0.31,CGY,4on5,last 5 games
Save %,0.06,CGY,4on5,last 5 games
sv%,0.636,CGY,4on5,last 5 games
Blocked shot attempt %,0.55,CGY,4on5,last 5 games
Blocked shot attempt % against,0.06,CGY,4on5,last 5 games
Expected Goals For,0.66,CGY,4on5,last 5 games
XG Differential,0.69,CGY,4on5,last 5 games
Shot (FW) Volume,0.97,CGY,4on5,last 5 games
Shot (FW) Differential,1.0,CGY,4on5,last 5 games
Penalty Differential,0.47,CGY,4on5,last 5 games
offense_p60_perc,0.5,CGY,4on5,last 5 games
defense_p60_perc,0.16,CGY,4on5,last 5 games
cum_dif_p60_perc,0.19,CGY,4on5,last 5 games
offense,0.48,CGY,4on5,last 5 games
defense,5.66,CGY,4on5,last 5 games
cum_dif,-5.18,CGY,4on5,last 5 games
Points,0.48,CGY,5on4,all
Goals For,0.5,CGY,5on4,all
Goal Differential,0.56,CGY,5on4,all
Shooting %,0.34,CGY,5on4,all
Save %,0.78,CGY,5on4,all
sv%,0.939,CGY,5on4,all
Blocked shot attempt %,0.19,CGY,5on4,all
Blocked shot attempt % against,1.0,CGY,5on4,all
Expected Goals For,0.28,CGY,5on4,all
XG Differential,0.44,CGY,5on4,all
Shot (FW) Volume,0.66,CGY,5on4,all
Shot (FW) Differential,0.72,CGY,5on4,all
Penalty Differential,0.19,CGY,5on4,all
offense_p60_perc,0.41,CGY,5on4,all
defense_p60_perc,0.91,CGY,5on4,all
cum_dif_p60_perc,0.56,CGY,5on4,all
offense,72.13,CGY,5on4,all
defense,6.970000000000001,CGY,5on4,all
cum_dif,65.16,CGY,5on4,all
Points,0.39,CGY,5on4,last 20 games
Goals For,0.81,CGY,5on4,last 20 games
Goal Differential,0.91,CGY,5on4,last 20 games
Shooting %,0.88,CGY,5on4,last 20 games
Save %,0.73,CGY,5on4,last 20 games
sv%,0.944,CGY,5on4,last 20 games
Blocked shot attempt %,0.12,CGY,5on4,last 20 games
Blocked shot attempt % against,0.97,CGY,5on4,last 20 games
Expected Goals For,0.88,CGY,5on4,last 20 games
XG Differential,0.81,CGY,5on4,last 20 games
Shot (FW) Volume,0.69,CGY,5on4,last 20 games
Shot (FW) Differential,0.75,CGY,5on4,last 20 games
Penalty Differential,0.25,CGY,5on4,last 20 games
offense_p60_perc,0.84,CGY,5on4,last 20 games
defense_p60_perc,0.75,CGY,5on4,last 20 games
cum_dif_p60_perc,0.88,CGY,5on4,last 20 games
offense,27.98,CGY,5on4,last 20 games
defense,2.5700000000000003,CGY,5on4,last 20 games
cum_dif,25.41,CGY,5on4,last 20 games
Points,0.27,CGY,5on4,last 10 games
Goals For,0.75,CGY,5on4,last 10 games
Goal Differential,0.81,CGY,5on4,last 10 games
Shooting %,0.75,CGY,5on4,last 10 games
Save %,0.81,CGY,5on4,last 10 games
sv%,1.0,CGY,5on4,last 10 games
Blocked shot attempt %,0.25,CGY,5on4,last 10 games
Blocked shot attempt % against,1.0,CGY,5on4,last 10 games
Expected Goals For,0.81,CGY,5on4,last 10 games
XG Differential,0.81,CGY,5on4,last 10 games
Shot (FW) Volume,0.56,CGY,5on4,last 10 games
Shot (FW) Differential,0.47,CGY,5on4,last 10 games
Penalty Differential,0.16,CGY,5on4,last 10 games
offense_p60_perc,0.78,CGY,5on4,last 10 games
defense_p60_perc,0.69,CGY,5on4,last 10 games
cum_dif_p60_perc,0.81,CGY,5on4,last 10 games
offense,16.25,CGY,5on4,last 10 games
defense,1.27,CGY,5on4,last 10 games
cum_dif,14.98,CGY,5on4,last 10 games
Points,0.47,CGY,5on4,last 5 games
Goals For,0.83,CGY,5on4,last 5 games
Goal Differential,0.88,CGY,5on4,last 5 games
Shooting %,0.84,CGY,5on4,last 5 games
Save %,0.73,CGY,5on4,last 5 games
sv%,1.0,CGY,5on4,last 5 games
Blocked shot attempt %,0.23,CGY,5on4,last 5 games
Blocked shot attempt % against,1.0,CGY,5on4,last 5 games
Expected Goals For,0.88,CGY,5on4,last 5 games
XG Differential,0.91,CGY,5on4,last 5 games
Shot (FW) Volume,0.62,CGY,5on4,last 5 games
Shot (FW) Differential,0.72,CGY,5on4,last 5 games
Penalty Differential,0.31,CGY,5on4,last 5 games
offense_p60_perc,0.84,CGY,5on4,last 5 games
defense_p60_perc,0.84,CGY,5on4,last 5 games
cum_dif_p60_perc,0.84,CGY,5on4,last 5 games
offense,10.59,CGY,5on4,last 5 games
defense,0.19,CGY,5on4,last 5 games
cum_dif,10.4,CGY,5on4,last 5 games
Points,0.09,CHI,all,all
Goals For,0.05,CHI,all,all
Goal Differential,0.09,CHI,all,all
Shooting %,0.23,CHI,all,all
Save %,0.33,CHI,all,all
sv%,0.895,CHI,all,all
Blocked shot attempt %,0.7,CHI,all,all
Blocked shot attempt % against,0.56,CHI,all,all
Expected Goals For,0.05,CHI,all,all
XG Differential,0.12,CHI,all,all
Shot (FW) Volume,0.06,CHI,all,all
Shot (FW) Differential,0.09,CHI,all,all
Penalty Differential,0.61,CHI,all,all
offense_p60_perc,0.05,CHI,all,all
defense_p60_perc,0.25,CHI,all,all
cum_dif_p60_perc,0.11,CHI,all,all
offense,296.03,CHI,all,all
defense,409.99,CHI,all,all
cum_dif,-113.96000000000004,CHI,all,all
Points,0.73,CHI,all,last 20 games
Goals For,0.52,CHI,all,last 20 games
Goal Differential,0.45,CHI,all,last 20 games
Shooting %,0.91,CHI,all,last 20 games
Save %,0.56,CHI,all,last 20 games
sv%,0.904,CHI,all,last 20 games
Blocked shot attempt %,0.83,CHI,all,last 20 games
Blocked shot attempt % against,0.53,CHI,all,last 20 games
Expected Goals For,0.06,CHI,all,last 20 games
XG Differential,0.06,CHI,all,last 20 games
Shot (FW) Volume,0.06,CHI,all,last 20 games
Shot (FW) Differential,0.12,CHI,all,last 20 games
Penalty Differential,0.58,CHI,all,last 20 games
offense_p60_perc,0.31,CHI,all,last 20 games
defense_p60_perc,0.22,CHI,all,last 20 games
cum_dif_p60_perc,0.22,CHI,all,last 20 games
offense,115.72,CHI,all,last 20 games
defense,142.34,CHI,all,last 20 games
cum_dif,-26.620000000000005,CHI,all,last 20 games
Points,0.7,CHI,all,last 10 games
Goals For,0.27,CHI,all,last 10 games
Goal Differential,0.33,CHI,all,last 10 games
Shooting %,0.25,CHI,all,last 10 games
Save %,0.47,CHI,all,last 10 games
sv%,0.903,CHI,all,last 10 games
Blocked shot attempt %,0.91,CHI,all,last 10 games
Blocked shot attempt % against,0.53,CHI,all,last 10 games
Expected Goals For,0.09,CHI,all,last 10 games
XG Differential,0.09,CHI,all,last 10 games
Shot (FW) Volume,0.38,CHI,all,last 10 games
Shot (FW) Differential,0.41,CHI,all,last 10 games
Penalty Differential,0.95,CHI,all,last 10 games
offense_p60_perc,0.14,CHI,all,last 10 games
defense_p60_perc,0.44,CHI,all,last 10 games
cum_dif_p60_perc,0.16,CHI,all,last 10 games
offense,52.870000000000005,CHI,all,last 10 games
defense,68.67,CHI,all,last 10 games
cum_dif,-15.799999999999997,CHI,all,last 10 games
Points,0.97,CHI,all,last 5 games
Goals For,0.7,CHI,all,last 5 games
Goal Differential,0.77,CHI,all,last 5 games
Shooting %,0.64,CHI,all,last 5 games
Save %,0.84,CHI,all,last 5 games
sv%,0.925,CHI,all,last 5 games
Blocked shot attempt %,1.0,CHI,all,last 5 games
Blocked shot attempt % against,0.75,CHI,all,last 5 games
Expected Goals For,0.23,CHI,all,last 5 games
XG Differential,0.19,CHI,all,last 5 games
Shot (FW) Volume,0.44,CHI,all,last 5 games
Shot (FW) Differential,0.28,CHI,all,last 5 games
Penalty Differential,0.88,CHI,all,last 5 games
offense_p60_perc,0.53,CHI,all,last 5 games
defense_p60_perc,0.62,CHI,all,last 5 games
cum_dif_p60_perc,0.53,CHI,all,last 5 games
offense,32.14,CHI,all,last 5 games
defense,32.010000000000005,CHI,all,last 5 games
cum_dif,0.12999999999999545,CHI,all,last 5 games
Points,0.09,CHI,5on5,all
Goals For,0.03,CHI,5on5,all
Goal Differential,0.06,CHI,5on5,all
Shooting %,0.22,CHI,5on5,all
Save %,0.3,CHI,5on5,all
sv%,0.904,CHI,5on5,all
Blocked shot attempt %,0.59,CHI,5on5,all
Blocked shot attempt % against,0.44,CHI,5on5,all
Expected Goals For,0.03,CHI,5on5,all
XG Differential,0.06,CHI,5on5,all
Shot (FW) Volume,0.03,CHI,5on5,all
Shot (FW) Differential,0.06,CHI,5on5,all
Penalty Differential,0.89,CHI,5on5,all
offense_p60_perc,0.03,CHI,5on5,all
defense_p60_perc,0.16,CHI,5on5,all
cum_dif_p60_perc,0.06,CHI,5on5,all
offense,215.01,CHI,5on5,all
defense,314.8,CHI,5on5,all
cum_dif,-99.79000000000002,CHI,5on5,all
Points,0.73,CHI,5on5,last 20 games
Goals For,0.59,CHI,5on5,last 20 games
Goal Differential,0.48,CHI,5on5,last 20 games
Shooting %,1.0,CHI,5on5,last 20 games
Save %,0.42,CHI,5on5,last 20 games
sv%,0.907,CHI,5on5,last 20 games
Blocked shot attempt %,0.83,CHI,5on5,last 20 games
Blocked shot attempt % against,0.42,CHI,5on5,last 20 games
Expected Goals For,0.09,CHI,5on5,last 20 games
XG Differential,0.09,CHI,5on5,last 20 games
Shot (FW) Volume,0.09,CHI,5on5,last 20 games
Shot (FW) Differential,0.06,CHI,5on5,last 20 games
Penalty Differential,0.75,CHI,5on5,last 20 games
offense_p60_perc,0.42,CHI,5on5,last 20 games
defense_p60_perc,0.11,CHI,5on5,last 20 games
cum_dif_p60_perc,0.12,CHI,5on5,last 20 games
offense,95.43,CHI,5on5,last 20 games
defense,117.22999999999999,CHI,5on5,last 20 games
cum_dif,-21.799999999999983,CHI,5on5,last 20 games
Points,0.7,CHI,5on5,last 10 games
Goals For,0.25,CHI,5on5,last 10 games
Goal Differential,0.28,CHI,5on5,last 10 games
Shooting %,0.38,CHI,5on5,last 10 games
Save %,0.41,CHI,5on5,last 10 games
sv%,0.902,CHI,5on5,last 10 games
Blocked shot attempt %,0.97,CHI,5on5,last 10 games
Blocked shot attempt % against,0.53,CHI,5on5,last 10 games
Expected Goals For,0.16,CHI,5on5,last 10 games
XG Differential,0.09,CHI,5on5,last 10 games
Shot (FW) Volume,0.28,CHI,5on5,last 10 games
Shot (FW) Differential,0.31,CHI,5on5,last 10 games
Penalty Differential,0.97,CHI,5on5,last 10 games
offense_p60_perc,0.22,CHI,5on5,last 10 games
defense_p60_perc,0.22,CHI,5on5,last 10 games
cum_dif_p60_perc,0.16,CHI,5on5,last 10 games
offense,43.79,CHI,5on5,last 10 games
defense,57.39,CHI,5on5,last 10 games
cum_dif,-13.600000000000001,CHI,5on5,last 10 games
Points,0.97,CHI,5on5,last 5 games
Goals For,0.66,CHI,5on5,last 5 games
Goal Differential,0.62,CHI,5on5,last 5 games
Shooting %,0.69,CHI,5on5,last 5 games
Save %,0.72,CHI,5on5,last 5 games
sv%,0.923,CHI,5on5,last 5 games
Blocked shot attempt %,1.0,CHI,5on5,last 5 games
Blocked shot attempt % against,0.78,CHI,5on5,last 5 games
Expected Goals For,0.28,CHI,5on5,last 5 games
XG Differential,0.23,CHI,5on5,last 5 games
Shot (FW) Volume,0.28,CHI,5on5,last 5 games
Shot (FW) Differential,0.22,CHI,5on5,last 5 games
Penalty Differential,0.75,CHI,5on5,last 5 games
offense_p60_perc,0.59,CHI,5on5,last 5 games
defense_p60_perc,0.48,CHI,5on5,last 5 games
cum_dif_p60_perc,0.48,CHI,5on5,last 5 games
offense,25.869999999999997,CHI,5on5,last 5 games
defense,26.67,CHI,5on5,last 5 games
cum_dif,-0.8000000000000043,CHI,5on5,last 5 games
Points,0.09,CHI,4on5,all
Goals For,0.75,CHI,4on5,all
Goal Differential,0.34,CHI,4on5,all
Shooting %,0.72,CHI,4on5,all
Save %,0.12,CHI,4on5,all
sv%,0.839,CHI,4on5,all
Blocked shot attempt %,0.45,CHI,4on5,all
Blocked shot attempt % against,0.69,CHI,4on5,all
Expected Goals For,0.27,CHI,4on5,all
XG Differential,0.39,CHI,4on5,all
Shot (FW) Volume,0.47,CHI,4on5,all
Shot (FW) Differential,0.81,CHI,4on5,all
Penalty Differential,0.09,CHI,4on5,all
offense_p60_perc,0.59,CHI,4on5,all
defense_p60_perc,0.38,CHI,4on5,all
cum_dif_p60_perc,0.34,CHI,4on5,all
offense,9.9,CHI,4on5,all
defense,66.55,CHI,4on5,all
cum_dif,-56.65,CHI,4on5,all
Points,0.73,CHI,4on5,last 20 games
Goals For,0.81,CHI,4on5,last 20 games
Goal Differential,0.61,CHI,4on5,last 20 games
Shooting %,0.73,CHI,4on5,last 20 games
Save %,0.28,CHI,4on5,last 20 games
sv%,0.857,CHI,4on5,last 20 games
Blocked shot attempt %,0.23,CHI,4on5,last 20 games
Blocked shot attempt % against,0.5,CHI,4on5,last 20 games
Expected Goals For,0.23,CHI,4on5,last 20 games
XG Differential,0.62,CHI,4on5,last 20 games
Shot (FW) Volume,0.47,CHI,4on5,last 20 games
Shot (FW) Differential,0.78,CHI,4on5,last 20 games
Penalty Differential,0.28,CHI,4on5,last 20 games
offense_p60_perc,0.69,CHI,4on5,last 20 games
defense_p60_perc,0.62,CHI,4on5,last 20 games
cum_dif_p60_perc,0.72,CHI,4on5,last 20 games
offense,3.13,CHI,4on5,last 20 games
defense,17.42,CHI,4on5,last 20 games
cum_dif,-14.290000000000003,CHI,4on5,last 20 games
Points,0.7,CHI,4on5,last 10 games
Goals For,0.78,CHI,4on5,last 10 games
Goal Differential,0.45,CHI,4on5,last 10 games
Shooting %,0.69,CHI,4on5,last 10 games
Save %,0.16,CHI,4on5,last 10 games
sv%,0.818,CHI,4on5,last 10 games
Blocked shot attempt %,0.19,CHI,4on5,last 10 games
Blocked shot attempt % against,0.78,CHI,4on5,last 10 games
Expected Goals For,0.19,CHI,4on5,last 10 games
XG Differential,0.62,CHI,4on5,last 10 games
Shot (FW) Volume,0.38,CHI,4on5,last 10 games
Shot (FW) Differential,0.72,CHI,4on5,last 10 games
Penalty Differential,0.28,CHI,4on5,last 10 games
offense_p60_perc,0.56,CHI,4on5,last 10 games
defense_p60_perc,0.56,CHI,4on5,last 10 games
cum_dif_p60_perc,0.56,CHI,4on5,last 10 games
offense,1.32,CHI,4on5,last 10 games
defense,6.83,CHI,4on5,last 10 games
cum_dif,-5.51,CHI,4on5,last 10 games
Points,0.97,CHI,4on5,last 5 games
Goals For,0.97,CHI,4on5,last 5 games
Goal Differential,0.44,CHI,4on5,last 5 games
Shooting %,0.84,CHI,4on5,last 5 games
Save %,0.19,CHI,4on5,last 5 games
