season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,g_dif,xg_dif,fwf_dif,hdsc_dif
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,4on5,240.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.3333333333333335,1.0,6.0,0.14,1.0,7.0,0.12,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,2.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,5on4,480.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,0.0,1.0,2.9,0.0,10.0,0.0,1.0,16.0,1.0,0.94,5.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,6.0,1.0,5.0,0.0,0.31,0.0,0.38,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,5on5,2730.0,4.0,2.0,0.0,0.0,0.0,8.0,6.0,0.57,18.0,16.0,0.53,2.4523809523809526,2.3333333333333335,43.0,49.0,0.47,56.0,63.0,0.47,30.0,36.0,10.0,17.0,7.0,10.0,22.0,7.0,14.0,12.0,0.3333333333333333,0.26666666666666666,13.0,14.0,13.0,13.0,0.23,0.21,0.23,0.22,2.0,4.0,4.0,8.0,14.0,32.0,12.0,12.0,2.0,2.0,17.0,10.0,6.0,2.0,2.0,4.0,2.0,0.0,-6.0,2.0
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,all,3600.0,4.0,2.0,0.0,0.0,0.0,12.0,9.0,0.57,24.0,21.0,0.53,2.5384615384615383,2.450980392156863,54.0,55.0,0.5,73.0,71.0,0.51,36.0,40.0,12.0,20.0,8.0,12.0,23.0,7.0,15.0,13.0,0.28846153846153844,0.2549019607843137,19.0,16.0,18.0,15.0,0.25,0.21,0.26,0.23,2.0,4.0,4.0,8.0,19.0,40.0,13.0,12.0,2.0,2.0,19.0,11.0,8.0,3.0,2.0,4.0,2.0,0.0,-1.0,3.0
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,other,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,4on5,480.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2.9,0.0,10.0,0.0,1.0,16.0,0.06,0.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.1,1.0,6.0,0.0,5.0,0.0,0.31,1.0,0.38,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-4.0
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,5on4,240.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,3.3333333333333335,0.0,6.0,1.0,0.86,7.0,1.0,0.88,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,2.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,5on5,2730.0,2.0,4.0,0.0,0.0,0.0,6.0,8.0,0.43,16.0,18.0,0.47,2.3333333333333335,2.4523809523809526,49.0,43.0,0.53,63.0,56.0,0.53,36.0,30.0,10.0,22.0,7.0,10.0,17.0,7.0,12.0,14.0,0.26666666666666666,0.3333333333333333,14.0,13.0,13.0,13.0,0.21,0.23,0.22,0.23,4.0,8.0,2.0,4.0,32.0,14.0,17.0,10.0,6.0,2.0,12.0,12.0,2.0,2.0,4.0,2.0,-2.0,0.0,6.0,-2.0
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,all,3600.0,2.0,4.0,0.0,0.0,0.0,9.0,12.0,0.43,21.0,24.0,0.47,2.450980392156863,2.5384615384615383,55.0,54.0,0.5,71.0,73.0,0.49,40.0,36.0,12.0,23.0,7.0,12.0,20.0,8.0,13.0,15.0,0.2549019607843137,0.28846153846153844,16.0,19.0,15.0,18.0,0.21,0.25,0.23,0.26,4.0,8.0,2.0,4.0,40.0,19.0,19.0,11.0,8.0,3.0,13.0,12.0,2.0,2.0,4.0,2.0,-2.0,0.0,1.0,-3.0
20232024,2023020002,2023-10-10,PIT,1,HOME,CHI,L,REG,2.0,4.0,other,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
