season,game_id,team,desc_new,strength,desc,game_period,time_elapsed,goal_desc
20202021,2020020001,PHI,,5on4,"James van Riemsdyk (1), Erik Gustafsson (1), Joel Farabee (1)",1,15:11,1-0
20202021,2020020001,PHI,,5on4,"Nolan Patrick (1), Erik Gustafsson (2), Joel Farabee (2)",1,19:52,2-0
20202021,2020020001,PIT,,5on5,"Mark Jankowski (1), Brandon Tanev (1), Jared McCann (1)",1,5:12,1-2
20202021,2020020001,PHI,,5on5,"Joel Farabee (1), Kevin Hayes (0)",2,18:54,3-1
20202021,2020020001,PIT,,5on4,Sidney Crosby (1),2,3:39,2-3
20202021,2020020001,PHI,,5on5,"Oskar Lindblom (1), Travis Konecny (1), Sean Couturier (1)",3,12:14,4-2
20202021,2020020001,PHI,,5on5,"Kevin Hayes (1), Joel Farabee (1), Claude Giroux (1)",3,12:34,5-2
20202021,2020020001,PIT,,5on5,"Brandon Tanev (1), Mark Jankowski (0)",3,3:01,3-5
20202021,2020020001,PHI,,5on5,"Michael Raffl (1), Scott Laughton (1), Nicolas Aube-Kubel (1)",3,5:37,6-3
20202021,2020020002,TBL,,5on4,"Ondrej Palat (1), Victor Hedman (1), Steven Stamkos (1)",1,10:39,1-0
20202021,2020020002,TBL,,5on5,"Mathieu Joseph (1), Alex Killorn (1), Anthony Cirelli (1)",1,16:18,2-0
20202021,2020020002,TBL,,5on5,"Anthony Cirelli (1), Erik Cernak (2), Alex Killorn (2)",1,17:57,3-0
20202021,2020020002,TBL,,5on4,"Steven Stamkos (1), Brayden Point (2), Victor Hedman (2)",2,9:56,4-0
20202021,2020020002,CHI,,5on4,"Dylan Strome (1), Andrew Shaw (1), Adam Boqvist (1)",3,16:36,1-4
20202021,2020020002,TBL,,5on5,"Brayden Point (1), Steven Stamkos (1), Mikhail Sergachev (1)",3,6:45,5-1
20202021,2020020003,MTL,,5on4,"Nick Suzuki (1), Jonathan Drouin (1), Jeff Petry (1)",1,12:49,1-0
20202021,2020020003,TOR,,5on5,"William Nylander (1), Justin Holl (1), John Tavares (1)",1,15:56,1-1
20202021,2020020003,MTL,,5on5,"Josh Anderson (1), Jonathan Drouin (2), Jeff Petry (2)",1,19:36,2-1
20202021,2020020003,TOR,,5on4,"William Nylander (2), Jason Spezza (1), Zach Hyman (1)",2,18:00,2-2
20202021,2020020003,TOR,,other,"John Tavares (1), Mitchell Marner (1), Frederik Andersen (1)",2,19:21,3-2
