team,player,line,pos,num,handedness,gp,toi_pg,ppts,g,a1,a2,iXG,iFW,xg_perc,iOff,Off,Def,age,status,years_remaining,free_agency_type,cap_hit,full,info
TOR,Wayne Simmonds,scratch,F,24.0,R,18.0,7.449074074074074,1.0,0.0,1.0,1.0,0.84979844,14.0,0.4482369684652608,2.34979844,8.98601279,-9.13759624,34,NHL,1,UFA,900000,Toronto Maple Leafs,"Wayne Simmonds

GP: 18.0

TOI per game: 7.449074074074074

G: 0.0

A: 2.0

Primary PTS: 1.0

iXG: 0.84979844

iFW: 14.0

XG%: 0.4482369684652608"
NYI,Oliver Wahlstrom,injured reserve,F,26,R,35.0,12.165714285714284,9.0,7.0,2.0,7.0,5.85349337,97.0,0.4367648459976105,18.35349337,43.64276848,-37.56772179,22,IR,1,RFA,894167,New York Islanders,"Oliver Wahlstrom

GP: 35.0

TOI per game: 12.165714285714284

G: 7.0

A: 9.0

Primary PTS: 9.0

iXG: 5.85349337

iFW: 97.0

XG%: 0.4367648459976105"
WPG,Cole Perfetti,injured reserve,F,91,L,51.0,14.973856209150329,19.0,8.0,11.0,11.0,10.74445561,122.0,0.4996112213541335,35.24445561,84.51177505999999,-53.93026177,21,IR,2,RFA,894167,Winnipeg Jets,"Cole Perfetti

GP: 51.0

TOI per game: 14.973856209150329

G: 8.0

A: 22.0

Primary PTS: 19.0

iXG: 10.74445561

iFW: 122.0

XG%: 0.4996112213541335"
ARI,Nathan Smith,scratch,F,13.0,R,4.0,7.441666666666666,0.0,0.0,0.0,0.0,0.1996185,3.0,0.1727584212662719,0.1996185,0.44112666,-3.11230406,24,Minor,1,RFA,883750,Arizona Coyotes,"Nathan Smith

GP: 4.0

TOI per game: 7.441666666666666

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 0.1996185

iFW: 3.0

XG%: 0.1727584212662719"
LAK,Alex Laferriere,scratch,F,78.0,R,,,,,,,,,,,,,21,NHL,3,RFA,875000,Los Angeles Kings,"Alex Laferriere

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
VAN,Vitali Kravtsov,scratch,F,91.0,L,44.0,11.207575757575755,6.0,4.0,2.0,2.0,5.43400684,64.0,0.4839397825869532,12.43400684,38.37698935,-27.87320549,23,NHL,1,RFA,875000,Vancouver Canucks,"Vitali Kravtsov

GP: 44.0

TOI per game: 11.207575757575755

G: 4.0

A: 4.0

Primary PTS: 6.0

iXG: 5.43400684

iFW: 64.0

XG%: 0.4839397825869532"
EDM,Philip Broberg,scratch,D,86.0,L,46.0,11.920289855072465,3.0,1.0,2.0,5.0,1.70059436,43.0,0.5870308549179994,7.20059436,63.88307621,-54.28675692,21,NHL,2,RFA,863333,Edmonton Oilers,"Philip Broberg

GP: 46.0

TOI per game: 11.920289855072465

G: 1.0

A: 7.0

Primary PTS: 3.0

iXG: 1.70059436

iFW: 43.0

XG%: 0.5870308549179994"
WSH,Connor McMichael,scratch,F,24.0,L,6.0,8.858333333333333,0.0,0.0,0.0,0.0,0.1581511,2.0,0.235362903199187,0.1581511,3.2321355,-5.89948235,22,Minor,2,RFA,863333,Washington Capitals,"Connor McMichael

GP: 6.0

TOI per game: 8.858333333333333

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 0.1581511

iFW: 2.0

XG%: 0.235362903199187"
NYI,Simon Holmstrom,scratch,F,10.0,L,50.0,11.097,7.0,6.0,1.0,2.0,4.28958625,59.0,0.5139870631454285,12.28958625,39.36238964,-45.64467614,21,NHL,2,RFA,863333,New York Islanders,"Simon Holmstrom

GP: 50.0

TOI per game: 11.097

G: 6.0

A: 3.0

Primary PTS: 7.0

iXG: 4.28958625

iFW: 59.0

XG%: 0.5139870631454285"
PIT,Samuel Poulin,scratch,F,22.0,L,,,,,,,,,,,,,22,Minor,2,RFA,863333,Pittsburgh Penguins,"Samuel Poulin

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
PHI,Tyson Foerster,scratch,F,52.0,R,8.0,16.566666666666666,7.0,3.0,4.0,0.0,2.16876236,23.0,0.57457102912234,9.16876236,19.24649173,-12.41873627,21,Minor,3,RFA,863333,Philadelphia Flyers,"Tyson Foerster

GP: 8.0

TOI per game: 16.566666666666666

G: 3.0

A: 4.0

Primary PTS: 7.0

iXG: 2.16876236

iFW: 23.0

XG%: 0.57457102912234"
SEA,Tye Kartye,scratch,F,52.0,L,,,,,,,,,,,,,21,NHL,3,RFA,859167,Seattle Kraken,"Tye Kartye

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
WPG,Oskari Salminen,scratch,G,35.0,L,,,,,,,,,,,,,23,Emerg. Loan,2,RFA,855000,Winnipeg Jets,"Oskari Salminen

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
VGK,Ben Hutton,scratch,D,17.0,L,31.0,15.19731182795699,5.0,3.0,2.0,3.0,2.63788147,66.0,0.4983471683051808,9.13788147,41.10624838,-36.523398400000005,29,NHL,2,UFA,850000,Vegas Golden Knights,"Ben Hutton

GP: 31.0

TOI per game: 15.19731182795699

G: 3.0

A: 5.0

Primary PTS: 5.0

iXG: 2.63788147

iFW: 66.0

XG%: 0.4983471683051808"
EDM,Devin Shore,scratch,F,19.0,L,47.0,8.920921985815601,7.0,1.0,6.0,2.0,4.1677897,48.0,0.5025954137509594,12.1677897,30.74440686,-27.65100994,28,NHL,1,UFA,850000,Edmonton Oilers,"Devin Shore

GP: 47.0

TOI per game: 8.920921985815601

G: 1.0

A: 8.0

Primary PTS: 7.0

iXG: 4.1677897

iFW: 48.0

XG%: 0.5025954137509594"
DET,Taro Hirose,scratch,F,25.0,L,3.0,10.327777777777778,0.0,0.0,0.0,0.0,0.1846289,4.0,0.5215068532854836,0.1846289,0.47879115,-2.43930062,26,Minor,2,UFA,850000,Detroit Red Wings,"Taro Hirose

GP: 3.0

TOI per game: 10.327777777777778

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 0.1846289

iFW: 4.0

XG%: 0.5215068532854836"
TBL,Zach Bogosian,scratch,D,24.0,R,46.0,14.975,4.0,1.0,3.0,1.0,2.02231766,73.0,0.4875603891100197,6.522317660000001,57.10492339,-68.23090847,32,NHL,2,UFA,850000,Tampa Bay Lightning,"Zach Bogosian

GP: 46.0

TOI per game: 14.975

G: 1.0

A: 4.0

Primary PTS: 4.0

iXG: 2.02231766

iFW: 73.0

XG%: 0.4875603891100197"
CAR,Calvin de Haan,scratch,D,44.0,L,53.0,13.533333333333331,6.0,2.0,4.0,6.0,2.93802242,102.0,0.6081245816108564,11.93802242,67.97299398,-49.89283035,31,NHL,1,UFA,850000,Carolina Hurricanes,"Calvin de Haan

GP: 53.0

TOI per game: 13.533333333333331

G: 2.0

A: 10.0

Primary PTS: 6.0

iXG: 2.93802242

iFW: 102.0

XG%: 0.6081245816108564"
TOR,Conor Timmins,scratch,D,25.0,R,27.0,15.073456790123457,9.0,2.0,7.0,5.0,0.5357953,27.0,0.5073289470385955,12.0357953,43.48096683,-37.0574153,24,NHL,3,RFA,850000,Toronto Maple Leafs,"Conor Timmins

GP: 27.0

TOI per game: 15.073456790123457

G: 2.0

A: 12.0

Primary PTS: 9.0

iXG: 0.5357953

iFW: 27.0

XG%: 0.5073289470385955"
NSH,Cal Foote,scratch,D,52.0,R,50.0,15.113,4.0,2.0,2.0,3.0,1.55077698,58.0,0.4552343184769338,7.05077698,62.59887379,-72.15879023,24,NHL,1,RFA,850000,Nashville Predators,"Cal Foote

GP: 50.0

TOI per game: 15.113

G: 2.0

A: 5.0

Primary PTS: 4.0

iXG: 1.55077698

iFW: 58.0

XG%: 0.4552343184769338"
SJS,Nikolai Knyzhov,scratch,D,71.0,L,12.0,16.143055555555556,1.0,1.0,0.0,0.0,0.342737,14.0,0.3964606500071106,1.342737,10.52962888,-32.51104495,25,NHL,3,UFA,850000,San Jose Sharks,"Nikolai Knyzhov

GP: 12.0

TOI per game: 16.143055555555556

G: 1.0

A: 0.0

Primary PTS: 1.0

iXG: 0.342737

iFW: 14.0

XG%: 0.3964606500071106"
LAK,David Hrenak,scratch,G,85.0,L,,,,,,,,,,,,,24,Emerg. Loan,1,RFA,842500,Los Angeles Kings,"David Hrenak

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
PIT,Valtteri Puustinen,scratch,F,76.0,R,,,,,,,,,,,,,23,Minor,1,RFA,842500,Pittsburgh Penguins,"Valtteri Puustinen

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
CAR,Pyotr Kochetkov,scratch,G,52.0,L,,,,,,,,,,,,,23,NHL,5,UFA,842500,Carolina Hurricanes,"Pyotr Kochetkov

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
DET,Seth Barton,scratch,D,49.0,R,,,,,,,,,,,,,23,Minor,1,RFA,832500,Detroit Red Wings,"Seth Barton

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
MTL,Arber Xhekaj,scratch,D,72.0,L,51.0,15.27091503267974,9.0,5.0,4.0,3.0,2.8839776,103.0,0.3847888972317472,13.3839776,59.32369874,-83.41444835,22,IR,2,RFA,828333,Montreal Canadiens,"Arber Xhekaj

GP: 51.0

TOI per game: 15.27091503267974

G: 5.0

A: 7.0

Primary PTS: 9.0

iXG: 2.8839776

iFW: 103.0

XG%: 0.3847888972317472"
MIN,Hunter Jones,scratch,G,95.0,L,,,,,,,,,,,,,22,Emerg. Loan,1,RFA,825833,Minnesota Wild,"Hunter Jones

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
WPG,Karson Kuhlman,scratch,F,20.0,R,47.0,11.727659574468086,4.0,3.0,1.0,3.0,6.83008897,77.0,0.5238131996552793,12.33008897,43.12553319,-57.35381101,27,NHL,1,UFA,825000,Winnipeg Jets,"Karson Kuhlman

GP: 47.0

TOI per game: 11.727659574468086

G: 3.0

A: 4.0

Primary PTS: 4.0

iXG: 6.83008897

iFW: 77.0

XG%: 0.5238131996552793"
LAK,Gabriel Vilardi,scratch,F,13.0,R,63.0,15.26904761904762,33.0,23.0,10.0,8.0,17.50377794,160.0,0.5372296572090072,54.50377794,123.20484205,-61.65588692,23,NHL,1,RFA,825000,Los Angeles Kings,"Gabriel Vilardi

GP: 63.0

TOI per game: 15.26904761904762

G: 23.0

A: 18.0

Primary PTS: 33.0

iXG: 17.50377794

iFW: 160.0

XG%: 0.5372296572090072"
NSH,Rasmus Asplund,scratch,F,71.0,L,46.0,10.96231884057971,4.0,2.0,2.0,4.0,5.8487794,68.0,0.4304932012101557,11.8487794,37.01570248,-57.62408697,25,NHL,1,RFA,825000,Nashville Predators,"Rasmus Asplund

GP: 46.0

TOI per game: 10.96231884057971

G: 2.0

A: 6.0

Primary PTS: 4.0

iXG: 5.8487794

iFW: 68.0

XG%: 0.4304932012101557"
BOS,Brandon Bussi,scratch,G,70.0,R,,,,,,,,,,,,,24,Emerg. Loan,1,RFA,825000,Boston Bruins,"Brandon Bussi

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
OTT,Egor Sokolov,scratch,F,75.0,R,5.0,7.040000000000001,2.0,1.0,1.0,0.0,0.51871666,5.0,0.7817264534998826,2.51871666,8.67041407,-3.28380893,22,Minor,1,RFA,818333,Ottawa Senators,"Egor Sokolov

GP: 5.0

TOI per game: 7.040000000000001

G: 1.0

A: 1.0

Primary PTS: 2.0

iXG: 0.51871666

iFW: 5.0

XG%: 0.7817264534998826"
STL,Nikita Alexandrov,scratch,F,59.0,L,28.0,9.813095238095238,6.0,3.0,3.0,1.0,3.67151838,40.0,0.4907890126417417,10.17151838,18.34022755,-18.78607672,22,Minor,2,RFA,816667,St. Louis Blues,"Nikita Alexandrov

GP: 28.0

TOI per game: 9.813095238095238

G: 3.0

A: 4.0

Primary PTS: 6.0

iXG: 3.67151838

iFW: 40.0

XG%: 0.4907890126417417"
STL,Tyler Tucker,scratch,D,75.0,L,26.0,14.641666666666667,1.0,1.0,0.0,3.0,0.41348514,27.0,0.467785276465422,2.91348514,24.81682565,-37.15397462,23,Minor,1,RFA,808333,St. Louis Blues,"Tyler Tucker

GP: 26.0

TOI per game: 14.641666666666667

G: 1.0

A: 3.0

Primary PTS: 1.0

iXG: 0.41348514

iFW: 27.0

XG%: 0.467785276465422"
CHI,Mike Hardman,scratch,F,86.0,L,8.0,10.164583333333333,0.0,0.0,0.0,0.0,0.9181403,12.0,0.3900622345054258,0.9181403,2.14280403,-5.35068865,24,Minor,2,RFA,800000,Chicago Blackhawks,"Mike Hardman

GP: 8.0

TOI per game: 10.164583333333333

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 0.9181403

iFW: 12.0

XG%: 0.3900622345054258"
OTT,Julien Gauthier,scratch,F,77.0,R,57.0,8.634502923976608,12.0,9.0,3.0,2.0,5.45488743,73.0,0.4471135187975977,18.45488743,37.5437312,-47.99620959,25,NHL,1,RFA,800000,Ottawa Senators,"Julien Gauthier

GP: 57.0

TOI per game: 8.634502923976608

G: 9.0

A: 5.0

Primary PTS: 12.0

iXG: 5.45488743

iFW: 73.0

XG%: 0.4471135187975977"
TOR,Erik Gustafsson,scratch,D,56.0,L,70.0,19.70619047619048,25.0,7.0,18.0,17.0,6.47978034,188.0,0.5246941140358988,39.97978034,170.03164829,-117.8828156,31,NHL,1,UFA,800000,Toronto Maple Leafs,"Erik Gustafsson

GP: 70.0

TOI per game: 19.70619047619048

G: 7.0

A: 35.0

Primary PTS: 25.0

iXG: 6.47978034

iFW: 188.0

XG%: 0.5246941140358988"
TBL,Tanner Jeannot,scratch,F,84.0,L,76.0,14.253070175438596,12.0,6.0,6.0,6.0,14.95199193,154.0,0.5160129188895713,29.95199193,85.64698382,-125.52906355,25,NHL,1,RFA,800000,Tampa Bay Lightning,"Tanner Jeannot

GP: 76.0

TOI per game: 14.253070175438596

G: 6.0

A: 12.0

Primary PTS: 12.0

iXG: 14.95199193

iFW: 154.0

XG%: 0.5160129188895713"
NYR,Libor Hajek,scratch,D,25.0,L,16.0,13.259375,1.0,1.0,0.0,0.0,0.23316165,15.0,0.4944459605319242,1.23316165,14.36899031,-12.5473001,25,NHL,1,RFA,800000,New York Rangers,"Libor Hajek

GP: 16.0

TOI per game: 13.259375

G: 1.0

A: 0.0

Primary PTS: 1.0

iXG: 0.23316165

iFW: 15.0

XG%: 0.4944459605319242"
TOR,Nicholas Robertson,injured reserve,F,89.0,L,15.0,10.884444444444446,2.0,2.0,0.0,3.0,2.41234946,36.0,0.4938770485659441,5.91234946,14.82527469,-12.76031766,21,LTIR,2,RFA,796667,Toronto Maple Leafs,"Nicholas Robertson

GP: 15.0

TOI per game: 10.884444444444446

G: 2.0

A: 3.0

Primary PTS: 2.0

iXG: 2.41234946

iFW: 36.0

XG%: 0.4938770485659441"
MIN,Calen Addison,scratch,D,2.0,R,62.0,16.119892473118277,16.0,3.0,13.0,13.0,2.60489505,106.0,0.491417626753616,25.10489505,133.85460240999998,-83.48692906,23,NHL,1,RFA,795000,Minnesota Wild,"Calen Addison

GP: 62.0

TOI per game: 16.119892473118277

G: 3.0

A: 26.0

Primary PTS: 16.0

iXG: 2.60489505

iFW: 106.0

XG%: 0.491417626753616"
ARI,Vladislav Kolyachonok,scratch,D,92.0,L,2.0,13.758333333333333,0.0,0.0,0.0,0.0,0.3139855,2.0,0.229465730174102,0.3139855,0.6352346200000001,-4.44821855,21,Minor,2,RFA,789167,Arizona Coyotes,"Vladislav Kolyachonok

GP: 2.0

TOI per game: 13.758333333333333

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 0.3139855

iFW: 2.0

XG%: 0.229465730174102"
VGK,Kaedan Korczak,scratch,D,6.0,R,10.0,15.436666666666667,1.0,0.0,1.0,1.0,0.60106867,26.0,0.6282015059397668,2.10106867,16.874280390000003,-16.95324672,22,NHL,2,RFA,789167,Vegas Golden Knights,"Kaedan Korczak

GP: 10.0

TOI per game: 15.436666666666667

G: 0.0

A: 2.0

Primary PTS: 1.0

iXG: 0.60106867

iFW: 26.0

XG%: 0.6282015059397668"
PIT,Mark Friedman,scratch,D,52.0,R,23.0,14.45,2.0,1.0,1.0,1.0,1.53372012,51.0,0.5656906710643665,4.03372012,27.77085097,-28.67266539,27,Minor,2,UFA,775000,Pittsburgh Penguins,"Mark Friedman

GP: 23.0

TOI per game: 14.45

G: 1.0

A: 2.0

Primary PTS: 2.0

iXG: 1.53372012

iFW: 51.0

XG%: 0.5656906710643665"
NYR,Louis Domingue,scratch,G,70.0,R,,,,,,,,,,,,,31,NHL,2,UFA,775000,New York Rangers,"Louis Domingue

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
ANA,Brett Leason,scratch,F,20.0,R,54.0,10.64351851851852,8.0,6.0,2.0,1.0,5.90901687,78.0,0.3509284585049371,14.40901687,34.046837780000004,-73.30413748000001,23,NHL,2,RFA,775000,Anaheim Ducks,"Brett Leason

GP: 54.0

TOI per game: 10.64351851851852

G: 6.0

A: 3.0

Primary PTS: 8.0

iXG: 5.90901687

iFW: 78.0

XG%: 0.3509284585049371"
NYR,Jake Leschyshyn,scratch,F,15.0,L,35.0,9.128571428571428,0.0,0.0,0.0,0.0,4.0628609,36.0,0.4077722686788683,4.0628609,13.85752782,-27.7487403,24,NHL,3,RFA,766667,New York Rangers,"Jake Leschyshyn

GP: 35.0

TOI per game: 9.128571428571428

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 4.0628609

iFW: 36.0

XG%: 0.4077722686788683"
VGK,Logan Thompson,scratch,G,36.0,R,,,,,,,,,,,,,26,NHL,3,UFA,766667,Vegas Golden Knights,"Logan Thompson

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
NYI,Jakub Skarek,scratch,G,1.0,L,,,,,,,,,,,,,23,NHL,1,RFA,764167,New York Islanders,"Jakub Skarek

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
BOS,Jakub Lauko,scratch,F,94.0,L,23.0,8.864492753623187,7.0,4.0,3.0,0.0,2.55862428,25.0,0.5181549101811315,9.55862428,18.2917446,-18.8159387,23,NHL,1,RFA,764167,Boston Bruins,"Jakub Lauko

GP: 23.0

TOI per game: 8.864492753623187

G: 4.0

A: 3.0

Primary PTS: 7.0

iXG: 2.55862428

iFW: 25.0

XG%: 0.5181549101811315"
TOR,Bobby McMann,injured reserve,F,74.0,L,10.0,10.571666666666667,0.0,0.0,0.0,1.0,2.20051817,26.0,0.5917944121735728,2.70051817,9.20915442,-8.79012447,26,LTIR,2,UFA,762500,Toronto Maple Leafs,"Bobby McMann

GP: 10.0

TOI per game: 10.571666666666667

G: 0.0

A: 1.0

Primary PTS: 0.0

iXG: 2.20051817

iFW: 26.0

XG%: 0.5917944121735728"
COL,Brad Hunt,scratch,D,17.0,L,47.0,10.89503546099291,7.0,4.0,3.0,3.0,1.73623197,67.0,0.516796629367867,10.23623197,42.15572908,-36.8341683,34,NHL,2,UFA,762500,Colorado Avalanche,"Brad Hunt

GP: 47.0

TOI per game: 10.89503546099291

G: 4.0

A: 6.0

Primary PTS: 7.0

iXG: 1.73623197

iFW: 67.0

XG%: 0.516796629367867"
WSH,Beck Malenstyn,scratch,F,47.0,L,9.0,9.912962962962965,2.0,1.0,1.0,0.0,0.40812986,10.0,0.2914864928451304,2.40812986,4.42305281,-7.80464803,25,Minor,2,RFA,762500,Washington Capitals,"Beck Malenstyn

GP: 9.0

TOI per game: 9.912962962962965

G: 1.0

A: 1.0

Primary PTS: 2.0

iXG: 0.40812986

iFW: 10.0

XG%: 0.2914864928451304"
CAR,Dylan Coghlan,scratch,D,15.0,R,17.0,12.720588235294118,2.0,0.0,2.0,1.0,1.61893746,44.0,0.6513652819149568,4.11893746,22.5737462,-16.44841888,25,NHL,1,RFA,762500,Carolina Hurricanes,"Dylan Coghlan

GP: 17.0

TOI per game: 12.720588235294118

G: 0.0

A: 3.0

Primary PTS: 2.0

iXG: 1.61893746

iFW: 44.0

XG%: 0.6513652819149568"
DET,Austin Czarnik,scratch,F,21.0,R,29.0,11.172413793103448,5.0,3.0,2.0,0.0,2.83383496,37.0,0.4843188200095943,7.83383496,21.58322791,-25.35906418,30,NHL,2,UFA,762500,Detroit Red Wings,"Austin Czarnik

GP: 29.0

TOI per game: 11.172413793103448

G: 3.0

A: 2.0

Primary PTS: 5.0

iXG: 2.83383496

iFW: 37.0

XG%: 0.4843188200095943"
BOS,A.J. Greer,scratch,F,10.0,L,61.0,9.109016393442625,9.0,5.0,4.0,3.0,8.74196444,85.0,0.5677127519314843,19.24196444,49.91510334,-33.05220715,26,NHL,2,UFA,762500,Boston Bruins,"A.J. Greer

GP: 61.0

TOI per game: 9.109016393442625

G: 5.0

A: 7.0

Primary PTS: 9.0

iXG: 8.74196444

iFW: 85.0

XG%: 0.5677127519314843"
TBL,Haydn Fleury,scratch,D,7.0,L,29.0,12.792528735632184,0.0,0.0,0.0,1.0,1.92085676,51.0,0.4883953022557031,2.42085676,20.71024914,-39.21062897,26,NHL,2,UFA,762500,Tampa Bay Lightning,"Haydn Fleury

GP: 29.0

TOI per game: 12.792528735632184

G: 0.0

A: 1.0

Primary PTS: 0.0

iXG: 1.92085676

iFW: 51.0

XG%: 0.4883953022557031"
NYR,Jonny Brodzinski,scratch,F,76.0,R,17.0,9.318627450980392,1.0,1.0,0.0,1.0,1.81730143,36.0,0.463120466885678,3.31730143,10.78150773,-9.47753618,29,NHL,2,UFA,762500,New York Rangers,"Jonny Brodzinski

GP: 17.0

TOI per game: 9.318627450980392

G: 1.0

A: 1.0

Primary PTS: 1.0

iXG: 1.81730143

iFW: 36.0

XG%: 0.463120466885678"
CGY,Nick DeSimone,scratch,D,57.0,R,4.0,11.25,0.0,0.0,0.0,0.0,0.12549324,6.0,0.3804918916507039,0.12549324,2.38820972,-7.44471096,28,Minor,2,UFA,762500,Calgary Flames,"Nick DeSimone

GP: 4.0

TOI per game: 11.25

G: 0.0

A: 0.0

Primary PTS: 0.0

iXG: 0.12549324

iFW: 6.0

XG%: 0.3804918916507039"
ANA,Colton White,scratch,D,45.0,L,46.0,14.456159420289856,3.0,0.0,3.0,3.0,1.63400674,39.0,0.367500269403493,6.13400674,41.216266520000005,-83.23452368,25,NHL,2,UFA,762500,Anaheim Ducks,"Colton White

GP: 46.0

TOI per game: 14.456159420289856

G: 0.0

A: 6.0

Primary PTS: 3.0

iXG: 1.63400674

iFW: 39.0

XG%: 0.367500269403493"
MTL,Chris Wideman,scratch,D,6.0,R,46.0,13.51195652173913,3.0,0.0,3.0,3.0,1.01097836,45.0,0.3958764858191137,5.51097836,52.65647643,-64.53729311000001,33,NHL,2,UFA,762500,Montreal Canadiens,"Chris Wideman

GP: 46.0

TOI per game: 13.51195652173913

G: 0.0

A: 6.0

Primary PTS: 3.0

iXG: 1.01097836

iFW: 45.0

XG%: 0.3958764858191137"
SJS,Jacob MacDonald,scratch,D,9.0,L,58.0,11.88477011494253,4.0,1.0,3.0,4.0,5.25792388,104.0,0.5041782171176972,11.25792388,53.62560653,-61.94601991,30,NHL,2,UFA,762500,San Jose Sharks,"Jacob MacDonald

GP: 58.0

TOI per game: 11.88477011494253

G: 1.0

A: 7.0

Primary PTS: 4.0

iXG: 5.25792388

iFW: 104.0

XG%: 0.5041782171176972"
WPG,Kyle Capobianco,scratch,D,77.0,L,14.0,12.326190476190476,2.0,2.0,0.0,0.0,0.66858294,23.0,0.5507576492608961,2.66858294,13.45986802,-11.17287251,25,NHL,2,RFA,762500,Winnipeg Jets,"Kyle Capobianco

GP: 14.0

TOI per game: 12.326190476190476

G: 2.0

A: 0.0

Primary PTS: 2.0

iXG: 0.66858294

iFW: 23.0

XG%: 0.5507576492608961"
VAN,Jack Studnicka,scratch,F,18.0,R,48.0,10.13472222222222,5.0,4.0,1.0,3.0,6.1725613500000005,85.0,0.3779850976032821,12.67256135,24.84997561,-46.75461078,24,NHL,2,RFA,762500,Vancouver Canucks,"Jack Studnicka

GP: 48.0

TOI per game: 10.13472222222222

G: 4.0

A: 4.0

Primary PTS: 5.0

iXG: 6.1725613500000005

iFW: 85.0

XG%: 0.3779850976032821"
SEA,Jaycob Megna,scratch,D,44.0,L,54.0,18.307407407407407,7.0,1.0,6.0,5.0,2.69449244,78.0,0.5097340320425587,12.19449244,94.43120552,-107.40855309,30,NHL,2,UFA,762500,Seattle Kraken,"Jaycob Megna

GP: 54.0

TOI per game: 18.307407407407407

G: 1.0

A: 11.0

Primary PTS: 7.0

iXG: 2.69449244

iFW: 78.0

XG%: 0.5097340320425587"
VGK,Paul Cotter,scratch,F,43.0,L,55.0,12.536363636363635,15.0,13.0,2.0,3.0,8.39557177,95.0,0.4196586198679319,24.89557177,59.8167174,-68.463154,23,NHL,4,RFA,760000,Vegas Golden Knights,"Paul Cotter

GP: 55.0

TOI per game: 12.536363636363635

G: 13.0

A: 5.0

Primary PTS: 15.0

iXG: 8.39557177

iFW: 95.0

XG%: 0.4196586198679319"
PHI,Yegor Zamula,scratch,D,54.0,L,,,,,,,,,,,,,23,Minor,1,RFA,756667,Philadelphia Flyers,"Yegor Zamula

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
SJS,Jonah Gadjovich,scratch,F,42.0,L,35.0,8.690476190476192,4.0,3.0,1.0,3.0,5.69941071,46.0,0.5024383180259238,11.19941071,28.06876619,-30.89279687,24,IR,1,RFA,750000,San Jose Sharks,"Jonah Gadjovich

GP: 35.0

TOI per game: 8.690476190476192

G: 3.0

A: 4.0

Primary PTS: 4.0

iXG: 5.69941071

iFW: 46.0

XG%: 0.5024383180259238"
CBJ,Lane Pederson,scratch,F,18.0,R,27.0,11.680246913580246,6.0,3.0,3.0,0.0,3.82135873,36.0,0.4796261286303002,9.82135873,30.32659707,-32.253741500000004,25,NHL,1,UFA,750000,Columbus Blue Jackets,"Lane Pederson

GP: 27.0

TOI per game: 11.680246913580246

G: 3.0

A: 3.0

Primary PTS: 6.0

iXG: 3.82135873

iFW: 36.0

XG%: 0.4796261286303002"
BUF,Kale Clague,scratch,D,38.0,L,33.0,15.104040404040404,0.0,0.0,0.0,4.0,1.12219548,32.0,0.501188181215442,3.12219548,48.60310709,-52.71746529,24,NHL,1,RFA,750000,Buffalo Sabres,"Kale Clague

GP: 33.0

TOI per game: 15.104040404040404

G: 0.0

A: 4.0

Primary PTS: 0.0

iXG: 1.12219548

iFW: 32.0

XG%: 0.501188181215442"
TOR,Victor Mete,injured reserve,D,98.0,L,11.0,13.072727272727274,0.0,0.0,0.0,2.0,0.34540013,8.0,0.378867577344135,1.34540013,12.7893874,-12.95373721,24,LTIR,1,RFA,750000,Toronto Maple Leafs,"Victor Mete

GP: 11.0

TOI per game: 13.072727272727274

G: 0.0

A: 2.0

Primary PTS: 0.0

iXG: 0.34540013

iFW: 8.0

XG%: 0.378867577344135"
TOR,Erik Kallgren,scratch,G,50.0,L,,,,,,,,,,,,,26,Minor,1,RFA,750000,Toronto Maple Leafs,"Erik Kallgren

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
