season,game_id,away_team,away_score,home_score,home_team,period,time_elapsed,seconds_elapsed,strength,event_zone,team,event,type,description,p1_id,p2_id,p3_id,x_coords,y_coords,homeplayer1,homeplayer1_id,homeplayer2,homeplayer2_id,homeplayer3,homeplayer3_id,homeplayer4,homeplayer4_id,homeplayer5,homeplayer5_id,homeplayer6,homeplayer6_id,awayplayer1,awayplayer1_id,awayplayer2,awayplayer2_id,awayplayer3,awayplayer3_id,awayplayer4,awayplayer4_id,awayplayer5,awayplayer5_id,awayplayer6,awayplayer6_id,home_goalie_pulled,away_goalie_pulled,home_players,away_players,strength_mod,opp_strength_mod,goalie_pulled,opponent_goalie_pulled,g_dif,score_state,home_winning,opponent,opp_strength,opp_zone,date
20232024,2023020705,NYI,1.0,3.0,CHI,3,06:38,398.0,5on5,OZ,NYI,goal,wrist,,8477500.0,8478445.0,8480865.0,69.0,14.0,JAYCOB MEGNA,8477034,ZACHARY SANFORD,8477482,PETR MRAZEK,8475852,KEVIN KORCHINSKI,8483466,BORIS KATCHOUK,8479383,REESE JOHNSON,8481147,NOAH DOBSON,8480865,SAMUEL BOLDUC,8481541,MATHEW BARZAL,8478445,ANDERS LEE,8475314,ILYA SOROKIN,8478009,BO HORVAT,8477500,0,0,6,6,5on5,5on5,0,0,2,2,1,CHI,5on5,DZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,06:38,398.0,5on5,NZ,NYI,faceoff,,,8475754.0,8480798.0,,0.0,0.0,JAYCOB MEGNA,8477034,ZACHARY SANFORD,8477482,PETR MRAZEK,8475852,KEVIN KORCHINSKI,8483466,BORIS KATCHOUK,8479383,REESE JOHNSON,8481147,NOAH DOBSON,8480865,SAMUEL BOLDUC,8481541,MATHEW BARZAL,8478445,ANDERS LEE,8475314,ILYA SOROKIN,8478009,BO HORVAT,8477500,0,0,6,6,5on5,5on5,0,0,1,1,1,CHI,5on5,NZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,06:51,411.0,5on5,OZ,NYI,missed-shot,wrist,hit-right-post,8475754.0,,,70.0,11.0,ALEX VLASIC,8481568,TAYLOR RADDYSH,8479390,PETR MRAZEK,8475852,SETH JONES,8477495,REM PITLICK,8479514,PHILIPP KURASHEV,8480798,NOAH DOBSON,8480865,SAMUEL BOLDUC,8481541,BROCK NELSON,8475754,KYLE PALMIERI,8475151,HUDSON FASCHING,8477392,ILYA SOROKIN,8478009,0,0,6,6,5on5,5on5,0,0,1,1,1,CHI,5on5,DZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,07:04,424.0,5on5,DZ,NYI,hit,,,8475151.0,8481568.0,,-36.0,-40.0,ALEX VLASIC,8481568,TAYLOR RADDYSH,8479390,PETR MRAZEK,8475852,SETH JONES,8477495,REM PITLICK,8479514,PHILIPP KURASHEV,8480798,NOAH DOBSON,8480865,SAMUEL BOLDUC,8481541,BROCK NELSON,8475754,KYLE PALMIERI,8475151,HUDSON FASCHING,8477392,ILYA SOROKIN,8478009,0,0,6,6,5on5,5on5,0,0,1,1,1,CHI,5on5,OZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,07:07,427.0,5on5,DZ,CHI,blocked-shot,blocked,,8477392.0,8479390.0,,-72.0,13.0,ALEX VLASIC,8481568,TAYLOR RADDYSH,8479390,PETR MRAZEK,8475852,SETH JONES,8477495,REM PITLICK,8479514,PHILIPP KURASHEV,8480798,NOAH DOBSON,8480865,SAMUEL BOLDUC,8481541,BROCK NELSON,8475754,KYLE PALMIERI,8475151,HUDSON FASCHING,8477392,ILYA SOROKIN,8478009,0,0,6,6,5on5,5on5,0,0,1,1,1,NYI,5on5,OZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,07:09,429.0,5on5,,,stoppage,puck-in-netting,,,,,,,ALEX VLASIC,8481568.0,TAYLOR RADDYSH,8479390.0,PETR MRAZEK,8475852.0,SETH JONES,8477495.0,REM PITLICK,8479514.0,PHILIPP KURASHEV,8480798.0,NOAH DOBSON,8480865.0,SAMUEL BOLDUC,8481541.0,BROCK NELSON,8475754.0,KYLE PALMIERI,8475151.0,HUDSON FASCHING,8477392.0,ILYA SOROKIN,8478009.0,0,0,0,0,5on5,5on5,0,0,1,1,1,CHI,5on5,,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,07:09,429.0,5on5,DZ,NYI,faceoff,,,8477500.0,8479390.0,,-69.0,22.0,ALEX VLASIC,8481568,TAYLOR RADDYSH,8479390,PETR MRAZEK,8475852,SETH JONES,8477495,REM PITLICK,8479514,PHILIPP KURASHEV,8480798,NOAH DOBSON,8480865,SAMUEL BOLDUC,8481541,BROCK NELSON,8475754,KYLE PALMIERI,8475151,HUDSON FASCHING,8477392,ILYA SOROKIN,8478009,0,0,6,6,5on5,5on5,0,0,1,1,1,CHI,5on5,OZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,07:31,451.0,5on5,OZ,NYI,hit,,,8479328.0,8482192.0,,95.0,-21.0,PETR MRAZEK,8475852,ISAAK PHILLIPS,8482192,JARRED TINORDI,8475797,PHILIPP KURASHEV,8480798,REM PITLICK,8479514,TAYLOR RADDYSH,8479390,JULIEN GAUTHIER,8479328,SIMON HOLMSTROM,8481601,JEAN-GABRIEL PAGEAU,8476419,SAMUEL BOLDUC,8481541,SCOTT MAYFIELD,8476429,ILYA SOROKIN,8478009,0,0,6,6,5on5,5on5,0,0,1,1,1,CHI,5on5,DZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,07:45,465.0,5on5,DZ,NYI,blocked-shot,blocked,,8479514.0,8476429.0,,59.0,-14.0,PETR MRAZEK,8475852,ISAAK PHILLIPS,8482192,JARRED TINORDI,8475797,PHILIPP KURASHEV,8480798,REM PITLICK,8479514,TAYLOR RADDYSH,8479390,JULIEN GAUTHIER,8479328,SIMON HOLMSTROM,8481601,JEAN-GABRIEL PAGEAU,8476419,SAMUEL BOLDUC,8481541,SCOTT MAYFIELD,8476429,ILYA SOROKIN,8478009,0,0,6,6,5on5,5on5,0,0,1,1,1,CHI,5on5,OZ,2024-01-19
20232024,2023020705,NYI,2.0,3.0,CHI,3,08:04,484.0,5on5,,,stoppage,hand-pass,,,,,,,PETR MRAZEK,8475852.0,ISAAK PHILLIPS,8482192.0,JARRED TINORDI,8475797.0,PHILIPP KURASHEV,8480798.0,REM PITLICK,8479514.0,TAYLOR RADDYSH,8479390.0,JULIEN GAUTHIER,8479328.0,SIMON HOLMSTROM,8481601.0,JEAN-GABRIEL PAGEAU,8476419.0,SAMUEL BOLDUC,8481541.0,SCOTT MAYFIELD,8476429.0,ILYA SOROKIN,8478009.0,0,0,0,0,5on5,5on5,0,0,1,1,1,CHI,5on5,,2024-01-19
