season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,g_dif,xg_dif,fwf_dif,hdsc_dif,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,offense,defense,differential
20202021,2020020002,2021-01-13,CHI,1,AWAY,TBL,L,REG,1,5,4on5,5.833333333333333,0,2,0.0,0.93,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.4166666666666665,0,12,0.0,0,12,0.0,-2,-0.93,-12,-2.0,0,11,0.0,0.0,0.0,3.0,5.0,2.0,0,6,0.0,0.5,0,0,0,1,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.93,-2.93
20202021,2020020002,2021-01-13,CHI,1,AWAY,TBL,L,REG,1,5,5on4,5.733333333333333,1,0,0.323,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,2.6666666666666665,0.0,6,0,1.0,8,0,1.0,1,0.323,6,1.0,4,0,3.0,1.0,1.0,0.0,0.0,0.0,2,0,0.3333333333333333,0.0,2,0,2,0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323,0.0,1.323
20202021,2020020002,2021-01-13,CHI,1,AWAY,TBL,L,REG,1,5,5on5,47.666666666666664,0,3,1.207,2.358,0.34,5.0,5.0,0.5,13.0,16.0,0.45,2.590909090909091,2.6923076923076925,23,27,0.46,33,34,0.49,-3,-1.151,-4,0.0,19,22,8.0,4.0,5.0,11.0,7.0,3.0,7,8,0.3181818181818182,0.3076923076923077,10,7,4,5,0.12,0.15,0.3,0.21,4.0,8.0,3.0,6.0,22.0,21.0,14.0,3.0,1.0,1.0,15.0,4.0,0.0,0.0,1.0,3.0,1.207,5.3580000000000005,-4.151000000000001
20202021,2020020002,2021-01-13,CHI,1,AWAY,TBL,L,REG,1,5,all,60.0,1,5,1.53,3.288,0.32,6.0,7.0,0.46,17.0,21.0,0.45,2.607142857142857,2.6052631578947367,29,39,0.43,41,46,0.47,-4,-1.7579999999999998,-10,-1.0,23,33,11.0,5.0,6.0,14.0,12.0,5.0,9,14,0.32142857142857145,0.3684210526315789,12,7,6,6,0.15,0.13,0.29,0.15,4.0,8.0,3.0,6.0,28.0,29.0,14.0,4.0,1.0,1.0,16.0,4.0,1.0,0.0,2.0,3.0,2.5300000000000002,8.288,-5.758
20202021,2020020002,2021-01-13,CHI,1,AWAY,TBL,L,REG,1,5,other,0.7666666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20202021,2020020002,2021-01-13,TBL,1,HOME,CHI,W,REG,5,1,4on5,5.733333333333333,0,1,0.0,0.323,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.6666666666666665,0,6,0.0,0,8,0.0,-1,-0.323,-6,-1.0,0,4,0.0,0.0,0.0,3.0,1.0,1.0,0,2,0.0,0.3333333333333333,0,2,0,2,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323,-1.323
20202021,2020020002,2021-01-13,TBL,1,HOME,CHI,W,REG,5,1,5on4,5.833333333333333,2,0,0.93,0.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,2.4166666666666665,0.0,12,0,1.0,12,0,1.0,2,0.93,12,2.0,11,0,3.0,5.0,2.0,0.0,0.0,0.0,6,0,0.5,0.0,0,0,1,0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.93,0.0,2.93
20202021,2020020002,2021-01-13,TBL,1,HOME,CHI,W,REG,5,1,5on5,47.666666666666664,3,0,2.358,1.207,0.66,5.0,5.0,0.5,16.0,13.0,0.55,2.6923076923076925,2.590909090909091,27,23,0.54,34,33,0.51,3,1.151,4,0.0,22,19,11.0,7.0,3.0,8.0,4.0,5.0,8,7,0.3076923076923077,0.3181818181818182,7,10,5,4,0.15,0.12,0.21,0.3,3.0,6.0,4.0,8.0,21.0,22.0,15.0,4.0,0.0,0.0,14.0,3.0,1.0,1.0,3.0,1.0,5.3580000000000005,1.207,4.151000000000001
20202021,2020020002,2021-01-13,TBL,1,HOME,CHI,W,REG,5,1,all,60.0,5,1,3.288,1.53,0.68,7.0,6.0,0.54,21.0,17.0,0.55,2.6052631578947367,2.607142857142857,39,29,0.57,46,41,0.53,4,1.7579999999999998,10,1.0,33,23,14.0,12.0,5.0,11.0,5.0,6.0,14,9,0.3684210526315789,0.32142857142857145,7,12,6,6,0.13,0.15,0.15,0.29,3.0,6.0,4.0,8.0,29.0,28.0,16.0,4.0,1.0,0.0,14.0,4.0,1.0,1.0,3.0,2.0,8.288,2.5300000000000002,5.758
20202021,2020020002,2021-01-13,TBL,1,HOME,CHI,W,REG,5,1,other,0.7666666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20202021,2020020003,2021-01-13,MTL,1,AWAY,TOR,OTL,OT,4,5,4on5,4.983333333333333,0,1,0.0,1.447,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,2.9166666666666665,0,12,0.0,0,14,0.0,-1,-1.447,-12,-2.0,0,9,0.0,0.0,0.0,8.0,1.0,1.0,0,1,0.0,0.08333333333333333,0,2,0,3,0.0,0.21,0.0,0.14,1.0,2.0,1.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.447,-2.447
20202021,2020020003,2021-01-13,MTL,1,AWAY,TOR,OTL,OT,4,5,5on4,5.033333333333333,2,0,1.661,0.0,1.0,4.0,0.0,1.0,5.0,0.0,1.0,2.6666666666666665,0.0,9,0,1.0,12,0,1.0,2,1.661,9,4.0,8,0,1.0,1.0,3.0,0.0,0.0,0.0,4,0,0.4444444444444444,0.0,3,0,1,0,0.08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.661,0.0,3.661
20202021,2020020003,2021-01-13,MTL,1,AWAY,TOR,OTL,OT,4,5,5on5,52.38333333333333,2,2,2.151,1.851,0.54,6.0,4.0,0.6,19.0,16.0,0.54,2.6129032258064515,2.5454545454545454,33,33,0.5,47,52,0.47,0,0.2999999999999998,0,2.0,22,20,13.0,6.0,6.0,12.0,15.0,2.0,8,10,0.25806451612903225,0.30303030303030304,14,19,11,13,0.23,0.25,0.3,0.37,3.0,6.0,3.0,6.0,19.0,28.0,29.0,6.0,13.0,9.0,11.0,3.0,6.0,2.0,1.0,0.0,4.151,3.851,0.2999999999999998
20202021,2020020003,2021-01-13,MTL,1,AWAY,TOR,OTL,OT,4,5,all,63.4,4,5,4.132,4.109,0.5,11.0,8.0,0.58,27.0,32.0,0.46,2.6744186046511627,2.7115384615384617,45,52,0.46,62,74,0.46,-1,0.022999999999999687,-7,3.0,32,34,16.0,7.0,9.0,24.0,17.0,3.0,12,12,0.27906976744186046,0.23076923076923078,17,22,13,18,0.21,0.24,0.27,0.3,5.0,13.0,4.0,11.0,29.0,34.0,32.0,6.0,13.0,9.0,14.0,5.0,9.0,3.0,1.0,0.0,8.132,9.109,-0.9770000000000003
20202021,2020020003,2021-01-13,MTL,1,AWAY,TOR,OTL,OT,4,5,other,1.0,0,2,0.321,0.811,0.28,1.0,2.0,0.33,3.0,6.0,0.33,3.3333333333333335,3.142857142857143,3,7,0.3,3,8,0.27,-2,-0.49000000000000005,-4,-1.0,2,5,2.0,0.0,0.0,4.0,1.0,0.0,0,1,0.0,0.14285714285714285,0,1,1,2,0.33,0.25,0.0,0.12,1.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.321,2.811,-2.4899999999999998
20202021,2020020003,2021-01-13,TOR,1,HOME,MTL,W,OT,5,4,4on5,5.033333333333333,0,2,0.0,1.661,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.6666666666666665,0,9,0.0,0,12,0.0,-2,-1.661,-9,-4.0,0,8,0.0,0.0,0.0,1.0,1.0,3.0,0,4,0.0,0.4444444444444444,0,3,0,1,0.0,0.08,0.0,0.25,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.661,-3.661
20202021,2020020003,2021-01-13,TOR,1,HOME,MTL,W,OT,5,4,5on4,4.983333333333333,1,0,1.447,0.0,1.0,2.0,0.0,1.0,10.0,0.0,1.0,2.9166666666666665,0.0,12,0,1.0,14,0,1.0,1,1.447,12,2.0,9,0,8.0,1.0,1.0,0.0,0.0,0.0,1,0,0.08333333333333333,0.0,2,0,3,0,0.21,0.0,0.14,0.0,1.0,5.0,1.0,2.0,3.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.447,0.0,2.447
20202021,2020020003,2021-01-13,TOR,1,HOME,MTL,W,OT,5,4,5on5,52.38333333333333,2,2,1.851,2.151,0.46,4.0,6.0,0.4,16.0,19.0,0.46,2.5454545454545454,2.6129032258064515,33,33,0.5,52,47,0.53,0,-0.2999999999999998,0,-2.0,20,22,12.0,15.0,2.0,13.0,6.0,6.0,10,8,0.30303030303030304,0.25806451612903225,19,14,13,11,0.25,0.23,0.37,0.3,3.0,6.0,3.0,6.0,28.0,19.0,11.0,3.0,6.0,2.0,29.0,6.0,13.0,9.0,0.0,1.0,3.851,4.151,-0.2999999999999998
20202021,2020020003,2021-01-13,TOR,1,HOME,MTL,W,OT,5,4,all,63.4,5,4,4.109,4.132,0.5,8.0,11.0,0.42,32.0,27.0,0.54,2.7115384615384617,2.6744186046511627,52,45,0.54,74,62,0.54,1,-0.022999999999999687,7,-3.0,34,32,24.0,17.0,3.0,16.0,7.0,9.0,12,12,0.23076923076923078,0.27906976744186046,22,17,18,13,0.24,0.21,0.3,0.27,4.0,11.0,5.0,13.0,34.0,29.0,14.0,5.0,9.0,3.0,32.0,6.0,13.0,9.0,0.0,1.0,9.109,8.132,0.9770000000000003
20202021,2020020003,2021-01-13,TOR,1,HOME,MTL,W,OT,5,4,other,1.0,2,0,0.811,0.321,0.72,2.0,1.0,0.67,6.0,3.0,0.67,3.142857142857143,3.3333333333333335,7,3,0.7,8,3,0.73,2,0.49000000000000005,4,1.0,5,2,4.0,1.0,0.0,2.0,0.0,0.0,1,0,0.14285714285714285,0.0,1,0,2,1,0.25,0.33,0.12,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.811,0.321,2.4899999999999998
20202021,2020020004,2021-01-13,EDM,1,HOME,VAN,L,REG,3,5,4on5,3.1166666666666667,0,0,0.221,0.045,0.83,1.0,1.0,0.5,3.0,3.0,0.5,3.3333333333333335,2.5,3,6,0.33,3,6,0.33,0,0.176,-3,0.0,1,3,2.0,0.0,0.0,2.0,2.0,1.0,0,1,0.0,0.16666666666666666,0,0,2,3,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.221,0.045,0.176
20202021,2020020004,2021-01-13,EDM,1,HOME,VAN,L,REG,3,5,5on4,7.35,0,0,0.942,0.012,0.99,4.0,0.0,1.0,8.0,0.0,1.0,3.3333333333333335,0.0,9,1,0.9,14,3,0.82,0,0.9299999999999999,8,4.0,5,1,4.0,1.0,0.0,0.0,0.0,0.0,1,0,0.1111111111111111,0.0,5,2,4,0,0.29,0.0,0.36,0.67,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.942,0.012,0.9299999999999999
20202021,2020020004,2021-01-13,EDM,1,HOME,VAN,L,REG,3,5,5on5,47.516666666666666,3,5,2.143,2.813,0.43,10.0,14.0,0.42,16.0,22.0,0.42,2.6551724137931036,2.7837837837837838,29,38,0.43,38,53,0.42,-2,-0.6700000000000004,-9,-4.0,25,31,6.0,6.0,7.0,8.0,8.0,7.0,10,11,0.3448275862068966,0.2972972972972973,9,15,4,7,0.11,0.13,0.24,0.28,2.0,4.0,4.0,8.0,24.0,23.0,17.0,4.0,9.0,3.0,18.0,2.0,4.0,4.0,2.0,1.0,5.143,7.813000000000001,-2.670000000000001
20202021,2020020004,2021-01-13,EDM,1,HOME,VAN,L,REG,3,5,all,60.0,3,5,3.306,2.869,0.54,15.0,15.0,0.5,27.0,25.0,0.52,2.8536585365853657,2.744186046511628,41,45,0.48,55,62,0.47,-2,0.43699999999999983,-4,0.0,31,35,12.0,7.0,7.0,10.0,10.0,8.0,11,12,0.2682926829268293,0.27906976744186046,14,17,10,10,0.18,0.16,0.25,0.27,2.0,4.0,4.0,8.0,29.0,27.0,18.0,4.0,10.0,3.0,19.0,5.0,6.0,5.0,2.0,1.0,6.306,7.869,-1.5629999999999997
20202021,2020020004,2021-01-13,EDM,1,HOME,VAN,L,REG,3,5,other,2.0166666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20202021,2020020004,2021-01-13,VAN,1,AWAY,EDM,W,REG,5,3,4on5,7.35,0,0,0.012,0.942,0.01,0.0,4.0,0.0,0.0,8.0,0.0,0.0,3.3333333333333335,1,9,0.1,3,14,0.18,0,-0.9299999999999999,-8,-4.0,1,5,0.0,0.0,0.0,4.0,1.0,0.0,0,1,0.0,0.1111111111111111,2,5,0,4,0.0,0.29,0.67,0.36,0.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012,0.942,-0.9299999999999999
20202021,2020020004,2021-01-13,VAN,1,AWAY,EDM,W,REG,5,3,5on4,3.1166666666666667,0,0,0.045,0.221,0.17,1.0,1.0,0.5,3.0,3.0,0.5,2.5,3.3333333333333335,6,3,0.67,6,3,0.67,0,-0.176,3,0.0,3,1,2.0,2.0,1.0,2.0,0.0,0.0,1,0,0.16666666666666666,0.0,0,0,3,2,0.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.045,0.221,-0.176
20202021,2020020004,2021-01-13,VAN,1,AWAY,EDM,W,REG,5,3,5on5,47.516666666666666,5,3,2.813,2.143,0.57,14.0,10.0,0.58,22.0,16.0,0.58,2.7837837837837838,2.6551724137931036,38,29,0.57,53,38,0.58,2,0.6700000000000004,9,4.0,31,25,8.0,8.0,7.0,6.0,6.0,7.0,11,10,0.2972972972972973,0.3448275862068966,15,9,7,4,0.13,0.11,0.28,0.24,4.0,8.0,2.0,4.0,23.0,24.0,18.0,2.0,4.0,4.0,17.0,4.0,9.0,3.0,1.0,2.0,7.813000000000001,5.143,2.670000000000001
20202021,2020020004,2021-01-13,VAN,1,AWAY,EDM,W,REG,5,3,all,60.0,5,3,2.869,3.306,0.46,15.0,15.0,0.5,25.0,27.0,0.48,2.744186046511628,2.8536585365853657,45,41,0.52,62,55,0.53,2,-0.43699999999999983,4,0.0,35,31,10.0,10.0,8.0,12.0,7.0,7.0,12,11,0.27906976744186046,0.2682926829268293,17,14,10,10,0.16,0.18,0.27,0.25,4.0,8.0,2.0,4.0,27.0,29.0,19.0,5.0,6.0,5.0,18.0,4.0,10.0,3.0,1.0,2.0,7.869,6.306,1.5629999999999997
20202021,2020020004,2021-01-13,VAN,1,AWAY,EDM,W,REG,5,3,other,2.0166666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20202021,2020020005,2021-01-13,STL,1,AWAY,COL,W,REG,4,1,4on5,5.316666666666666,0,1,0.0,0.645,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,3.3333333333333335,0,6,0.0,0,7,0.0,-1,-0.645,-6,-2.0,0,6,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.14,0.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.645,-1.645
20202021,2020020005,2021-01-13,STL,1,AWAY,COL,W,REG,4,1,5on4,3.1166666666666667,0,0,0.111,0.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0,3.0,0.0,7,0,1.0,7,0,1.0,0,0.111,7,3.0,5,0,2.0,1.0,1.0,0.0,0.0,0.0,1,0,0.14285714285714285,0.0,0,0,2,0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111
