season,game_id,team,desc_new,strength,desc,game_period,time_elapsed,goal_desc
20152016,2015020001,MTL,,5on5,"Max Pacioretty (1), P.K. Subban (0)",1,3:09,1-0
20152016,2015020001,TOR,,5on4,"James van Riemsdyk (1), Nazem Kadri (1), Dion Phaneuf (1)",2,0:19,1-1
20152016,2015020001,MTL,,5on5,"Alex Galchenyuk (1), Andrei Markov (2), P.K. Subban (2)",3,12:02,2-1
20152016,2015020001,MTL,,5on5,"Max Pacioretty (2), P.K. Subban (1), Brian Flynn (1)",3,19:29,3-1
20152016,2015020002,CHI,,5on5,"Artemi Panarin (1), Patrick Kane (1), Niklas Hjalmarsson (1)",1,14:24,1-0
20152016,2015020002,NYR,,5on5,"Kevin Klein (1), Keith Yandle (2), J.T. Miller (2)",1,16:38,1-1
20152016,2015020002,NYR,,5on5,"Derek Stepan (1), Kevin Hayes (1), Chris Kreider (1)",1,19:01,2-1
20152016,2015020002,NYR,,5on5,"Oscar Lindberg (1), J.T. Miller (1), Viktor Stalberg (1)",1,1:43,3-1
20152016,2015020002,CHI,,5on5,"Teuvo Teravainen (1), Marian Hossa (1), Jonathan Toews (1)",2,6:55,2-3
20152016,2015020003,VAN,,5on5,"Jannik Hansen (1), Ben Hutton (1), Alexandre Burrows (1)",1,10:34,1-0
20152016,2015020003,VAN,,5on5,"Brandon Sutter (1), Daniel Sedin (0)",1,18:01,2-0
20152016,2015020003,VAN,,5on5,"Daniel Sedin (1), Dan Hamhuis (1), Chris Tanev (1)",2,19:55,3-0
20152016,2015020003,CGY,,5on5,"Jiri Hudler (1), Johnny Gaudreau (1), Sean Monahan (1)",2,3:39,1-3
20152016,2015020003,VAN,,5on5,"Henrik Sedin (1), Daniel Sedin (1), Brandon Sutter (1)",3,16:31,4-1
20152016,2015020003,VAN,,5on5,Alexandre Burrows (1),3,8:17,5-1
20152016,2015020004,SJS,,5on4,"Joe Pavelski (1), Brent Burns (1), Patrick Marleau (1)",1,15:52,1-0
20152016,2015020004,LAK,,5on5,"Nick Shore (1), Dustin Brown (1), Drew Doughty (1)",1,1:49,1-1
20152016,2015020004,SJS,,5on5,"Joe Thornton (1), Paul Martin (0)",1,9:43,2-1
20152016,2015020004,SJS,,5on5,"Brent Burns (1), Joe Pavelski (1), Joe Thornton (1)",2,6:07,3-1
20152016,2015020004,SJS,,5on4,"Tomas Hertl (1), Marc-Edouard Vlasic (1), Tommy Wingels (1)",2,8:14,4-1
20152016,2015020004,SJS,,5on5,"Joonas Donskoi (1), Joe Pavelski (2), Marc-Edouard Vlasic (2)",3,3:31,5-1
20152016,2015020005,BOS,,5on5,David Krejci (1),1,5:36,1-0
20152016,2015020005,WPG,,5on5,"Drew Stafford (1), Adam Lowry (1), Ben Chiarot (1)",2,17:39,1-1
20152016,2015020005,WPG,,5on5,"Mark Scheifele (1), Dustin Byfuglien (0)",2,5:26,2-1
20152016,2015020005,WPG,,5on5,"Blake Wheeler (1), Andrew Ladd (0)",2,9:17,3-1
20152016,2015020005,WPG,,5on5,Alexander Burmistrov (1),3,16:22,4-1
20152016,2015020005,BOS,,5on5,"David Pastrnak (1), Matt Beleskey (1), Kevan Miller (1)",3,1:25,2-4
20152016,2015020005,WPG,,5on5,"Chris Thorburn (1), Drew Stafford (1), Alexander Burmistrov (1)",3,5:17,5-2
20152016,2015020005,WPG,,5on5,"Nic Petan (1), Andrew Copp (1), Mark Stuart (1)",3,9:51,6-2
20152016,2015020006,OTT,,5on5,"Kyle Turris (1), Mike Hoffman (1), Mark Stone (1)",1,0:30,1-0
20152016,2015020006,OTT,,5on5,"Kyle Turris (2), Mike Hoffman (2), Mark Stone (2)",2,10:49,2-0
20152016,2015020006,OTT,,5on5,"Curtis Lazar (1), Mika Zibanejad (1), Bobby Ryan (1)",3,18:56,3-0
20152016,2015020006,BUF,,5on4,"Jack Eichel (1), Marcus Foligno (1), Evander Kane (1)",3,9:11,1-3
20152016,2015020007,PHI,,5on5,"Matt Read (1), Scott Laughton (1), R.J. Umberger (1)",2,10:14,1-0
20152016,2015020007,PHI,,5on4,"Brayden Schenn (1), R.J. Umberger (1), Evgeny Medvedev (1)",2,12:03,2-0
20152016,2015020007,TBL,,5on4,"Ryan Callahan (1), Victor Hedman (2), Jonathan Drouin (2)",2,18:22,1-2
20152016,2015020007,TBL,,5on5,"Jason Garrison (1), Ryan Callahan (1), Jonathan Drouin (1)",2,1:25,2-2
20152016,2015020007,TBL,,other,"Jason Garrison (2), Alex Killorn (1), Valtteri Filppula (1)",4,2:17,3-2
20152016,2015020008,EDM,,5on4,Ryan Nugent-Hopkins (1),1,17:22,1-0
20152016,2015020008,STL,,5on5,"Vladimir Tarasenko (1), Alex Pietrangelo (1), Jay Bouwmeester (1)",2,9:10,1-1
20152016,2015020008,STL,,5on5,"Troy Brouwer (1), Jaden Schwartz (0)",3,19:42,2-1
20152016,2015020008,STL,,5on5,"Robby Fabbri (1), Jori Lehtera (1), Jaden Schwartz (1)",3,9:29,3-1
20152016,2015020009,NSH,,5on5,"Viktor Arvidsson (1), Calle Jarnkrok (2), Seth Jones (2)",1,17:03,1-0
20152016,2015020009,NSH,,5on4,"Craig Smith (1), Ryan Ellis (1), Seth Jones (1)",1,2:23,2-0
20152016,2015020009,CAR,,5on5,"Eric Staal (1), Justin Faulk (0)",3,18:20,1-2
20152016,2015020010,DAL,,5on5,"Mattias Janmark (1), Ales Hemsky (1), Antti Niemi (1)",1,1:39,1-0
20152016,2015020010,DAL,,5on4,"Ales Hemsky (1), Alex Goligoski (2), Antti Niemi (2)",2,5:42,2-0
20152016,2015020010,DAL,,5on4,"Jamie Benn (1), Jason Spezza (1), John Klingberg (1)",3,12:39,3-0
20152016,2015020011,COL,,5on4,"Jarome Iginla (1), Nathan MacKinnon (1), Tyson Barrie (1)",1,13:40,1-0
20152016,2015020011,COL,,5on4,"Erik Johnson (1), Francois Beauchemin (1), Carl Soderberg (1)",1,17:24,2-0
20152016,2015020011,COL,,5on5,"Gabriel Landeskog (1), Francois Beauchemin (2), Nathan MacKinnon (2)",1,18:55,3-0
20152016,2015020011,MIN,,5on5,"Zach Parise (1), Mikael Granlund (1), Jason Pominville (1)",2,6:55,1-3
20152016,2015020011,COL,,5on5,"John Mitchell (1), Erik Johnson (3), Francois Beauchemin (3)",2,8:07,4-1
20152016,2015020011,MIN,,5on4,"Zach Parise (3), Ryan Suter (1), Mikko Koivu (1)",3,10:14,2-4
20152016,2015020011,MIN,,5on5,"Zach Parise (2), Jason Pominville (1), Matt Dumba (1)",3,5:07,3-4
20152016,2015020011,MIN,,5on5,"Nino Niederreiter (1), Jason Zucker (0)",3,7:05,4-4
20152016,2015020011,MIN,,5on5,"Thomas Vanek (1), Mikael Granlund (1), Charlie Coyle (1)",3,9:18,5-4
20152016,2015020012,NJD,,5on4,"Jiri Tlusty (1), Michael Cammalleri (1), Lee Stempniak (1)",2,12:53,1-0
20152016,2015020012,WPG,,5on4,"Andrew Ladd (1), Mathieu Perreault (1), Blake Wheeler (1)",2,16:21,1-1
20152016,2015020012,WPG,,5on5,"Mark Scheifele (2), Nikolaj Ehlers (1), Mathieu Perreault (1)",2,1:13,2-1
20152016,2015020012,WPG,,5on5,"Blake Wheeler (2), Andrew Ladd (1), Tyler Myers (1)",2,3:56,3-1
20152016,2015020013,NYR,,5on5,Mats Zuccarello (1),1,19:16,1-0
20152016,2015020013,CBJ,,5on5,"Cam Atkinson (1), Brandon Dubinsky (0)",2,10:59,1-1
20152016,2015020013,CBJ,,5on4,"Brandon Saad (1), Ryan Murray (1), Ryan Johansen (1)",3,16:10,2-1
20152016,2015020013,NYR,,5on5,"Oscar Lindberg (2), J.T. Miller (0)",3,17:24,2-2
20152016,2015020013,NYR,,5on5,"Kevin Hayes (1), Dan Girardi (1), Derek Stepan (1)",3,17:41,3-2
20152016,2015020013,NYR,,5on5,Mats Zuccarello (2),3,18:41,4-2
20152016,2015020014,DET,,5on4,"Justin Abdelkader (1), Johan Franzen (1), Henrik Zetterberg (1)",1,1:15,1-0
20152016,2015020014,DET,,5on5,"Justin Abdelkader (2), Dylan Larkin (1), Jakub Kindl (1)",1,8:20,2-0
20152016,2015020014,DET,,other,"Dylan Larkin (1), Henrik Zetterberg (1), Mike Green (1)",2,0:20,3-0
20152016,2015020014,DET,,5on5,"Justin Abdelkader (3), Henrik Zetterberg (1), Kyle Quincey (1)",2,3:54,4-0
20152016,2015020015,CHI,,4on5,Artem Anisimov (1),1,13:28,1-0
20152016,2015020015,CHI,,5on5,"Patrick Kane (1), Jonathan Toews (1), Duncan Keith (1)",2,15:11,2-0
20152016,2015020015,NYI,,5on5,"John Tavares (1), Johnny Boychuk (1), Casey Cizikas (1)",2,5:22,1-2
20152016,2015020015,NYI,,5on5,"Marek Zidlicky (1), Brock Nelson (1), Nikolay Kulemin (1)",3,1:18,2-2
20152016,2015020015,CHI,,other,"Patrick Kane (2), Marian Hossa (2), Duncan Keith (2)",4,1:49,3-2
20152016,2015020016,ARI,,5on5,"Oliver Ekman-Larsson (1), Max Domi (1), Martin Hanzal (1)",1,19:12,1-0
20152016,2015020016,ARI,,5on5,"Zbynek Michalek (1), Tobias Rieder (0)",1,2:00,2-0
20152016,2015020016,LAK,,4on5,"Tyler Toffoli (1), Jeff Carter (0)",2,19:03,1-2
20152016,2015020016,ARI,,5on5,"Max Domi (1), Connor Murphy (0)",2,4:43,3-1
20152016,2015020016,ARI,,5on5,"Tobias Rieder (1), Anthony Duclair (2), Martin Hanzal (2)",2,6:35,4-1
20152016,2015020017,BUF,,5on5,"Nicolas Deslauriers (1), Sam Reinhart (1), Josh Gorges (1)",2,13:55,1-0
20152016,2015020017,TBL,,5on5,"Nikita Kucherov (1), Tyler Johnson (1), Anton Stralman (1)",2,19:34,1-1
20152016,2015020017,TBL,,5on5,"Erik Condra (1), Victor Hedman (2), Valtteri Filppula (2)",2,8:14,2-1
20152016,2015020017,TBL,,5on5,"J.T. Brown (1), Jason Garrison (1), Braydon Coburn (1)",3,12:41,3-1
20152016,2015020017,TBL,,5on5,"Steven Stamkos (1), Ryan Callahan (0)",3,8:53,4-1
20152016,2015020018,MTL,,5on4,"David Desharnais (1), Andrei Markov (1), Alex Galchenyuk (1)",1,1:25,1-0
20152016,2015020018,BOS,,5on5,"Matt Beleskey (1), David Krejci (1), David Pastrnak (1)",2,14:26,1-1
20152016,2015020018,MTL,,5on5,"Lars Eller (1), Alexander Semin (2), Alex Galchenyuk (2)",2,2:15,2-1
20152016,2015020018,MTL,,5on5,"Lars Eller (2), Alex Galchenyuk (2), Alexander Semin (2)",2,7:47,3-1
20152016,2015020018,MTL,,5on5,"Tomas Plekanec (1), Max Pacioretty (1), Brendan Gallagher (1)",3,19:06,4-1
20152016,2015020018,BOS,,5on4,"Patrice Bergeron (1), David Pastrnak (1), Torey Krug (1)",3,19:29,2-4
20152016,2015020019,OTT,,5on4,"Kyle Turris (3), Erik Karlsson (3), Mark Stone (3)",2,0:46,1-0
20152016,2015020019,TOR,,5on5,"Tyler Bozak (1), Dion Phaneuf (0)",2,14:33,1-1
20152016,2015020019,OTT,,5on4,"Alex Chiasson (1), Mika Zibanejad (1), Patrick Wiercioch (1)",2,3:38,2-1
20152016,2015020019,OTT,,5on4,"Milan Michalek (1), Erik Karlsson (1), Kyle Turris (1)",2,4:56,3-1
20152016,2015020019,TOR,,5on5,Joffrey Lupul (1),2,7:05,2-3
20152016,2015020019,TOR,,5on5,"Daniel Winnik (1), Brad Boyes (1), Nick Spaling (1)",3,16:12,3-3
20152016,2015020019,TOR,,5on4,"Peter Holland (1), PA Parenteau (3), Dion Phaneuf (3)",3,3:18,4-3
20152016,2015020019,OTT,,5on5,"Mark Stone (1), Mike Hoffman (3), Erik Karlsson (3)",3,8:59,4-4
20152016,2015020020,FLA,,5on5,"Vincent Trocheck (1), Jussi Jokinen (1), Willie Mitchell (1)",1,1:23,1-0
20152016,2015020020,FLA,,5on4,"Nick Bjugstad (1), Aaron Ekblad (1), Jonathan Huberdeau (1)",1,4:55,2-0
20152016,2015020020,FLA,,5on4,"Reilly Smith (1), Brandon Pirri (1), Vincent Trocheck (1)",1,5:46,3-0
20152016,2015020020,FLA,,5on5,"Jussi Jokinen (1), Vincent Trocheck (0)",1,6:46,4-0
20152016,2015020020,FLA,,5on5,"Jaromir Jagr (1), Aleksander Barkov (0)",2,0:33,5-0
20152016,2015020020,PHI,,5on4,"Mark Streit (1), Claude Giroux (1), Wayne Simmonds (1)",2,3:34,1-5
20152016,2015020020,FLA,,5on5,"Jaromir Jagr (2), Brian Campbell (2), Aleksander Barkov (2)",3,0:41,6-1
20152016,2015020020,FLA,,other,"Reilly Smith (2), Vincent Trocheck (2), Brandon Pirri (2)",3,7:55,7-1
20152016,2015020021,NYR,,5on5,"Oscar Lindberg (3), Kevin Hayes (0)",1,1:20,1-0
