season,team,round,picks,rd_value,draft_capital_rank
2024,BOS,Round 5,1.0,0.123,31.0
2024,MTL,Round 5,2.0,0.123,3.0
2024,VAN,Round 5,0.0,0.123,29.0
2024,WSH,Round 5,1.0,0.123,8.0
2024,ARI,Round 5,1.0,0.123,1.0
2024,NJD,Round 5,2.0,0.123,19.0
2024,ANA,Round 5,1.0,0.123,10.0
2024,CGY,Round 5,1.0,0.123,6.0
2024,PHI,Round 5,1.0,0.123,5.0
2024,VGK,Round 5,1.0,0.123,17.0
2024,CAR,Round 5,1.0,0.123,14.0
2024,NYI,Round 5,1.0,0.123,20.0
2024,WPG,Round 5,1.0,0.123,24.0
2024,LAK,Round 5,0.0,0.123,21.0
2024,SEA,Round 5,0.0,0.123,12.0
2024,TBL,Round 5,1.0,0.123,32.0
2024,TOR,Round 5,3.0,0.123,30.0
2024,EDM,Round 5,1.0,0.123,22.0
2024,FLA,Round 5,2.0,0.123,28.0
2024,PIT,Round 5,0.0,0.123,26.0
2024,NSH,Round 5,1.0,0.123,4.0
2024,NYR,Round 5,1.0,0.123,25.0
2024,DET,Round 5,1.0,0.123,15.0
2024,BUF,Round 5,0.0,0.123,13.0
2024,OTT,Round 5,1.0,0.123,11.0
2024,SJS,Round 5,1.0,0.123,7.0
2024,DAL,Round 5,1.0,0.123,27.0
2024,MIN,Round 5,2.0,0.123,18.0
2024,COL,Round 6,1.0,0.067,23.0
2024,CHI,Round 6,1.0,0.067,2.0
2024,CBJ,Round 6,1.0,0.067,16.0
2024,STL,Round 6,0.0,0.067,9.0
2024,BOS,Round 6,1.0,0.067,31.0
2024,MTL,Round 6,1.0,0.067,3.0
2024,VAN,Round 6,2.0,0.067,29.0
2024,WSH,Round 6,1.0,0.067,8.0
2024,ARI,Round 6,1.0,0.067,1.0
2024,NJD,Round 6,1.0,0.067,19.0
2024,ANA,Round 6,1.0,0.067,10.0
2024,CGY,Round 6,1.0,0.067,6.0
2024,PHI,Round 6,2.0,0.067,5.0
