season,team,GP,PTS,W,L,OTL,Conference,Division,playoffs,final_G,final_GA,situation,toi,gf,ga,g_dif,gf%,xgf,xga,xg%,pdo,shooting%,sv%,shooting%_ag,sv%_ag,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,xg_dif,fwf_dif,hdsc_dif,offense,defense,differential,gf_p60,ga_p60,g_dif_p60,xgf_p60,xga_p60,hdsc_p60,hdsca_p60,sc_p60,sca_p60,fwf_p60,fwa_p60,cf_p60,ca_p60,shots_p60,shots_ag_p60,mdsc_p60,adsc_p60,ldsc_p60,mdsca_p60,adsca_p60,ldsca_p60,point_shot_p60,point_shot_ag_p60,miss_p60,miss_ag_p60,blocks_p60,blocks_ag_p60,penalties_p60,penalties_ag_p60,hits_p60,takeaways_p60,giveaways_p60,dz_giveaways_p60,hits_ag_p60,takeaways_ag_p60,giveaways_ag_p60,dz_giveaways_ag_p60,xg_dif_p60,fwf_dif_p60,hdsc_dif_p60,oz_takeaways_p60,oz_takeaways_ag_p60,offense_p60,defense_p60,differential_p60,PTS_perc,W_perc,gf_p60_perc,g_dif_p60_perc,gf%_perc,xg%_perc,xgf_p60_perc,xg_dif_p60_perc,ga_p60_perc,xga_p60_perc,hdsc%_perc,hdsc_dif_p60_perc,sc%_perc,asd_perc,asda_perc,pdo_perc,shooting%_perc,sv%_perc,sv%_ag_perc,shooting%_ag_perc,hdsc_p60_perc,sc_p60_perc,hdsca_p60_perc,sca_p60_perc,fenwick%_perc,fwf_p60_perc,fwa_p60_perc,fwf_dif_p60_perc,corsi%_perc,cf_p60_perc,ca_p60_perc,mdsc_p60_perc,adsc_p60_perc,ldsc_p60_perc,adsca_p60_perc,mdsca_p60_perc,ldsca_p60_perc,blocks_p60_perc,blocks_ag_p60_perc,block%_perc,block%_ag_perc,hits_p60_perc,hits_ag_p60_perc,point_shot_p60_perc,point_shot_ag_p60_perc,pshot_perc_perc,pshot_perc_ag_perc,takeaways_p60_perc,takeaways_ag_p60_perc,giveaways_p60_perc,giveaways_ag_p60_perc,dz_giveaways_p60_perc,dz_giveaways_ag_p60_perc,penalties_p60_perc,penalties_ag_p60_perc,faceoff_w_perc,faceoff_l_perc,penalty_mins_perc,penalty_mins_ag_perc,miss_ag_p60_perc,miss_p60_perc,miss_perc_perc,miss_perc_ag_perc,oz_takeaways_ag_p60_perc,oz_takeaways_p60_perc,shots_ag_p60_perc,shots_p60_perc,offense_p60_perc,defense_p60_perc,differential_p60_perc
20182019,ANA,82.0,80.0,35.0,37.0,10.0,west,pacific,none,199.0,251.0,4on5,437.6333333333334,5.0,53.0,-48.0,0.086,4.23,48.83,0.08,0.97,0.089,0.881,0.119,0.911,11.0,137.0,0.074,27.0,366.0,0.069,2.878,2.769,82.0,586.0,0.123,88.0,748.0,0.105,56.0,446.0,16.0,12.0,2.0,229.0,159.0,56.0,8.0,145.0,0.1,0.247,6.0,162.0,26.0,140.0,0.295,0.187,0.068,0.217,11.0,24.0,29.0,67.0,237.0,256.0,88.0,62.0,66.0,56.0,38.0,37.0,101.0,16.0,10.0,29.0,-44.599999999999994,-504.0,-126.0,9.23,101.833,-92.60300000000001,0.686,7.266,-6.581,0.58,6.695,1.508,18.783,3.702,50.179,11.242,80.341,12.065,102.552,7.678,61.147,2.194,1.645,0.274,31.396,21.799,7.678,1.097,19.88,3.565,19.194,0.823,22.21,1.508,3.976,12.065,8.5,9.049,7.678,5.21,5.073,13.847,2.194,-6.115,-69.099,-17.275,1.371,3.976,1.265,13.961,-12.696,0.26,0.26,0.23,0.23,0.16,0.03,0.03,0.13,0.35,0.26,0.05,0.19,0.03,0.74,0.16,0.68,0.5,0.79,0.5,0.79,0.1,0.06,0.19,0.03,0.1,0.13,0.19,0.13,0.105,0.03,0.29,0.1,0.16,0.03,0.48,0.03,0.9,1.0,0.39,0.92,0.26,0.77,0.32,0.9,0.45,0.76,0.13,0.45,0.1,0.32,0.84,0.35,0.87,0.65,0.23,1.0,0.06,0.32,0.71,0.32,0.1,0.03,0.13,0.03,0.68,0.16,0.03,0.06,0.32,0.19
20182019,ANA,82.0,80.0,35.0,37.0,10.0,west,pacific,none,199.0,251.0,5on4,345.9,36.0,10.0,26.0,0.783,34.66,6.29,0.846,0.983,0.126,0.857,0.143,0.874,85.0,18.0,0.825,225.0,42.0,0.843,2.581,2.815,402.0,94.0,0.81,549.0,107.0,0.837,285.0,70.0,140.0,99.0,77.0,24.0,16.0,7.0,127.0,12.0,0.32,0.128,147.0,13.0,117.0,24.0,0.213,0.224,0.268,0.121,28.0,80.0,8.0,21.0,215.0,162.0,35.0,19.0,84.0,5.0,60.0,51.0,49.0,48.0,11.0,7.0,28.369999999999997,308.0,67.0,70.655,16.29,54.365,6.245,1.735,4.51,6.012,1.091,14.744,3.122,39.029,7.285,69.731,16.305,95.23,18.56,49.436,12.142,24.284,17.173,13.356,4.163,2.775,1.214,22.029,2.082,20.295,4.163,25.499,2.255,4.857,1.388,6.071,3.296,14.571,0.867,10.408,8.846,8.5,8.326,4.921,53.426,11.622,1.908,1.214,12.256,2.826,9.43,0.26,0.26,0.32,0.26,0.13,0.39,0.35,0.35,0.16,0.45,0.32,0.26,0.26,0.26,0.55,0.1,0.48,0.1,0.48,0.1,0.35,0.42,0.29,0.32,0.19,0.39,0.29,0.23,0.837,0.48,0.19,0.48,0.03,0.94,0.29,0.32,0.45,0.29,0.77,0.19,0.55,0.81,0.55,0.42,0.55,0.24,0.44,0.48,0.58,0.13,0.74,0.81,0.77,0.68,0.16,0.55,0.97,0.39,0.95,0.97,0.48,0.4,1.0,0.48,0.52,0.52,0.26,0.32,0.26,0.29
20182019,ANA,82.0,80.0,35.0,37.0,10.0,west,pacific,none,199.0,251.0,5on5,4012.1833333333334,147.0,173.0,-26.0,0.459,151.57,185.74,0.449,0.997,0.078,0.919,0.081,0.922,503.0,598.0,0.457,1217.0,1409.0,0.463,2.469,2.486,2722.0,3063.0,0.471,3664.0,4063.0,0.474,1877.0,2128.0,714.0,840.0,515.0,811.0,956.0,577.0,847.0,972.0,0.31,0.317,942.0,1000.0,845.0,935.0,0.231,0.23,0.257,0.246,262.0,586.0,210.0,472.0,1872.0,1780.0,1759.0,466.0,764.0,441.0,1717.0,529.0,827.0,473.0,167.0,209.0,-34.170000000000016,-341.0,-95.0,298.568,358.742,-60.17400000000001,2.198,2.587,-0.389,2.267,2.778,7.522,8.943,18.2,21.071,40.706,45.805,54.793,60.76,28.07,31.823,10.677,12.562,7.702,12.128,14.296,8.629,12.666,14.536,12.637,13.982,14.087,14.954,3.918,3.14,26.305,6.969,11.425,6.595,25.677,7.911,12.367,7.073,-0.511,-5.099,-1.421,2.497,3.125,4.465,5.365,-0.9,0.26,0.26,0.06,0.29,0.26,0.05,0.06,0.1,0.66,0.26,0.16,0.16,0.19,0.68,0.26,0.48,0.18,0.81,0.18,0.81,0.23,0.29,0.16,0.13,0.13,0.16,0.13,0.13,0.474,0.26,0.13,0.32,0.35,0.1,0.13,0.19,0.71,0.68,0.65,0.45,0.26,0.61,0.48,0.9,0.58,0.84,0.35,0.19,0.52,0.39,0.84,0.48,0.87,0.06,0.16,0.23,0.94,0.97,0.71,0.97,0.29,0.05,1.0,0.32,0.19,0.42,0.03,0.03,0.48,0.1
20182019,ANA,82.0,80.0,35.0,37.0,10.0,west,pacific,none,199.0,251.0,all,4972.0,196.0,248.0,-52.0,0.441,196.66,251.58,0.439,0.995,0.086,0.909,0.091,0.914,634.0,804.0,0.441,1535.0,1916.0,0.445,2.505,2.558,3296.0,3871.0,0.46,4412.0,5067.0,0.465,2288.0,2739.0,901.0,969.0,600.0,1112.0,1155.0,645.0,1001.0,1143.0,0.3,0.295,1116.0,1196.0,1008.0,1132.0,0.228,0.223,0.253,0.236,319.0,734.0,261.0,588.0,2394.0,2269.0,1900.0,564.0,930.0,511.0,1833.0,631.0,992.0,540.0,190.0,245.0,-54.920000000000016,-575.0,-170.0,392.658,499.58200000000005,-106.924,2.365,2.993,-0.628,2.373,3.036,7.651,9.702,18.524,23.121,39.775,46.714,53.242,61.146,27.611,33.053,10.873,11.693,7.241,13.419,13.938,7.784,12.08,13.793,12.164,13.66,13.467,14.433,3.85,3.15,22.928,6.806,11.223,6.167,22.12,7.615,11.971,6.516,-0.663,-6.939,-2.051,2.293,2.957,4.738,6.029,-1.29,0.26,0.26,0.03,0.1,0.06,0.03,0.06,0.03,0.42,0.13,0.08,0.1,0.03,0.52,0.15,0.39,0.21,0.73,0.21,0.73,0.13,0.16,0.16,0.03,0.08,0.1,0.06,0.06,0.465,0.19,0.06,0.32,0.23,0.13,0.1,0.06,0.71,0.71,0.65,0.35,0.16,0.65,0.48,0.9,0.58,0.79,0.29,0.26,0.52,0.39,0.81,0.48,0.84,0.16,0.1,0.35,0.94,0.74,0.9,0.97,0.35,0.08,0.94,0.29,0.26,0.19,0.03,0.03,0.35,0.03
20182019,ANA,82.0,80.0,35.0,37.0,10.0,west,pacific,none,199.0,251.0,other,176.28333333333333,8.0,12.0,-4.0,0.4,6.21,10.72,0.367,0.988,0.114,0.874,0.126,0.886,35.0,51.0,0.407,66.0,99.0,0.4,3.056,3.133,90.0,128.0,0.413,111.0,149.0,0.427,70.0,95.0,31.0,18.0,6.0,48.0,24.0,5.0,19.0,14.0,0.21,0.109,21.0,21.0,20.0,33.0,0.18,0.221,0.189,0.141,18.0,44.0,14.0,28.0,70.0,71.0,18.0,17.0,16.0,9.0,18.0,14.0,15.0,3.0,2.0,0.0,-4.510000000000001,-38.0,-16.0,14.21,22.72,-8.51,2.723,4.084,-1.361,2.114,3.649,11.913,17.358,22.464,33.696,30.633,43.566,37.78,50.714,23.825,32.334,10.551,6.127,2.042,16.337,8.169,1.702,6.467,4.765,6.807,11.232,7.148,7.148,6.127,4.765,6.127,5.786,5.446,3.063,6.127,4.765,5.105,1.021,-1.535,-12.934,-5.446,0.681,0.0,4.837,7.733,-2.896,0.26,0.26,0.26,0.23,0.19,0.06,0.13,0.06,0.32,0.13,0.1,0.03,0.03,0.77,0.03,0.39,0.39,0.61,0.39,0.61,0.61,0.52,0.23,0.1,0.03,0.35,0.26,0.03,0.427,0.39,0.29,0.39,0.13,0.55,0.68,0.13,0.81,0.52,0.55,0.26,0.23,0.65,0.32,0.45,0.13,0.37,0.03,0.74,0.45,0.29,0.68,0.13,0.23,0.26,0.55,0.32,0.79,0.34,0.89,0.84,0.77,0.81,0.73,0.98,0.23,0.32,0.39,0.23,0.23,0.1
20182019,ARI,82.0,86.0,39.0,35.0,8.0,west,central,none,213.0,223.0,4on5,365.90000000000003,16.0,31.0,-15.0,0.34,8.19,29.09,0.22,1.067,0.172,0.895,0.105,0.828,22.0,97.0,0.185,47.0,230.0,0.17,2.775,2.641,111.0,421.0,0.209,125.0,585.0,0.176,93.0,295.0,25.0,10.0,14.0,133.0,129.0,59.0,18.0,120.0,0.16,0.285,14.0,164.0,18.0,126.0,0.144,0.215,0.112,0.28,7.0,14.0,25.0,59.0,183.0,201.0,65.0,47.0,38.0,37.0,32.0,19.0,90.0,8.0,4.0,11.0,-20.9,-310.0,-75.0,24.192999999999998,60.092,-35.898999999999994,2.624,5.083,-2.46,1.343,4.77,3.608,15.906,7.707,37.715,18.202,69.035,20.497,95.928,15.25,48.374,4.099,1.64,2.296,21.809,21.153,9.675,2.952,19.678,2.952,20.661,2.296,26.893,1.148,4.099,10.659,7.707,6.231,6.067,5.247,3.116,14.758,1.312,-3.427,-50.834,-12.298,0.656,1.804,3.967,9.854,-5.887,0.44,0.48,0.97,1.0,1.0,1.0,0.87,0.97,1.0,0.97,0.84,0.71,0.77,0.45,0.69,0.97,0.94,0.97,0.94,0.97,0.79,0.74,0.55,0.68,0.85,0.9,0.77,0.87,0.176,0.94,0.45,0.61,0.11,0.97,0.61,0.81,0.45,0.13,0.9,0.5,0.94,0.42,0.29,0.13,0.42,0.35,0.53,0.35,0.58,0.71,0.9,0.68,0.61,0.87,0.29,0.32,0.71,0.16,0.94,0.71,0.29,0.65,0.6,0.61,0.23,0.81,0.9,0.97,1.0,1.0
20182019,ARI,82.0,86.0,39.0,35.0,8.0,west,central,none,213.0,223.0,5on4,395.4333333333333,37.0,9.0,28.0,0.804,42.46,7.5,0.85,1.011,0.112,0.899,0.101,0.888,87.0,15.0,0.853,240.0,39.0,0.86,2.57,2.734,471.0,109.0,0.812,624.0,117.0,0.842,330.0,89.0,153.0,166.0,61.0,24.0,18.0,7.0,143.0,14.0,0.3,0.128,153.0,8.0,141.0,20.0,0.226,0.171,0.245,0.068,38.0,82.0,20.0,78.0,203.0,230.0,45.0,22.0,61.0,2.0,98.0,57.0,65.0,61.0,12.0,10.0,34.96,362.0,72.0,79.462,16.503,62.95900000000001,5.614,1.366,4.249,6.443,1.138,13.201,2.276,36.416,5.918,71.466,16.539,94.681,17.753,50.072,13.504,23.215,25.188,9.256,3.642,2.731,1.062,21.698,2.124,21.394,3.035,23.215,1.214,5.766,3.035,6.828,3.338,9.256,0.303,14.87,8.649,9.863,9.256,5.305,54.927,10.925,1.821,1.517,12.057,2.504,9.553,0.44,0.48,0.19,0.16,0.21,0.45,0.48,0.52,0.35,0.39,0.48,0.23,0.52,0.16,0.76,0.29,0.26,0.53,0.26,0.53,0.13,0.23,0.81,0.68,0.23,0.55,0.26,0.45,0.842,0.42,0.32,0.39,0.87,0.48,0.32,0.61,0.61,0.52,0.13,0.48,0.16,0.97,0.06,0.52,0.58,0.45,0.44,0.52,0.68,0.74,0.9,0.97,0.87,0.26,0.97,0.37,0.06,0.42,0.06,0.84,0.32,0.23,0.63,0.23,0.42,0.26,0.32,0.29,0.35,0.32
20182019,ARI,82.0,86.0,39.0,35.0,8.0,west,central,none,213.0,223.0,5on5,4015.9666666666667,143.0,168.0,-25.0,0.46,169.61,172.22,0.496,0.989,0.071,0.918,0.082,0.929,514.0,558.0,0.479,1166.0,1258.0,0.481,2.419,2.42,2833.0,2908.0,0.493,3835.0,4014.0,0.489,2019.0,2046.0,652.0,924.0,567.0,700.0,848.0,655.0,919.0,961.0,0.32,0.33,1002.0,1106.0,814.0,862.0,0.212,0.215,0.261,0.276,211.0,433.0,244.0,501.0,1849.0,1992.0,1895.0,492.0,592.0,364.0,1941.0,423.0,768.0,443.0,189.0,144.0,-2.609999999999985,-75.0,-44.0,312.60800000000006,340.223,-27.615,2.136,2.51,-0.374,2.534,2.573,7.679,8.337,17.42,18.795,42.326,43.447,57.296,59.971,30.165,30.568,9.741,13.805,8.471,10.458,12.669,9.786,13.73,14.358,12.161,12.879,14.97,16.524,3.152,3.645,28.312,7.351,8.845,5.438,28.999,6.32,11.474,6.619,-0.039,-1.121,-0.657,2.824,2.151,4.67,5.083,-0.413,0.44,0.48,0.03,0.35,0.29,0.48,0.35,0.48,0.74,0.68,0.35,0.35,0.29,0.29,0.71,0.16,0.05,0.74,0.05,0.74,0.35,0.13,0.35,0.68,0.48,0.39,0.52,0.48,0.489,0.48,0.29,0.1,0.81,0.32,0.61,0.84,0.26,0.35,0.94,0.32,0.97,0.74,0.16,0.65,0.55,0.65,0.55,0.39,0.9,0.81,0.68,0.68,0.65,0.9,0.77,0.16,0.23,0.06,0.45,0.81,0.45,0.34,0.74,0.94,0.65,0.71,0.29,0.1,0.71,0.39
20182019,ARI,82.0,86.0,39.0,35.0,8.0,west,central,none,213.0,223.0,all,4980.35,209.0,220.0,-11.0,0.487,231.46,220.86,0.512,0.996,0.082,0.914,0.086,0.918,661.0,718.0,0.479,1539.0,1616.0,0.488,2.466,2.474,3549.0,3579.0,0.498,4747.0,4877.0,0.493,2539.0,2549.0,878.0,1131.0,651.0,898.0,1027.0,734.0,1110.0,1122.0,0.31,0.313,1198.0,1298.0,1010.0,1030.0,0.213,0.211,0.252,0.266,273.0,579.0,301.0,670.0,2307.0,2511.0,2027.0,582.0,707.0,411.0,2101.0,525.0,937.0,515.0,212.0,170.0,10.599999999999994,-30.0,-57.0,440.463,440.86400000000003,-0.4010000000000016,2.518,2.65,-0.133,2.788,2.661,7.963,8.65,18.541,19.469,42.756,43.117,57.189,58.755,30.588,30.709,10.578,13.626,7.843,10.819,12.373,8.843,13.373,13.517,12.168,12.409,14.433,15.637,3.289,3.626,24.42,7.012,8.517,4.951,25.311,6.325,11.288,6.204,0.128,-0.361,-0.687,2.554,2.048,5.306,5.311,-0.005,0.44,0.48,0.1,0.42,0.42,0.65,0.55,0.61,0.85,0.84,0.29,0.29,0.37,0.27,0.68,0.48,0.11,0.89,0.11,0.89,0.29,0.19,0.42,0.74,0.48,0.39,0.55,0.48,0.493,0.55,0.42,0.26,0.9,0.52,0.61,0.84,0.26,0.32,0.94,0.4,0.94,0.74,0.13,0.52,0.52,0.55,0.52,0.39,0.87,0.81,0.74,0.68,0.68,0.81,0.69,0.13,0.19,0.13,0.61,0.74,0.32,0.27,0.63,0.94,0.53,0.68,0.35,0.26,0.87,0.45
20182019,ARI,82.0,86.0,39.0,35.0,8.0,west,central,none,213.0,223.0,other,203.04999999999998,13.0,12.0,1.0,0.52,11.19,12.06,0.481,1.033,0.134,0.899,0.101,0.866,38.0,48.0,0.442,86.0,89.0,0.491,2.913,2.925,134.0,141.0,0.487,163.0,161.0,0.503,97.0,119.0,48.0,31.0,9.0,41.0,32.0,13.0,30.0,27.0,0.22,0.191,29.0,20.0,37.0,22.0,0.227,0.137,0.178,0.124,17.0,50.0,12.0,32.0,72.0,88.0,22.0,21.0,16.0,8.0,30.0,26.0,14.0,3.0,7.0,5.0,-0.870000000000001,-7.0,-10.0,24.194000000000003,24.058000000000003,0.13600000000000062,3.841,3.546,0.295,3.307,3.564,11.229,14.184,25.412,26.299,39.596,41.665,48.165,47.574,28.663,35.164,14.184,9.16,2.659,12.115,9.456,3.841,8.865,7.978,10.933,6.501,8.569,5.91,5.023,3.546,6.501,6.205,4.728,2.364,8.865,7.683,4.137,0.886,-0.257,-2.068,-2.955,2.068,1.477,7.149,7.109,0.04,0.44,0.48,0.68,0.58,0.53,0.32,0.81,0.32,0.42,0.23,0.23,0.19,0.42,0.45,0.55,0.77,0.55,0.87,0.55,0.87,0.48,0.65,0.29,0.29,0.35,0.65,0.29,0.39,0.503,0.65,0.35,0.74,0.61,0.65,0.45,0.39,0.13,0.32,0.29,0.35,0.1,0.71,0.06,0.23,0.71,0.31,0.61,0.84,0.13,0.35,0.58,0.23,0.19,0.45,0.26,0.35,0.23,0.42,0.77,0.16,0.39,0.19,0.1,0.42,0.9,0.16,0.55,0.74,0.42,0.52
