situation,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,fwf,fwa,fenwick%,cf,ca,corsi%,blocks,blocks_ag,xg_dif,g_dif,fwf_dif,hdsc_dif,block%,block%_ag,penalties,penalties_ag
4on5,0.09,0.61,0.1,0.58,0.17,0.23,1.64,0.1,0.52,3.67,0.12,1.11,6.23,0.15,1.27,8.24,0.14,0.16,2.01,-0.48,-0.52,-5.12,-1.41,0.08,0.23,0.15,0.47
5on4,0.61,0.09,0.58,0.1,0.8,1.64,0.23,0.66,3.67,0.52,0.8,6.23,1.11,0.82,8.24,1.27,0.85,2.01,0.16,0.48,0.52,5.12,1.41,0.23,0.08,0.47,0.15
5on5,2.29,2.29,2.4,2.4,0.5,7.45,7.45,0.5,16.3,16.3,0.5,34.82,34.82,0.5,47.09,47.09,0.5,12.27,12.27,0.0,0.0,0.0,0.0,0.26,0.26,2.97,2.97
all,3.16,3.16,3.21,3.21,0.5,9.89,9.89,0.5,21.6,21.6,0.5,43.78,43.78,0.5,58.52,58.52,0.5,14.74,14.74,0.0,0.0,0.0,0.0,0.25,0.25,3.83,3.83
other,0.16,0.16,0.14,0.14,0.28,0.57,0.57,0.19,1.12,1.12,0.26,1.62,1.62,0.29,1.92,1.92,0.3,0.31,0.31,0.0,0.0,0.0,0.0,0.08,0.08,0.23,0.23
