x_bin,y_bin,shots_per_60
25,-42,0.021444422039251464
25,-38,0.023913270175322195
25,-34,0.02299985204358543
25,-30,0.020709235602193826
25,-26,0.019317412164139052
25,-22,0.014831675905236047
25,-18,0.013265117009956143
25,-14,0.01239410469912872
25,-10,0.01427930268424307
25,-6,0.0171762095727899
25,-2,0.022951431674923584
25,2,0.012380350956196053
25,6,0.01240265983853235
25,10,0.00963439532161712
25,14,0.01272625250532697
25,18,0.015785006647696234
25,22,0.017176809338136124
25,26,0.021581984669539866
25,30,0.029362631100761264
25,34,0.03195685375654473
25,38,0.01954937213837597
29,-42,0.04581623598000018
29,-38,0.11289161786344044
29,-34,0.12201830777914842
29,-30,0.11355573904624855
29,-26,0.09580028663282235
29,-22,0.08715571302032345
29,-18,0.07137866940695524
29,-14,0.06286939343287261
29,-10,0.0628277842917598
29,-6,0.08231650804454387
29,-2,0.10308909603031412
29,2,0.07262632391794882
29,6,0.061965908218999444
29,10,0.05996521743348644
29,14,0.07130383713266286
29,18,0.08423571320507581
29,22,0.09660656813109218
29,26,0.1196426618641724
29,30,0.13197518800653435
29,34,0.11320349141625215
29,38,0.03703775525367388
33,-42,0.041864072462486336
33,-38,0.12925023922152581
33,-34,0.20008092006207404
33,-30,0.20876235900495482
33,-26,0.18657409236716604
33,-22,0.14821225378875535
33,-18,0.11778628999242945
33,-14,0.10640193518047093
33,-10,0.09126589646577042
33,-6,0.12325227123178828
33,-2,0.155401544289563
33,2,0.11123382407446884
33,6,0.10191001885868745
33,10,0.10301925531741689
33,14,0.11867612544387339
33,18,0.1527276286608092
33,22,0.19146830225414752
33,26,0.23163443423879665
33,30,0.20180116012610644
33,34,0.11186296036719111
33,38,0.030830389643162277
37,-42,0.03801399153480231
37,-38,0.0922855489457881
37,-34,0.1532544356665713
37,-30,0.1798297099812394
37,-26,0.1702201774595261
37,-22,0.13238231064564532
37,-18,0.09969866351254945
37,-14,0.08177453130751475
37,-10,0.07852020865288893
37,-6,0.10035230493660482
37,-2,0.13010308519659985
37,2,0.09242140369402466
37,6,0.07801407220935888
37,10,0.08984010547978735
37,14,0.10874046685469561
37,18,0.15197863218298002
37,22,0.1746865283493467
37,26,0.1901397458512775
37,30,0.14440566871869437
37,34,0.08753523879588437
37,38,0.02817373333213575
41,-42,0.03968586047866349
41,-38,0.07918114018792995
41,-34,0.10736150929206019
41,-30,0.1303060122266985
41,-26,0.12533168952657886
41,-22,0.10760914516014924
41,-18,0.0751795234731705
41,-14,0.068177789277155
41,-10,0.06565548102587655
41,-6,0.08751374648194868
41,-2,0.10793105100733562
41,2,0.08128125320221936
41,6,0.06998606593516564
41,10,0.073607915424165
41,14,0.091721651622121
41,18,0.11273894335288465
41,22,0.13760822349752128
41,26,0.13194025949884222
41,30,0.09844787770834447
41,34,0.08045417720548471
41,38,0.033822051961211665
45,-42,0.04404195479612549
45,-38,0.07703874437262404
45,-34,0.0839737628420327
45,-30,0.10442324220745042
45,-26,0.10598026436300827
45,-22,0.08990023682336412
45,-18,0.07779797429277881
45,-14,0.06716193054134241
45,-10,0.0699461759905978
45,-6,0.0876294671525642
45,-2,0.11060894069537493
45,2,0.08930551943888097
45,6,0.06900547537976726
45,10,0.08035624836624296
45,14,0.09379105289882347
45,18,0.1078941009485211
45,22,0.10811225003851392
45,26,0.10093766636294038
45,30,0.09020276208245931
45,34,0.07402800494791487
45,38,0.036753690502908255
49,-42,0.0443705353902891
49,-38,0.08122138826204271
49,-34,0.0942365744782796
49,-30,0.11511583996989823
49,-26,0.133736031504384
49,-22,0.1194591949037791
49,-18,0.10817815281808686
49,-14,0.08630344540293698
49,-10,0.0847255287487522
49,-6,0.10003122413868364
49,-2,0.1367069220184545
49,2,0.09884766593931736
49,6,0.09199948671633548
49,10,0.10223512372594756
49,14,0.12537034306652076
49,18,0.14880568612359532
