x_bin,y_bin,shots_per_60
85,-10,0.30035461494211674
85,-6,0.1894948915717059
85,-2,0.028739139986680273
85,2,0.20233284232361673
85,6,0.15980317415916567
85,10,0.07683010330036893
85,14,0.05877623942824214
85,18,0.053633852965873696
85,22,0.041893279353639214
85,26,0.03048674260468441
85,30,0.020247807114189394
85,34,0.012004414404193456
85,38,0.0
89,-42,0.0
89,-38,0.000577862707736025
89,-34,0.004752830538136941
89,-30,0.006880820237260833
89,-26,0.009354506833414215
89,-22,0.011643799624768364
89,-18,0.017158646090528102
89,-14,0.02258457667732913
89,-10,0.055700922809784115
89,-6,0.02695502300958781
89,-2,0.0009831110636262337
89,2,0.02743555437927307
89,6,0.035743329423584755
89,10,0.019310307770836286
89,14,0.015142581567685123
89,18,0.01442099018602863
89,22,0.009492752757853844
89,26,0.00878802905656754
89,30,0.004471575752208964
89,34,0.0002933981549740351
89,38,0.0
93,-42,0.0
93,-38,0.0
93,-34,0.000289297962346033
93,-30,0.002251181923724216
93,-26,0.0039000912257410748
93,-22,0.0043684977859942626
93,-18,0.006295938392983526
93,-14,0.00725031270199539
93,-10,0.011065787493164496
93,-6,0.004559241773257559
93,-2,0.0007712073278790088
93,2,0.004947273064348162
93,6,0.01081701600761615
93,10,0.006671376570687435
93,14,0.006447482498566666
93,18,0.005195562627551195
93,22,0.0037897753557975134
93,26,0.0017972220307534714
93,30,0.0
93,34,0.0
93,38,0.0
