label,value,team,situation,n_games,matchup,home_away
Points,0.16,ARI,all,all,CHI@ARI,home
Goals For,0.17,ARI,all,all,CHI@ARI,home
Goal Differential,0.16,ARI,all,all,CHI@ARI,home
Shooting %,0.69,ARI,all,all,CHI@ARI,home
Save %,0.5,ARI,all,all,CHI@ARI,home
sv%,0.901,ARI,all,all,CHI@ARI,home
Blocked shot attempt %,0.52,ARI,all,all,CHI@ARI,home
Blocked shot attempt % against,0.16,ARI,all,all,CHI@ARI,home
Expected Goals For,0.12,ARI,all,all,CHI@ARI,home
XG Differential,0.09,ARI,all,all,CHI@ARI,home
Shot (FW) Volume,0.03,ARI,all,all,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,all,CHI@ARI,home
Penalty Differential,0.03,ARI,all,all,CHI@ARI,home
offense_p60_perc,0.12,ARI,all,all,CHI@ARI,home
defense_p60_perc,0.09,ARI,all,all,CHI@ARI,home
cum_dif_p60_perc,0.11,ARI,all,all,CHI@ARI,home
offense,319.26,ARI,all,all,CHI@ARI,home
defense,434.64,ARI,all,all,CHI@ARI,home
cum_dif,-115.38,ARI,all,all,CHI@ARI,home
Points,0.22,ARI,all,last 20 games,CHI@ARI,home
Goals For,0.14,ARI,all,last 20 games,CHI@ARI,home
Goal Differential,0.22,ARI,all,last 20 games,CHI@ARI,home
Shooting %,0.34,ARI,all,last 20 games,CHI@ARI,home
Save %,0.8,ARI,all,last 20 games,CHI@ARI,home
sv%,0.914,ARI,all,last 20 games,CHI@ARI,home
Blocked shot attempt %,0.44,ARI,all,last 20 games,CHI@ARI,home
Blocked shot attempt % against,0.12,ARI,all,last 20 games,CHI@ARI,home
Expected Goals For,0.31,ARI,all,last 20 games,CHI@ARI,home
XG Differential,0.16,ARI,all,last 20 games,CHI@ARI,home
Shot (FW) Volume,0.16,ARI,all,last 20 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,last 20 games,CHI@ARI,home
Penalty Differential,0.03,ARI,all,last 20 games,CHI@ARI,home
offense_p60_perc,0.16,ARI,all,last 20 games,CHI@ARI,home
defense_p60_perc,0.28,ARI,all,last 20 games,CHI@ARI,home
cum_dif_p60_perc,0.12,ARI,all,last 20 games,CHI@ARI,home
offense,110.55,ARI,all,last 20 games,CHI@ARI,home
defense,140.51,ARI,all,last 20 games,CHI@ARI,home
cum_dif,-29.959999999999994,ARI,all,last 20 games,CHI@ARI,home
Points,0.58,ARI,all,last 10 games,CHI@ARI,home
Goals For,0.34,ARI,all,last 10 games,CHI@ARI,home
Goal Differential,0.33,ARI,all,last 10 games,CHI@ARI,home
Shooting %,0.55,ARI,all,last 10 games,CHI@ARI,home
Save %,0.64,ARI,all,last 10 games,CHI@ARI,home
sv%,0.913,ARI,all,last 10 games,CHI@ARI,home
Blocked shot attempt %,0.64,ARI,all,last 10 games,CHI@ARI,home
Blocked shot attempt % against,0.12,ARI,all,last 10 games,CHI@ARI,home
Expected Goals For,0.47,ARI,all,last 10 games,CHI@ARI,home
XG Differential,0.22,ARI,all,last 10 games,CHI@ARI,home
Shot (FW) Volume,0.16,ARI,all,last 10 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,last 10 games,CHI@ARI,home
Penalty Differential,0.06,ARI,all,last 10 games,CHI@ARI,home
offense_p60_perc,0.33,ARI,all,last 10 games,CHI@ARI,home
defense_p60_perc,0.2,ARI,all,last 10 games,CHI@ARI,home
cum_dif_p60_perc,0.2,ARI,all,last 10 games,CHI@ARI,home
offense,61.19,ARI,all,last 10 games,CHI@ARI,home
defense,74.67,ARI,all,last 10 games,CHI@ARI,home
cum_dif,-13.480000000000004,ARI,all,last 10 games,CHI@ARI,home
Points,0.45,ARI,all,last 5 games,CHI@ARI,home
Goals For,0.27,ARI,all,last 5 games,CHI@ARI,home
Goal Differential,0.22,ARI,all,last 5 games,CHI@ARI,home
Shooting %,0.5,ARI,all,last 5 games,CHI@ARI,home
Save %,0.66,ARI,all,last 5 games,CHI@ARI,home
sv%,0.91,ARI,all,last 5 games,CHI@ARI,home
Blocked shot attempt %,0.28,ARI,all,last 5 games,CHI@ARI,home
Blocked shot attempt % against,0.28,ARI,all,last 5 games,CHI@ARI,home
Expected Goals For,0.25,ARI,all,last 5 games,CHI@ARI,home
XG Differential,0.12,ARI,all,last 5 games,CHI@ARI,home
Shot (FW) Volume,0.16,ARI,all,last 5 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,last 5 games,CHI@ARI,home
Penalty Differential,0.06,ARI,all,last 5 games,CHI@ARI,home
offense_p60_perc,0.12,ARI,all,last 5 games,CHI@ARI,home
defense_p60_perc,0.17,ARI,all,last 5 games,CHI@ARI,home
cum_dif_p60_perc,0.09,ARI,all,last 5 games,CHI@ARI,home
offense,27.57,ARI,all,last 5 games,CHI@ARI,home
defense,41.11,ARI,all,last 5 games,CHI@ARI,home
cum_dif,-13.54,ARI,all,last 5 games,CHI@ARI,home
Points,0.16,ARI,5on5,all,CHI@ARI,home
Goals For,0.22,ARI,5on5,all,CHI@ARI,home
Goal Differential,0.22,ARI,5on5,all,CHI@ARI,home
Shooting %,0.73,ARI,5on5,all,CHI@ARI,home
Save %,0.56,ARI,5on5,all,CHI@ARI,home
sv%,0.911,ARI,5on5,all,CHI@ARI,home
Blocked shot attempt %,0.48,ARI,5on5,all,CHI@ARI,home
Blocked shot attempt % against,0.19,ARI,5on5,all,CHI@ARI,home
Expected Goals For,0.16,ARI,5on5,all,CHI@ARI,home
XG Differential,0.12,ARI,5on5,all,CHI@ARI,home
Shot (FW) Volume,0.06,ARI,5on5,all,CHI@ARI,home
Shot (FW) Differential,0.09,ARI,5on5,all,CHI@ARI,home
Penalty Differential,0.03,ARI,5on5,all,CHI@ARI,home
offense_p60_perc,0.11,ARI,5on5,all,CHI@ARI,home
defense_p60_perc,0.22,ARI,5on5,all,CHI@ARI,home
cum_dif_p60_perc,0.19,ARI,5on5,all,CHI@ARI,home
offense,235.7,ARI,5on5,all,CHI@ARI,home
defense,299.38,ARI,5on5,all,CHI@ARI,home
cum_dif,-63.68000000000001,ARI,5on5,all,CHI@ARI,home
Points,0.22,ARI,5on5,last 20 games,CHI@ARI,home
Goals For,0.16,ARI,5on5,last 20 games,CHI@ARI,home
Goal Differential,0.34,ARI,5on5,last 20 games,CHI@ARI,home
Shooting %,0.38,ARI,5on5,last 20 games,CHI@ARI,home
Save %,0.84,ARI,5on5,last 20 games,CHI@ARI,home
sv%,0.921,ARI,5on5,last 20 games,CHI@ARI,home
Blocked shot attempt %,0.36,ARI,5on5,last 20 games,CHI@ARI,home
Blocked shot attempt % against,0.11,ARI,5on5,last 20 games,CHI@ARI,home
Expected Goals For,0.41,ARI,5on5,last 20 games,CHI@ARI,home
XG Differential,0.17,ARI,5on5,last 20 games,CHI@ARI,home
Shot (FW) Volume,0.2,ARI,5on5,last 20 games,CHI@ARI,home
Shot (FW) Differential,0.12,ARI,5on5,last 20 games,CHI@ARI,home
Penalty Differential,0.03,ARI,5on5,last 20 games,CHI@ARI,home
offense_p60_perc,0.22,ARI,5on5,last 20 games,CHI@ARI,home
defense_p60_perc,0.47,ARI,5on5,last 20 games,CHI@ARI,home
cum_dif_p60_perc,0.22,ARI,5on5,last 20 games,CHI@ARI,home
offense,85.69,ARI,5on5,last 20 games,CHI@ARI,home
defense,101.27000000000001,ARI,5on5,last 20 games,CHI@ARI,home
cum_dif,-15.580000000000013,ARI,5on5,last 20 games,CHI@ARI,home
Points,0.58,ARI,5on5,last 10 games,CHI@ARI,home
Goals For,0.25,ARI,5on5,last 10 games,CHI@ARI,home
Goal Differential,0.34,ARI,5on5,last 10 games,CHI@ARI,home
Shooting %,0.48,ARI,5on5,last 10 games,CHI@ARI,home
Save %,0.62,ARI,5on5,last 10 games,CHI@ARI,home
sv%,0.918,ARI,5on5,last 10 games,CHI@ARI,home
Blocked shot attempt %,0.47,ARI,5on5,last 10 games,CHI@ARI,home
Blocked shot attempt % against,0.16,ARI,5on5,last 10 games,CHI@ARI,home
Expected Goals For,0.52,ARI,5on5,last 10 games,CHI@ARI,home
XG Differential,0.42,ARI,5on5,last 10 games,CHI@ARI,home
Shot (FW) Volume,0.23,ARI,5on5,last 10 games,CHI@ARI,home
Shot (FW) Differential,0.12,ARI,5on5,last 10 games,CHI@ARI,home
Penalty Differential,0.09,ARI,5on5,last 10 games,CHI@ARI,home
offense_p60_perc,0.34,ARI,5on5,last 10 games,CHI@ARI,home
defense_p60_perc,0.42,ARI,5on5,last 10 games,CHI@ARI,home
cum_dif_p60_perc,0.34,ARI,5on5,last 10 games,CHI@ARI,home
offense,45.019999999999996,ARI,5on5,last 10 games,CHI@ARI,home
defense,49.56,ARI,5on5,last 10 games,CHI@ARI,home
cum_dif,-4.540000000000006,ARI,5on5,last 10 games,CHI@ARI,home
Points,0.45,ARI,5on5,last 5 games,CHI@ARI,home
Goals For,0.16,ARI,5on5,last 5 games,CHI@ARI,home
Goal Differential,0.28,ARI,5on5,last 5 games,CHI@ARI,home
Shooting %,0.42,ARI,5on5,last 5 games,CHI@ARI,home
Save %,0.7,ARI,5on5,last 5 games,CHI@ARI,home
sv%,0.918,ARI,5on5,last 5 games,CHI@ARI,home
Blocked shot attempt %,0.14,ARI,5on5,last 5 games,CHI@ARI,home
Blocked shot attempt % against,0.2,ARI,5on5,last 5 games,CHI@ARI,home
Expected Goals For,0.14,ARI,5on5,last 5 games,CHI@ARI,home
XG Differential,0.16,ARI,5on5,last 5 games,CHI@ARI,home
Shot (FW) Volume,0.12,ARI,5on5,last 5 games,CHI@ARI,home
Shot (FW) Differential,0.09,ARI,5on5,last 5 games,CHI@ARI,home
Penalty Differential,0.06,ARI,5on5,last 5 games,CHI@ARI,home
offense_p60_perc,0.12,ARI,5on5,last 5 games,CHI@ARI,home
defense_p60_perc,0.44,ARI,5on5,last 5 games,CHI@ARI,home
cum_dif_p60_perc,0.22,ARI,5on5,last 5 games,CHI@ARI,home
offense,19.61,ARI,5on5,last 5 games,CHI@ARI,home
defense,26.21,ARI,5on5,last 5 games,CHI@ARI,home
cum_dif,-6.600000000000001,ARI,5on5,last 5 games,CHI@ARI,home
Points,0.16,ARI,4on5,all,CHI@ARI,home
Goals For,0.22,ARI,4on5,all,CHI@ARI,home
Goal Differential,0.19,ARI,4on5,all,CHI@ARI,home
Shooting %,0.47,ARI,4on5,all,CHI@ARI,home
Save %,0.38,ARI,4on5,all,CHI@ARI,home
sv%,0.855,ARI,4on5,all,CHI@ARI,home
Blocked shot attempt %,0.75,ARI,4on5,all,CHI@ARI,home
Blocked shot attempt % against,0.22,ARI,4on5,all,CHI@ARI,home
Expected Goals For,0.12,ARI,4on5,all,CHI@ARI,home
XG Differential,0.09,ARI,4on5,all,CHI@ARI,home
Shot (FW) Volume,0.06,ARI,4on5,all,CHI@ARI,home
Shot (FW) Differential,0.03,ARI,4on5,all,CHI@ARI,home
Penalty Differential,0.61,ARI,4on5,all,CHI@ARI,home
offense_p60_perc,0.12,ARI,4on5,all,CHI@ARI,home
defense_p60_perc,0.17,ARI,4on5,all,CHI@ARI,home
cum_dif_p60_perc,0.12,ARI,4on5,all,CHI@ARI,home
offense,8.6,ARI,4on5,all,CHI@ARI,home
defense,106.3,ARI,4on5,all,CHI@ARI,home
cum_dif,-97.7,ARI,4on5,all,CHI@ARI,home
Points,0.22,ARI,4on5,last 20 games,CHI@ARI,home
Goals For,0.27,ARI,4on5,last 20 games,CHI@ARI,home
Goal Differential,0.31,ARI,4on5,last 20 games,CHI@ARI,home
Shooting %,0.38,ARI,4on5,last 20 games,CHI@ARI,home
Save %,0.52,ARI,4on5,last 20 games,CHI@ARI,home
sv%,0.877,ARI,4on5,last 20 games,CHI@ARI,home
Blocked shot attempt %,0.23,ARI,4on5,last 20 games,CHI@ARI,home
Blocked shot attempt % against,0.34,ARI,4on5,last 20 games,CHI@ARI,home
Expected Goals For,0.38,ARI,4on5,last 20 games,CHI@ARI,home
XG Differential,0.5,ARI,4on5,last 20 games,CHI@ARI,home
Shot (FW) Volume,0.16,ARI,4on5,last 20 games,CHI@ARI,home
Shot (FW) Differential,0.09,ARI,4on5,last 20 games,CHI@ARI,home
Penalty Differential,0.62,ARI,4on5,last 20 games,CHI@ARI,home
offense_p60_perc,0.33,ARI,4on5,last 20 games,CHI@ARI,home
defense_p60_perc,0.33,ARI,4on5,last 20 games,CHI@ARI,home
cum_dif_p60_perc,0.25,ARI,4on5,last 20 games,CHI@ARI,home
offense,2.75,ARI,4on5,last 20 games,CHI@ARI,home
defense,28.02,ARI,4on5,last 20 games,CHI@ARI,home
cum_dif,-25.27,ARI,4on5,last 20 games,CHI@ARI,home
Points,0.58,ARI,4on5,last 10 games,CHI@ARI,home
Goals For,0.38,ARI,4on5,last 10 games,CHI@ARI,home
Goal Differential,0.38,ARI,4on5,last 10 games,CHI@ARI,home
Shooting %,0.67,ARI,4on5,last 10 games,CHI@ARI,home
Save %,0.66,ARI,4on5,last 10 games,CHI@ARI,home
sv%,0.892,ARI,4on5,last 10 games,CHI@ARI,home
Blocked shot attempt %,0.31,ARI,4on5,last 10 games,CHI@ARI,home
Blocked shot attempt % against,0.56,ARI,4on5,last 10 games,CHI@ARI,home
Expected Goals For,0.33,ARI,4on5,last 10 games,CHI@ARI,home
XG Differential,0.19,ARI,4on5,last 10 games,CHI@ARI,home
Shot (FW) Volume,0.12,ARI,4on5,last 10 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,4on5,last 10 games,CHI@ARI,home
Penalty Differential,0.53,ARI,4on5,last 10 games,CHI@ARI,home
offense_p60_perc,0.44,ARI,4on5,last 10 games,CHI@ARI,home
defense_p60_perc,0.34,ARI,4on5,last 10 games,CHI@ARI,home
cum_dif_p60_perc,0.25,ARI,4on5,last 10 games,CHI@ARI,home
offense,1.88,ARI,4on5,last 10 games,CHI@ARI,home
defense,16.810000000000002,ARI,4on5,last 10 games,CHI@ARI,home
cum_dif,-14.930000000000003,ARI,4on5,last 10 games,CHI@ARI,home
Points,0.45,ARI,4on5,last 5 games,CHI@ARI,home
Goals For,0.69,ARI,4on5,last 5 games,CHI@ARI,home
Goal Differential,0.12,ARI,4on5,last 5 games,CHI@ARI,home
Shooting %,0.89,ARI,4on5,last 5 games,CHI@ARI,home
Save %,0.19,ARI,4on5,last 5 games,CHI@ARI,home
sv%,0.829,ARI,4on5,last 5 games,CHI@ARI,home
Blocked shot attempt %,0.3,ARI,4on5,last 5 games,CHI@ARI,home
Blocked shot attempt % against,0.8,ARI,4on5,last 5 games,CHI@ARI,home
Expected Goals For,0.5,ARI,4on5,last 5 games,CHI@ARI,home
XG Differential,0.25,ARI,4on5,last 5 games,CHI@ARI,home
Shot (FW) Volume,0.12,ARI,4on5,last 5 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,4on5,last 5 games,CHI@ARI,home
Penalty Differential,0.58,ARI,4on5,last 5 games,CHI@ARI,home
offense_p60_perc,0.66,ARI,4on5,last 5 games,CHI@ARI,home
defense_p60_perc,0.09,ARI,4on5,last 5 games,CHI@ARI,home
cum_dif_p60_perc,0.19,ARI,4on5,last 5 games,CHI@ARI,home
offense,1.52,ARI,4on5,last 5 games,CHI@ARI,home
defense,11.33,ARI,4on5,last 5 games,CHI@ARI,home
cum_dif,-9.81,ARI,4on5,last 5 games,CHI@ARI,home
Points,0.16,ARI,5on4,all,CHI@ARI,home
Goals For,0.23,ARI,5on4,all,CHI@ARI,home
Goal Differential,0.47,ARI,5on4,all,CHI@ARI,home
Shooting %,0.62,ARI,5on4,all,CHI@ARI,home
Save %,1.0,ARI,5on4,all,CHI@ARI,home
sv%,0.979,ARI,5on4,all,CHI@ARI,home
Blocked shot attempt %,0.59,ARI,5on4,all,CHI@ARI,home
Blocked shot attempt % against,0.91,ARI,5on4,all,CHI@ARI,home
Expected Goals For,0.25,ARI,5on4,all,CHI@ARI,home
XG Differential,0.33,ARI,5on4,all,CHI@ARI,home
Shot (FW) Volume,0.09,ARI,5on4,all,CHI@ARI,home
Shot (FW) Differential,0.09,ARI,5on4,all,CHI@ARI,home
Penalty Differential,0.42,ARI,5on4,all,CHI@ARI,home
offense_p60_perc,0.22,ARI,5on4,all,CHI@ARI,home
defense_p60_perc,0.97,ARI,5on4,all,CHI@ARI,home
cum_dif_p60_perc,0.38,ARI,5on4,all,CHI@ARI,home
offense,62.03,ARI,5on4,all,CHI@ARI,home
defense,5.6,ARI,5on4,all,CHI@ARI,home
cum_dif,56.43,ARI,5on4,all,CHI@ARI,home
Points,0.22,ARI,5on4,last 20 games,CHI@ARI,home
Goals For,0.31,ARI,5on4,last 20 games,CHI@ARI,home
Goal Differential,0.48,ARI,5on4,last 20 games,CHI@ARI,home
Shooting %,0.47,ARI,5on4,last 20 games,CHI@ARI,home
Save %,0.92,ARI,5on4,last 20 games,CHI@ARI,home
sv%,1.0,ARI,5on4,last 20 games,CHI@ARI,home
Blocked shot attempt %,0.94,ARI,5on4,last 20 games,CHI@ARI,home
Blocked shot attempt % against,0.72,ARI,5on4,last 20 games,CHI@ARI,home
Expected Goals For,0.31,ARI,5on4,last 20 games,CHI@ARI,home
XG Differential,0.5,ARI,5on4,last 20 games,CHI@ARI,home
Shot (FW) Volume,0.25,ARI,5on4,last 20 games,CHI@ARI,home
Shot (FW) Differential,0.38,ARI,5on4,last 20 games,CHI@ARI,home
Penalty Differential,0.62,ARI,5on4,last 20 games,CHI@ARI,home
offense_p60_perc,0.31,ARI,5on4,last 20 games,CHI@ARI,home
defense_p60_perc,0.91,ARI,5on4,last 20 games,CHI@ARI,home
cum_dif_p60_perc,0.56,ARI,5on4,last 20 games,CHI@ARI,home
offense,16.4,ARI,5on4,last 20 games,CHI@ARI,home
defense,0.85,ARI,5on4,last 20 games,CHI@ARI,home
cum_dif,15.549999999999999,ARI,5on4,last 20 games,CHI@ARI,home
Points,0.58,ARI,5on4,last 10 games,CHI@ARI,home
Goals For,0.56,ARI,5on4,last 10 games,CHI@ARI,home
Goal Differential,0.69,ARI,5on4,last 10 games,CHI@ARI,home
Shooting %,0.81,ARI,5on4,last 10 games,CHI@ARI,home
Save %,0.8,ARI,5on4,last 10 games,CHI@ARI,home
sv%,1.0,ARI,5on4,last 10 games,CHI@ARI,home
Blocked shot attempt %,0.84,ARI,5on4,last 10 games,CHI@ARI,home
Blocked shot attempt % against,0.72,ARI,5on4,last 10 games,CHI@ARI,home
Expected Goals For,0.39,ARI,5on4,last 10 games,CHI@ARI,home
XG Differential,0.5,ARI,5on4,last 10 games,CHI@ARI,home
Shot (FW) Volume,0.22,ARI,5on4,last 10 games,CHI@ARI,home
Shot (FW) Differential,0.28,ARI,5on4,last 10 games,CHI@ARI,home
Penalty Differential,0.41,ARI,5on4,last 10 games,CHI@ARI,home
offense_p60_perc,0.5,ARI,5on4,last 10 games,CHI@ARI,home
defense_p60_perc,0.78,ARI,5on4,last 10 games,CHI@ARI,home
cum_dif_p60_perc,0.62,ARI,5on4,last 10 games,CHI@ARI,home
offense,9.4,ARI,5on4,last 10 games,CHI@ARI,home
defense,0.53,ARI,5on4,last 10 games,CHI@ARI,home
cum_dif,8.870000000000001,ARI,5on4,last 10 games,CHI@ARI,home
Points,0.45,ARI,5on4,last 5 games,CHI@ARI,home
Goals For,0.25,ARI,5on4,last 5 games,CHI@ARI,home
Goal Differential,0.34,ARI,5on4,last 5 games,CHI@ARI,home
Shooting %,0.38,ARI,5on4,last 5 games,CHI@ARI,home
Save %,0.72,ARI,5on4,last 5 games,CHI@ARI,home
sv%,1.0,ARI,5on4,last 5 games,CHI@ARI,home
Blocked shot attempt %,0.81,ARI,5on4,last 5 games,CHI@ARI,home
Blocked shot attempt % against,0.64,ARI,5on4,last 5 games,CHI@ARI,home
Expected Goals For,0.23,ARI,5on4,last 5 games,CHI@ARI,home
XG Differential,0.28,ARI,5on4,last 5 games,CHI@ARI,home
Shot (FW) Volume,0.28,ARI,5on4,last 5 games,CHI@ARI,home
Shot (FW) Differential,0.25,ARI,5on4,last 5 games,CHI@ARI,home
Penalty Differential,0.81,ARI,5on4,last 5 games,CHI@ARI,home
offense_p60_perc,0.19,ARI,5on4,last 5 games,CHI@ARI,home
defense_p60_perc,0.56,ARI,5on4,last 5 games,CHI@ARI,home
cum_dif_p60_perc,0.25,ARI,5on4,last 5 games,CHI@ARI,home
offense,2.44,ARI,5on4,last 5 games,CHI@ARI,home
defense,0.29,ARI,5on4,last 5 games,CHI@ARI,home
cum_dif,2.15,ARI,5on4,last 5 games,CHI@ARI,home
Points,1.0,BOS,all,all,BOS@CGY,away
Goals For,0.94,BOS,all,all,BOS@CGY,away
Goal Differential,1.0,BOS,all,all,BOS@CGY,away
Shooting %,0.91,BOS,all,all,BOS@CGY,away
Save %,1.0,BOS,all,all,BOS@CGY,away
sv%,0.93,BOS,all,all,BOS@CGY,away
Blocked shot attempt %,0.91,BOS,all,all,BOS@CGY,away
Blocked shot attempt % against,0.64,BOS,all,all,BOS@CGY,away
Expected Goals For,0.72,BOS,all,all,BOS@CGY,away
XG Differential,0.88,BOS,all,all,BOS@CGY,away
Shot (FW) Volume,0.7,BOS,all,all,BOS@CGY,away
Shot (FW) Differential,0.78,BOS,all,all,BOS@CGY,away
Penalty Differential,0.39,BOS,all,all,BOS@CGY,away
offense_p60_perc,0.88,BOS,all,all,BOS@CGY,away
defense_p60_perc,1.0,BOS,all,all,BOS@CGY,away
cum_dif_p60_perc,1.0,BOS,all,all,BOS@CGY,away
offense,424.69,BOS,all,all,BOS@CGY,away
defense,294.5,BOS,all,all,BOS@CGY,away
cum_dif,130.19,BOS,all,all,BOS@CGY,away
Points,0.97,BOS,all,last 20 games,BOS@CGY,away
Goals For,0.89,BOS,all,last 20 games,BOS@CGY,away
Goal Differential,1.0,BOS,all,last 20 games,BOS@CGY,away
Shooting %,0.97,BOS,all,last 20 games,BOS@CGY,away
Save %,1.0,BOS,all,last 20 games,BOS@CGY,away
sv%,0.933,BOS,all,last 20 games,BOS@CGY,away
Blocked shot attempt %,0.72,BOS,all,last 20 games,BOS@CGY,away
Blocked shot attempt % against,0.84,BOS,all,last 20 games,BOS@CGY,away
Expected Goals For,0.41,BOS,all,last 20 games,BOS@CGY,away
XG Differential,0.58,BOS,all,last 20 games,BOS@CGY,away
Shot (FW) Volume,0.34,BOS,all,last 20 games,BOS@CGY,away
Shot (FW) Differential,0.53,BOS,all,last 20 games,BOS@CGY,away
Penalty Differential,0.44,BOS,all,last 20 games,BOS@CGY,away
offense_p60_perc,0.64,BOS,all,last 20 games,BOS@CGY,away
defense_p60_perc,1.0,BOS,all,last 20 games,BOS@CGY,away
cum_dif_p60_perc,0.91,BOS,all,last 20 games,BOS@CGY,away
offense,133.82,BOS,all,last 20 games,BOS@CGY,away
defense,99.0,BOS,all,last 20 games,BOS@CGY,away
cum_dif,34.81999999999999,BOS,all,last 20 games,BOS@CGY,away
Points,0.97,BOS,all,last 10 games,BOS@CGY,away
Goals For,0.81,BOS,all,last 10 games,BOS@CGY,away
Goal Differential,0.94,BOS,all,last 10 games,BOS@CGY,away
Shooting %,0.88,BOS,all,last 10 games,BOS@CGY,away
Save %,0.92,BOS,all,last 10 games,BOS@CGY,away
sv%,0.931,BOS,all,last 10 games,BOS@CGY,away
Blocked shot attempt %,0.56,BOS,all,last 10 games,BOS@CGY,away
Blocked shot attempt % against,0.41,BOS,all,last 10 games,BOS@CGY,away
Expected Goals For,0.38,BOS,all,last 10 games,BOS@CGY,away
XG Differential,0.39,BOS,all,last 10 games,BOS@CGY,away
Shot (FW) Volume,0.41,BOS,all,last 10 games,BOS@CGY,away
Shot (FW) Differential,0.47,BOS,all,last 10 games,BOS@CGY,away
Penalty Differential,0.77,BOS,all,last 10 games,BOS@CGY,away
offense_p60_perc,0.58,BOS,all,last 10 games,BOS@CGY,away
defense_p60_perc,0.83,BOS,all,last 10 games,BOS@CGY,away
cum_dif_p60_perc,0.81,BOS,all,last 10 games,BOS@CGY,away
offense,66.03999999999999,BOS,all,last 10 games,BOS@CGY,away
defense,53.37,BOS,all,last 10 games,BOS@CGY,away
cum_dif,12.669999999999995,BOS,all,last 10 games,BOS@CGY,away
Points,0.98,BOS,all,last 5 games,BOS@CGY,away
Goals For,0.84,BOS,all,last 5 games,BOS@CGY,away
Goal Differential,0.88,BOS,all,last 5 games,BOS@CGY,away
Shooting %,0.95,BOS,all,last 5 games,BOS@CGY,away
Save %,0.88,BOS,all,last 5 games,BOS@CGY,away
sv%,0.927,BOS,all,last 5 games,BOS@CGY,away
Blocked shot attempt %,0.64,BOS,all,last 5 games,BOS@CGY,away
Blocked shot attempt % against,0.19,BOS,all,last 5 games,BOS@CGY,away
Expected Goals For,0.62,BOS,all,last 5 games,BOS@CGY,away
XG Differential,0.67,BOS,all,last 5 games,BOS@CGY,away
Shot (FW) Volume,0.62,BOS,all,last 5 games,BOS@CGY,away
Shot (FW) Differential,0.59,BOS,all,last 5 games,BOS@CGY,away
Penalty Differential,0.56,BOS,all,last 5 games,BOS@CGY,away
offense_p60_perc,0.75,BOS,all,last 5 games,BOS@CGY,away
defense_p60_perc,0.84,BOS,all,last 5 games,BOS@CGY,away
cum_dif_p60_perc,0.86,BOS,all,last 5 games,BOS@CGY,away
offense,37.239999999999995,BOS,all,last 5 games,BOS@CGY,away
defense,25.689999999999998,BOS,all,last 5 games,BOS@CGY,away
cum_dif,11.549999999999997,BOS,all,last 5 games,BOS@CGY,away
Points,1.0,BOS,5on5,all,BOS@CGY,away
Goals For,1.0,BOS,5on5,all,BOS@CGY,away
Goal Differential,1.0,BOS,5on5,all,BOS@CGY,away
Shooting %,0.95,BOS,5on5,all,BOS@CGY,away
Save %,1.0,BOS,5on5,all,BOS@CGY,away
sv%,0.937,BOS,5on5,all,BOS@CGY,away
Blocked shot attempt %,0.97,BOS,5on5,all,BOS@CGY,away
Blocked shot attempt % against,0.75,BOS,5on5,all,BOS@CGY,away
Expected Goals For,0.75,BOS,5on5,all,BOS@CGY,away
XG Differential,0.91,BOS,5on5,all,BOS@CGY,away
Shot (FW) Volume,0.59,BOS,5on5,all,BOS@CGY,away
Shot (FW) Differential,0.72,BOS,5on5,all,BOS@CGY,away
Penalty Differential,0.59,BOS,5on5,all,BOS@CGY,away
offense_p60_perc,0.91,BOS,5on5,all,BOS@CGY,away
defense_p60_perc,1.0,BOS,5on5,all,BOS@CGY,away
cum_dif_p60_perc,1.0,BOS,5on5,all,BOS@CGY,away
offense,306.53999999999996,BOS,5on5,all,BOS@CGY,away
defense,211.05,BOS,5on5,all,BOS@CGY,away
cum_dif,95.48999999999995,BOS,5on5,all,BOS@CGY,away
Points,0.97,BOS,5on5,last 20 games,BOS@CGY,away
Goals For,0.94,BOS,5on5,last 20 games,BOS@CGY,away
Goal Differential,1.0,BOS,5on5,last 20 games,BOS@CGY,away
Shooting %,1.0,BOS,5on5,last 20 games,BOS@CGY,away
Save %,1.0,BOS,5on5,last 20 games,BOS@CGY,away
sv%,0.942,BOS,5on5,last 20 games,BOS@CGY,away
Blocked shot attempt %,0.88,BOS,5on5,last 20 games,BOS@CGY,away
Blocked shot attempt % against,0.81,BOS,5on5,last 20 games,BOS@CGY,away
Expected Goals For,0.45,BOS,5on5,last 20 games,BOS@CGY,away
XG Differential,0.67,BOS,5on5,last 20 games,BOS@CGY,away
Shot (FW) Volume,0.38,BOS,5on5,last 20 games,BOS@CGY,away
Shot (FW) Differential,0.47,BOS,5on5,last 20 games,BOS@CGY,away
Penalty Differential,0.62,BOS,5on5,last 20 games,BOS@CGY,away
offense_p60_perc,0.73,BOS,5on5,last 20 games,BOS@CGY,away
defense_p60_perc,0.98,BOS,5on5,last 20 games,BOS@CGY,away
cum_dif_p60_perc,0.95,BOS,5on5,last 20 games,BOS@CGY,away
