team,position,num,cf_name,player_id,player,line
CAR,C,11,Jordan Staal,8473533.0,Jordan Staal,2nd line
CAR,LW,48,Jordan Martinook,8476921.0,Jordan Martinook,2nd line
CAR,C,18,Jack Drury,8480835.0,Jack Drury,4th line
CAR,LW,82,Jesperi Kotkaniemi,8480829.0,Jesperi Kotkaniemi,3rd line
CAR,RW,71,Jesper Fast,8475855.0,Jesper Fast,4th line
CAR,LD,,Shayne Gostisbehere,8476906.0,Shayne Gostisbehere,3rd pair
CAR,RD,8,Brent Burns,8470613.0,Brent Burns,1st pair
CAR,LD,7,Dmitry Orlov,8475200.0,Dmitry Orlov,2nd pair
CAR,RD,5,Jalen Chatfield,8478970.0,Jalen Chatfield,2nd pair
CAR,RD,,Sean Walker,8480336.0,Sean Walker,3rd pair
CAR,G,31,Frederik Andersen,8475883.0,Frederik Andersen,Goalie
CAR,G,52,Pyotr Kochetkov,8481611.0,Pyotr Kochetkov,Goalie
CAR,F,,Eric Robinson,8480762.0,Eric Robinson,Scratch
CAR,F,28.0,Brendan Lemieux,8477962.0,Brendan Lemieux,Scratch
CAR,D,56.0,Scott Morrow,8482666.0,Scott Morrow,Scratch
CAR,LD,74,Jaccob Slavin,8476958.0,Jaccob Slavin,1st pair
CAR,C,20,Sebastian Aho,8478427.0,Sebastian Aho,1st line
CAR,LW,37,Andrei Svechnikov,8480830.0,Andrei Svechnikov,1st line
CBJ,F,64.0,Trey Fix-Wolansky,8480441.0,Trey Fix-Wolansky,Scratch
CBJ,G,90,Elvis Merzlikins,8478007.0,Elvis Merzlikins,Goalie
CBJ,LD,3,Jack Johnson,8471677.0,Jack Johnson,3rd pair
CBJ,F,67.0,James Malatesta,8482744.0,James Malatesta,Scratch
CBJ,G,40,Daniil Tarasov,8480193.0,Daniil Tarasov,Goalie
CBJ,D,23.0,Jake Christiansen,,Jake Christiansen,Scratch
CBJ,F,91,Kent Johnson,8482660.0,Kent Johnson,IR
CBJ,F,29,Patrik Laine,8479339.0,Patrik Laine,Error
CBJ,RD,44,Erik Gudbranson,8475790.0,Erik Gudbranson,2nd pair
CBJ,LD,9,Ivan Provorov,8478500.0,Ivan Provorov,2nd pair
CBJ,RD,78,Damon Severson,8476923.0,Damon Severson,1st pair
CBJ,LD,8,Zachary Werenski,8478460.0,Zach Werenski,1st pair
CBJ,RW,24,Mathieu Olivier,8479671.0,Mathieu Olivier,4th line
CBJ,C,7,Sean Kuraly,8476374.0,Sean Kuraly,4th line
CBJ,LW,82,Mikael Pyyhtia,8482451.0,Mikael Pyyhtia,4th line
CBJ,RD,55,David Jiricek,8483460.0,David Jiricek,3rd pair
CBJ,C,4,Cole Sillinger,8482705.0,Cole Sillinger,3rd line
CBJ,LW,10,Dmitri Voronkov,8481716.0,Dmitri Voronkov,3rd line
CBJ,RW,59,Yegor Chinakhov,8482475.0,Yegor Chinakhov,2nd line
CBJ,C,19,Adam Fantilli,8484166.0,Adam Fantilli,2nd line
CBJ,LW,38,Boone Jenner,8476432.0,Boone Jenner,2nd line
CBJ,RW,86,Kirill Marchenko,8480893.0,Kirill Marchenko,1st line
CBJ,C,23,Sean Monahan,8477497.0,Sean Monahan,1st line
CBJ,LW,13,Johnny Gaudreau,8476346.0,Johnny Gaudreau,1st line
CBJ,RW,17,Justin Danforth,8479941.0,Justin Danforth,3rd line
CGY,LD,52,MacKenzie Weegar,8477346.0,MacKenzie Weegar,1st pair
CGY,RD,4,Rasmus Andersson,8478397.0,Rasmus Andersson,1st pair
CGY,LD,7,Kevin Bahl,8480860.0,Kevin Bahl,2nd pair
CGY,RD,62,Daniil Miromanov,8482624.0,Daniil Miromanov,2nd pair
CGY,G,80,Daniel Vladar,8478435.0,Dan Vladar,Goalie
CGY,RD,94,Brayden Pachal,8481167.0,Brayden Pachal,3rd pair
CGY,G,32,Dustin Wolf,8481692.0,Dustin Wolf,Goalie
CGY,RW,70,Ryan Lomberg,8479066.0,Ryan Lomberg,4th line
CGY,F,15.0,Dryden Hunt,8478211.0,Dryden Hunt,Scratch
CGY,D,44.0,Joel Hanley,8477810.0,Joel Hanley,Scratch
CGY,LD,24,Jake Bean,8479402.0,Jake Bean,3rd pair
CGY,F,71.0,Walker Duehr,8482652.0,Walker Duehr,Scratch
CGY,LW,47,Connor Zary,8482074.0,Connor Zary,3rd line
CGY,RW,96,Andrei Kuzmenko,8483808.0,Andrei Kuzmenko,3rd line
CGY,C,76,Martin Pospisil,8481028.0,Martin Pospisil,3rd line
CGY,RW,20,Blake Coleman,8476399.0,Blake Coleman,2nd line
CGY,C,11,Mikael Backlund,8474150.0,Mikael Backlund,2nd line
CGY,LW,17,Yegor Sharangovich,8481068.0,Yegor Sharangovich,2nd line
CGY,RW,39,Anthony Mantha,8477511.0,Anthony Mantha,1st line
CGY,C,91,Nazem Kadri,8475172.0,Nazem Kadri,1st line
CGY,LW,10,Jonathan Huberdeau,8476456.0,Jonathan Huberdeau,1st line
CGY,LW,22,Jakob Pelletier,8481592.0,Jakob Pelletier,4th line
CGY,C,21,Kevin Rooney,8479291.0,Kevin Rooney,4th line
CHI,F,,Craig Smith,8475225.0,Craig Smith,Scratch
CHI,F,,Joey Anderson,8479315.0,Joey Anderson,Scratch
CHI,D,41.0,Isaak Phillips,8482192.0,Isaak Phillips,Scratch
CHI,C,98,Connor Bedard,8484144.0,Connor Bedard,1st line
CHI,LD,72,Alex Vlasic,8481568.0,Alex Vlasic,1st pair
CHI,LW,,Tyler Bertuzzi,8477479.0,Tyler Bertuzzi,2nd line
CHI,C,16,Jason Dickinson,8477450.0,Jason Dickinson,2nd line
CHI,RW,,Teuvo Teravainen,8476882.0,Teuvo Teravainen,2nd line
CHI,LW,27,Lukas Reichel,8482117.0,Lukas Reichel,3rd line
CHI,C,89,Andreas Athanasiou,8476960.0,Andreas Athanasiou,3rd line
CHI,RW,,Ilya Mikheyev,8481624.0,Ilya Mikheyev,3rd line
CHI,LW,17,Nick Foligno,8473422.0,Nick Foligno,4th line
CHI,C,8,Ryan Donato,8477987.0,Ryan Donato,4th line
CHI,RW,,Patrick Maroon,8474034.0,Pat Maroon,4th line
CHI,RW,23,Philipp Kurashev,8480798.0,Philipp Kurashev,1st line
CHI,LD,55,Kevin Korchinski,8483466.0,Kevin Korchinski,2nd pair
CHI,RD,5,Connor Murphy,8476473.0,Connor Murphy,2nd pair
CHI,LD,,Alec Martinez,8474166.0,Alec Martinez,3rd pair
CHI,RD,,TJ Brodie,8474673.0,TJ Brodie,3rd pair
CHI,G,34,Petr Mrazek,8475852.0,Petr Mrazek,Goalie
CHI,G,,Laurent Brossoit,8476316.0,Laurent Brossoit,Goalie
CHI,LW,71,Taylor Hall,8475791.0,Taylor Hall,1st line
CHI,RD,4,Seth Jones,8477495.0,Seth Jones,1st pair
COL,F,41.0,Jason Polin,8484255.0,Jason Polin,Scratch
COL,F,13,Valeri Nichushkin,8477501.0,Valeri Nichushkin,Error
COL,F,92,Gabriel Landeskog,8476455.0,Gabriel Landeskog,IR
COL,D,,Jacob MacDonald,8479439.0,Jacob MacDonald,Scratch
COL,D,70.0,Sam Malinski,8484258.0,Sam Malinski,Scratch
COL,LW,27,Jonathan Drouin,8477494.0,Jonathan Drouin,1st line
COL,LD,7,Devon Toews,8478038.0,Devon Toews,1st pair
COL,G,40,Alexandar Georgiev,8480382.0,Alexandar Georgiev,Goalie
COL,RD,,Erik Brannstrom,8480073.0,Erik Brannstrom,3rd pair
COL,LD,,Calvin De Haan,8475177.0,Calvin de Haan,3rd pair
COL,RD,42,Josh Manson,8476312.0,Josh Manson,2nd pair
COL,LD,49,Samuel Girard,8479398.0,Samuel Girard,2nd pair
COL,RD,8,Cale Makar,8480069.0,Cale Makar,1st pair
COL,RW,94,Joel Kiviranta,8481641.0,Joel Kiviranta,4th line
COL,C,14,Chris Wagner,8475780.0,Chris Wagner,4th line
COL,RW,51,Nikolai Kovalenko,,Nikolai Kovalenko,3rd line
COL,LW,,Parker Kelly,8480448.0,Parker Kelly,4th line
COL,LW,28,Miles Wood,8477425.0,Miles Wood,3rd line
COL,RW,25,Logan O'Connor,8481186.0,Logan O'Connor,2nd line
COL,C,37,Casey Mittelstadt,8479999.0,Casey Mittelstadt,2nd line
COL,LW,62,Artturi Lehkonen,8477476.0,Artturi Lehkonen,2nd line
COL,RW,96,Mikko Rantanen,8478420.0,Mikko Rantanen,1st line
COL,G,60,Justus Annunen,8481020.0,Justus Annunen,Goalie
COL,C,29,Nathan MacKinnon,8477492.0,Nathan MacKinnon,1st line
COL,C,20,Ross Colton,8479525.0,Ross Colton,3rd line
DAL,RD,4,Miro Heiskanen,8480036.0,Miro Heiskanen,1st pair
DAL,LD,55,Thomas Harley,8481581.0,Thomas Harley,1st pair
DAL,RW,43,Colin Blackwell,8476278.0,Colin Blackwell,4th line
DAL,LD,23,Esa Lindell,8476902.0,Esa Lindell,2nd pair
DAL,LW,21,Jason Robertson,8480027.0,Jason Robertson,1st line
DAL,LD,,Ilya Lyubushkin,8480950.0,Ilya Lyubushkin,3rd pair
DAL,RD,,Nils Lundkvist,8480878.0,Nils Lundkvist,3rd pair
DAL,C,18,Sam Steel,8479351.0,Sam Steel,4th line
DAL,G,29,Jake Oettinger,8479979.0,Jake Oettinger,Goalie
DAL,RD,,Matt Dumba,8476856.0,Matt Dumba,2nd pair
DAL,LW,63,Evgeni Dadonov,8474149.0,Evgenii Dadonov,4th line
DAL,G,,Casey DeSmith,8479193.0,Casey DeSmith,Goalie
DAL,C,22,Mavrik Bourque,8482145.0,Mavrik Bourque,3rd line
DAL,LW,14,Jamie Benn,8473994.0,Jamie Benn,3rd line
DAL,RW,91,Tyler Seguin,8475794.0,Tyler Seguin,2nd line
DAL,C,95,Matt Duchene,8475168.0,Matt Duchene,2nd line
DAL,LW,27,Mason Marchment,8478975.0,Mason Marchment,2nd line
DAL,RW,53,Wyatt Johnston,8482740.0,Wyatt Johnston,1st line
DAL,C,24,Roope Hintz,8478449.0,Roope Hintz,1st line
DAL,F,25.0,Matej Blumel,8481712.0,Matej Blumel,Scratch
DAL,F,37.0,Oskar Back,,Oskar Back,Scratch
DAL,D,,Brendan Smith,8474090.0,Brendan Smith,Scratch
DAL,RW,11,Logan Stankoven,8482702.0,Logan Stankoven,3rd line
DET,LD,2,Olli Maatta,8476874.0,Olli Maatta,3rd pair
DET,RW,,Christian Fischer,8478432.0,Christian Fischer,4th line
DET,LW,,Tyler Motte,8477353.0,Tyler Motte,3rd line
DET,D,3.0,Justin Holl,8475718.0,Justin Holl,Scratch
DET,F,,Joe Snively,8481441.0,Joe Snively,Scratch
DET,G,,Cam Talbot,8475660.0,Cam Talbot,Goalie
DET,LW,93,Alex DeBrincat,8479337.0,Alex DeBrincat,1st line
DET,C,71,Dylan Larkin,8477946.0,Dylan Larkin,1st line
DET,RW,23,Lucas Raymond,8482078.0,Lucas Raymond,1st line
DET,LW,27,Michael Rasmussen,8479992.0,Michael Rasmussen,2nd line
DET,C,37,J.T. Compher,8477456.0,J.T. Compher,2nd line
DET,RW,88,Patrick Kane,8474141.0,Patrick Kane,2nd line
DET,RD,,Erik Gustafsson,8476979.0,Erik Gustafsson,3rd pair
