season,game_id,team,desc_new,strength,desc,game_period,time_elapsed,goal_desc
20132014,2013020001,MTL,,other,"Lars Eller (1), Raphael Diaz (1), Alex Galchenyuk (1)",1,10:08,1-0
20132014,2013020001,MTL,,5on5,"Brendan Gallagher (1), Lars Eller (2), Alex Galchenyuk (2)",1,13:54,2-0
20132014,2013020001,TOR,,other,"James van Riemsdyk (1), Phil Kessel (1), Cody Franson (1)",1,8:01,1-2
20132014,2013020001,TOR,,4on5,Tyler Bozak (1),2,17:19,2-2
20132014,2013020001,TOR,,5on5,"Dion Phaneuf (1), Nazem Kadri (1), Nikolay Kulemin (1)",2,8:36,3-2
20132014,2013020001,MTL,,5on5,Lars Eller (2),3,17:38,3-3
20132014,2013020001,TOR,,5on5,"Mason Raymond (1), Troy Bodie (0)",3,5:10,4-3
20132014,2013020002,WSH,,5on4,"Alex Ovechkin (1), Mikhail Grabovski (1), Nicklas Backstrom (1)",1,10:42,1-0
20132014,2013020002,CHI,,5on5,"Patrick Kane (1), Jonathan Toews (1), Michal Rozsival (1)",1,11:06,1-1
20132014,2013020002,CHI,,5on5,"Brandon Bollig (1), Niklas Hjalmarsson (1), Marcus Kruger (1)",1,4:06,2-1
20132014,2013020002,WSH,,5on5,"Mikhail Grabovski (1), Joel Ward (0)",2,10:30,2-2
20132014,2013020002,CHI,,5on4,"Brent Seabrook (1), Marian Hossa (1), Brandon Saad (1)",2,14:32,3-2
20132014,2013020002,WSH,,5on4,"Mikhail Grabovski (2), Mike Green (1), Alex Ovechkin (1)",3,0:59,3-3
20132014,2013020002,CHI,,5on5,"Johnny Oduya (1), Brandon Saad (2), Niklas Hjalmarsson (2)",3,13:53,4-3
20132014,2013020002,CHI,,5on5,Marian Hossa (1),3,19:22,5-3
20132014,2013020002,WSH,,5on4,"Mikhail Grabovski (3), Mike Green (2), Nicklas Backstrom (2)",3,5:16,4-5
20132014,2013020002,CHI,,5on5,"Brandon Saad (1), Michal Handzus (1), Duncan Keith (1)",3,7:55,6-4
20132014,2013020003,WPG,,5on5,"Bryan Little (1), Toby Enstrom (2), Dustin Byfuglien (2)",1,16:12,1-0
20132014,2013020003,EDM,,5on4,"Boyd Gordon (1), Justin Schultz (1), Ales Hemsky (1)",1,18:08,1-1
20132014,2013020003,EDM,,5on5,"Luke Gazdic (1), Will Acton (0)",1,2:21,2-1
20132014,2013020003,WPG,,5on4,"Mark Scheifele (1), Dustin Byfuglien (1), Toby Enstrom (1)",1,3:25,2-2
20132014,2013020003,WPG,,5on5,"Michael Frolik (1), Zach Bogosian (1), Jacob Trouba (1)",2,16:18,3-2
20132014,2013020003,EDM,,5on5,"Ales Hemsky (1), Taylor Hall (1), Ryan Smyth (1)",2,3:38,3-3
20132014,2013020003,EDM,,5on4,"Jesse Joensuu (1), Jordan Eberle (1), Mark Arcobello (1)",2,7:53,4-3
20132014,2013020003,WPG,,5on5,Jacob Trouba (1),3,11:06,4-4
20132014,2013020003,WPG,,5on5,"Michael Frolik (2), Eric Tangradi (3), Dustin Byfuglien (3)",3,14:58,5-4
20132014,2013020004,PHI,,5on4,"Brayden Schenn (1), Vincent Lecavalier (1), Mark Streit (1)",1,19:53,1-0
20132014,2013020004,TOR,,5on5,"Phil Kessel (1), Dion Phaneuf (0)",2,17:06,1-1
20132014,2013020004,TOR,,5on4,"Dave Bolland (2), Joffrey Lupul (2), Cody Franson (2)",3,19:37,2-1
20132014,2013020004,TOR,,5on5,"Dave Bolland (1), Joffrey Lupul (2), Nikolay Kulemin (2)",3,2:30,3-1
20132014,2013020005,DET,,5on5,"Mikael Samuelsson (1), Cory Emmerton (1), Niklas Kronwall (1)",1,12:05,1-0
20132014,2013020005,DET,,5on5,Pavel Datsyuk (1),1,12:41,2-0
20132014,2013020005,BUF,,5on5,"Zemgus Girgensons (1), Brian Flynn (0)",3,12:36,1-2
20132014,2013020006,COL,,5on5,Ryan O'Reilly (1),1,15:39,1-0
20132014,2013020006,COL,,other,"John Mitchell (1), Tyson Barrie (1), Cody McLeod (1)",2,10:42,2-0
20132014,2013020006,COL,,5on5,"Jamie McGinn (1), Nathan MacKinnon (2), Alex Tanguay (2)",2,17:20,3-0
20132014,2013020006,COL,,5on4,"Steve Downie (1), Ryan O'Reilly (1), Alex Tanguay (1)",2,8:38,4-0
20132014,2013020006,COL,,5on5,"Jamie McGinn (2), Nathan MacKinnon (1), PA Parenteau (1)",3,11:14,5-0
20132014,2013020006,COL,,5on4,"Matt Duchene (1), Steve Downie (3), Alex Tanguay (3)",3,13:42,6-0
20132014,2013020006,ANA,,5on5,"Jakob Silfverberg (1), Nick Bonino (1), Mark Fistric (1)",3,19:53,1-6
20132014,2013020007,BOS,,other,Chris Kelly (1),1,11:39,1-0
20132014,2013020007,TBL,,5on5,"Valtteri Filppula (1), Eric Brewer (1), Alex Killorn (1)",2,10:32,1-1
20132014,2013020007,BOS,,5on5,"Milan Lucic (1), David Krejci (0)",2,19:00,2-1
20132014,2013020007,BOS,,other,Patrice Bergeron (1),3,4:02,3-1
20132014,2013020008,PIT,,5on5,"Sidney Crosby (1), Pascal Dupuis (1), Matt Niskanen (1)",1,12:19,1-0
20132014,2013020008,PIT,,5on5,"Chuck Kobasew (1), Brandon Sutter (1), Beau Bennett (1)",1,9:26,2-0
20132014,2013020008,PIT,,5on5,"Craig Adams (1), Evgeni Malkin (1), Tanner Glass (1)",3,11:42,3-0
20132014,2013020009,CGY,,other,"Lee Stempniak (1), Mark Giordano (1), Mikael Backlund (1)",1,10:13,1-0
20132014,2013020009,CGY,,5on4,"Jiri Hudler (1), TJ Brodie (2), Mark Giordano (2)",1,16:22,2-0
20132014,2013020009,CGY,,5on5,"David Jones (1), Sean Monahan (0)",1,5:18,3-0
