full,team,season,PTS,W,Conference,Division,playoffs,gf%,xg_dif,sv%,shooting%,g_dif,PP_g_dif,PK_g_dif,projected_cap_hit,projected_cap_space,5on5_rank,PP_rank,PK_rank,XG_dif_rank,Save%_rank,Shooting%_rank,5on5_color,PP_color,PK_color,xg_color,sv_color,sh_color,expiring_contracts,expiring_salary,nhl_contracts_2324,2023-24 Salary,nhl_contracts_2425,2024-25 Salary,nhl_contracts_2526,2025-26 Salary,nhl_contracts_2627,2026-27 Salary,nhl_contracts_2728,2027-28 Salary,nhl_contracts_2829,2028-29 Salary,cap_remaining,logo,coach,coach_start,GM,gm_start,avg_age_2324,avg_age_2425,avg_age_2526,avg_age_2627,avg_age_2728,avg_age_2829,players_under_contract_2324,players_under_contract_2425,players_under_contract_2526,players_under_contract_2627,players_under_contract_2728,draft_capital_rank
Detroit Red Wings,DET,20222023,80,35,east,atlantic,none,0.462,-14.12,0.9,0.095,-28,+40,-45,78343473,5156527,24,14,13,23,14,8,red,black,black,#fc4d47,black,#3568f2,0.0,0.0,22,0.0,13,55843750,7,38850000,4,27300000,2.0,13800000.0,1.0,8700000.0,5156527.0,DET.png,Derek Lalonde,"June 30, 2022",Steve Yzerman,"April 19, 2019",28.91,30.62,31.43,31.25,33.5,33.0,"Ville Husso, Alex Lyon, James Reimer, Moritz Seider, Jeff Petry, Jake Walman, Justin Holl, Shayne Gostisbehere, Ben Chiarot, Joseph Veleno, Lucas Raymond, Christian Fischer, Michael Rasmussen, Daniel Sprong, Klim Kostin, Robby Fabbri, David Perron, Olli Maatta, Dylan Larkin, Alex DeBrincat, Andrew Copp, J.T. Compher","Ville Husso, Alex Lyon, Jeff Petry, Jake Walman, Justin Holl, Ben Chiarot, Klim Kostin, Robby Fabbri, Olli Maatta, Dylan Larkin, Alex DeBrincat, Andrew Copp, J.T. Compher","Jake Walman, Justin Holl, Ben Chiarot, Dylan Larkin, Alex DeBrincat, Andrew Copp, J.T. Compher","Dylan Larkin, Alex DeBrincat, Andrew Copp, J.T. Compher","Dylan Larkin, J.T. Compher",14.0
Edmonton Oilers,EDM,20222023,109,50,west,pacific,top3,0.541,+35.16,0.912,0.098,+32,+76,-41,83890792,-390792,8,1,10,4,7,5,#3568f2,#052ca3,#3568f2,#052ca3,#3568f2,#052ca3,0.0,0.0,21,0.0,14,72500000,9,53850000,4,24875000,3.0,19875000.0,2.0,14375000.0,-390792.0,EDM.png,Jay Woodcroft,"February 10, 2022",Ken Holland,"May 7, 2019",28.86,30.79,32.33,34.0,35.67,35.0,"Mattias Ekholm, Evan Bouchard, Jack Campbell, Stuart Skinner, Markus Niemelainen, Cody Ceci, Vincent Desharnais, Philip Broberg, Brett Kulak, Darnell Nurse, Ryan McLeod, Derek Ryan, Evander Kane, Zach Hyman, Leon Draisaitl, Connor McDavid, Ryan Nugent-Hopkins, Mattias Janmark, Dylan Holloway, Connor Brown, Warren Foegele","Mattias Ekholm, Evan Bouchard, Jack Campbell, Stuart Skinner, Cody Ceci, Brett Kulak, Darnell Nurse, Ryan McLeod, Derek Ryan, Evander Kane, Zach Hyman, Leon Draisaitl, Connor McDavid, Ryan Nugent-Hopkins","Mattias Ekholm, Jack Campbell, Stuart Skinner, Brett Kulak, Darnell Nurse, Evander Kane, Zach Hyman, Connor McDavid, Ryan Nugent-Hopkins","Jack Campbell, Darnell Nurse, Zach Hyman, Ryan Nugent-Hopkins","Darnell Nurse, Zach Hyman, Ryan Nugent-Hopkins",24.0
Florida Panthers,FLA,20222023,92,42,east,atlantic,none,0.533,+22.74,0.908,0.09,+26,+54,-56,82750001,749999,11,4,19,10,10,11,#3568f2,#052ca3,#fc4d47,#3568f2,#3568f2,#3568f2,0.0,0.0,23,0.0,10,48364167,6,38000000,4,25500000,2.0,19500000.0,2.0,19500000.0,749999.0,FLA.png,Paul Maurice,"June 22, 2022",Bill Zito,"September 2, 2020",28.35,28.6,31.33,31.0,32.5,32.5,"Sam Bennett, Josh Mahura, Dmitry Kulikov, Mike Reilly, Oliver Ekman-Larsson, Niko Mikkola, Gustav Forsling, Ryan Lomberg, Mackie Samoskevich, Anton Lundell, Kevin Stenlund, Steven Lorentz, Nick Cousins, Aleksander Barkov, Matthew Tkachuk, Sam Reinhart, Carter Verhaeghe, Evan Rodrigues, Eetu Luostarinen, Uvis Balinskis, Sergei Bobrovsky, Justin Sourdif, Anthony Stolarz","Sam Bennett, Niko Mikkola, Mackie Samoskevich, Aleksander Barkov, Matthew Tkachuk, Carter Verhaeghe, Evan Rodrigues, Eetu Luostarinen, Sergei Bobrovsky, Justin Sourdif","Niko Mikkola, Aleksander Barkov, Matthew Tkachuk, Evan Rodrigues, Eetu Luostarinen, Sergei Bobrovsky","Aleksander Barkov, Matthew Tkachuk, Evan Rodrigues, Eetu Luostarinen","Aleksander Barkov, Matthew Tkachuk",29.0
Los Angeles Kings,LAK,20222023,104,47,west,pacific,top3,0.522,+24.8,0.902,0.09,+16,+54,-52,83376667,123333,13,4,18,9,12,11,black,#052ca3,#fc4d47,#3568f2,#3568f2,#3568f2,0.0,0.0,20,0.0,12,62225000,8,53700000,6,41200000,4.0,24700000.0,3.0,20500000.0,123333.0,LAK.png,Todd McLellan,"April 16, 2019",Rob Blake,"April 10, 2017",28.95,29.25,31.75,31.83,32.0,31.33,"Cam Talbot, Michael Anderson, Pheonix Copley, Tobias Bjornfot, Andreas Englund, Matt Roy, Vladislav Gavrikov, Trevor Moore, Trevor Lewis, Alex Laferriere, Quinton Byfield, Carl Grundstrom, Blake Lizotte, Viktor Arvidsson, Adrian Kempe, Drew Doughty, Pierre-Luc Dubois, Anze Kopitar, Phillip Danault, Kevin Fiala","Michael Anderson, Tobias Bjornfot, Andreas Englund, Vladislav Gavrikov, Trevor Moore, Alex Laferriere, Adrian Kempe, Drew Doughty, Pierre-Luc Dubois, Anze Kopitar, Phillip Danault, Kevin Fiala","Michael Anderson, Trevor Moore, Adrian Kempe, Drew Doughty, Pierre-Luc Dubois, Anze Kopitar, Phillip Danault, Kevin Fiala","Michael Anderson, Trevor Moore, Drew Doughty, Pierre-Luc Dubois, Phillip Danault, Kevin Fiala","Michael Anderson, Trevor Moore, Pierre-Luc Dubois, Kevin Fiala",23.0
Minnesota Wild,MIN,20222023,103,46,west,central,top3,0.508,+1.53,0.922,0.085,+5,+46,-29,83456921,43079,15,10,4,17,2,14,black,#3568f2,#052ca3,#fc4d47,#052ca3,black,0.0,0.0,21,0.0,15,60238333,10,52800000,7,35925000,5.0,24350000.0,2.0,12250000.0,43079.0,MIN.png,Dean Evason,"February 14, 2020",Bill Guerin,"August 21, 2019",29.9,30.2,31.9,32.86,34.0,30.0,"Kirill Kaprizov, Filip Gustavsson, Matthew Boldy, Mats Zuccarello, Joel Eriksson Ek, Marcus Foligno, Frederick Gaudreau, Ryan Hartman, Brandon Duhaime, Marco Rossi, Connor Dewar, Patrick Maroon, Jared Spurgeon, Jonas Brodin, Jacob Middleton, Alex Goligoski, Jon Merrill, Brock Faber, Calen Addison, Marc-Andre Fleury, Marcus Johansson","Kirill Kaprizov, Filip Gustavsson, Matthew Boldy, Mats Zuccarello, Joel Eriksson Ek, Marcus Foligno, Frederick Gaudreau, Ryan Hartman, Marco Rossi, Jared Spurgeon, Jonas Brodin, Jacob Middleton, Jon Merrill, Brock Faber, Marcus Johansson","Kirill Kaprizov, Filip Gustavsson, Matthew Boldy, Mats Zuccarello, Joel Eriksson Ek, Marcus Foligno, Frederick Gaudreau, Ryan Hartman, Jared Spurgeon, Jonas Brodin","Matthew Boldy, Joel Eriksson Ek, Marcus Foligno, Frederick Gaudreau, Ryan Hartman, Jared Spurgeon, Jonas Brodin","Matthew Boldy, Joel Eriksson Ek, Marcus Foligno, Frederick Gaudreau, Jonas Brodin",18.0
Montreal Canadiens,MTL,20222023,68,31,east,atlantic,none,0.442,-56.74,0.897,0.096,-46,+30,-65,88727916,-5227916,25,20,20,30,16,7,red,#fc4d47,#fc4d47,red,black,#3568f2,0.0,0.0,23,0.0,18,58095000,7,38862500,5,30625000,2.0,15725000.0,2.0,15725000.0,-5227916.0,MTL.png,Martin St. Louis,"February 9, 2022",Kent Hughes,"January 18, 2022",26.78,27.72,28.57,29.6,29.0,29.0,"Kaiden Guhle, Johnathan Kovacevic, Jake Allen, Samuel Montembeault, Cayden Primeau, Justin Barron, Jordan Harris, David Savard, Michael Matheson, Nick Suzuki, Cole Caufield, Brendan Gallagher, Josh Anderson, Joel Armia, Kirby Dach, Tanner Pearson, Alex Newhook, Sean Monahan, Jake Evans, Rafael Harvey-Pinard, Juraj Slafkovsky, Michael Pezzetta, Jesse Ylonen","Kaiden Guhle, Johnathan Kovacevic, Jake Allen, Cayden Primeau, Jordan Harris, David Savard, Michael Matheson, Nick Suzuki, Cole Caufield, Brendan Gallagher, Josh Anderson, Joel Armia, Kirby Dach, Alex Newhook, Jake Evans, Rafael Harvey-Pinard, Juraj Slafkovsky, Michael Pezzetta","Michael Matheson, Nick Suzuki, Cole Caufield, Brendan Gallagher, Josh Anderson, Kirby Dach, Alex Newhook","Nick Suzuki, Cole Caufield, Brendan Gallagher, Josh Anderson, Alex Newhook","Nick Suzuki, Cole Caufield",4.0
Nashville Predators,NSH,20222023,92,42,west,central,none,0.491,-17.34,0.92,0.086,-6,+35,-39,76368365,7131635,18,17,9,24,3,13,#fc4d47,#fc4d47,#3568f2,red,#052ca3,black,0.0,0.0,23,0.0,11,47898643,7,36416143,3,22059000,2.0,17559000.0,1.0,8500000.0,7131635.0,NSH.png,Andrew Brunette,"May 31, 2023",Barry Trotz,"July 1, 2023",28.7,31.36,33.86,35.33,37.0,35.0,"Yakov Trenin, Kevin Lankinen, Juuse Saros, Jeremy Lauzon, Dante Fabbro, Alexandre Carrier, Luke Schenn, Tyson Barrie, Ryan McDonagh, Roman Josi, Cole Smith, Kiefer Sherwood, Michael McCarron, Samuel Fagemo, Luke Evangelista, Thomas Novak, Juuso Parssinen, Filip Forsberg, Ryan O'Reilly, Gustav Nyquist, Colton Sissons, Cody Glass, Philip Tomasino","Juuse Saros, Jeremy Lauzon, Luke Schenn, Ryan McDonagh, Roman Josi, Luke Evangelista, Filip Forsberg, Ryan O'Reilly, Gustav Nyquist, Colton Sissons, Cody Glass","Jeremy Lauzon, Luke Schenn, Ryan McDonagh, Roman Josi, Filip Forsberg, Ryan O'Reilly, Colton Sissons","Roman Josi, Filip Forsberg, Ryan O'Reilly","Roman Josi, Filip Forsberg",3.0
New Jersey Devils,NJD,20222023,112,52,east,metro,top3,0.572,+57.78,0.912,0.095,+56,+33,-29,81580833,1919167,2,18,4,2,7,8,#052ca3,#fc4d47,#052ca3,#052ca3,#3568f2,#3568f2,0.0,0.0,23,0.0,15,66494167,9,57875000,8,54725000,5.0,37075000.0,3.0,24675000.0,1919167.0,NJD.png,Lindy Ruff,"July 9, 2020",Tom Fitzgerald,"January 12, 2020",27.61,27.87,30.11,30.5,32.0,30.67,"Luke Hughes, Vitek Vanecek, Akira Schmid, Kevin Bahl, Jonas Siegenthaler, Colin Miller, Timo Meier, Jack Hughes, Jesper Bratt, Nico Hischier, Ondrej Palat, Tyler Toffoli, Erik Haula, Michael McLeod, Nathan Bastian, Curtis Lazar, Tomas Nosek, Alexander Holtz, Dawson Mercer, Chris Tierney, Dougie Hamilton, John Marino, Brendan Smith","Luke Hughes, Vitek Vanecek, Kevin Bahl, Jonas Siegenthaler, Timo Meier, Jack Hughes, Jesper Bratt, Nico Hischier, Ondrej Palat, Erik Haula, Nathan Bastian, Curtis Lazar, Alexander Holtz, Dougie Hamilton, John Marino","Jonas Siegenthaler, Timo Meier, Jack Hughes, Jesper Bratt, Nico Hischier, Ondrej Palat, Erik Haula, Dougie Hamilton, John Marino","Jonas Siegenthaler, Timo Meier, Jack Hughes, Jesper Bratt, Nico Hischier, Ondrej Palat, Dougie Hamilton, John Marino","Jonas Siegenthaler, Timo Meier, Jack Hughes, Jesper Bratt, Dougie Hamilton",20.0
New York Islanders,NYI,20222023,93,42,east,metro,none,0.539,-3.75,0.92,0.093,+28,+24,-27,83986625,-486625,10,23,2,18,3,9,#3568f2,#fc4d47,#052ca3,#fc4d47,#052ca3,#3568f2,0.0,0.0,22,0.0,18,81412500,11,61550000,9,49550000,7.0,44300000.0,7.0,44300000.0,-486625.0,NYI.png,Lane Lambert,"May 16, 2022",Lou Lamoriello,"June 5, 2018",29.64,30.39,32.73,33.33,34.14,34.14,"Bo Horvat, Mathew Barzal, Ryan Pulock, Adam Pelech, Hudson Fasching, Oliver Wahlstrom, Matt Martin, Cal Clutterbuck, Casey Cizikas, Pierre Engvall, Kyle Palmieri, Jean-Gabriel Pageau, Brock Nelson, Julien Gauthier, Anders Lee, Noah Dobson, Scott Mayfield, Alexander Romanov, Sebastian Aho, Samuel Bolduc, Ilya Sorokin, Semyon Varlamov","Bo Horvat, Mathew Barzal, Ryan Pulock, Adam Pelech, Hudson Fasching, Casey Cizikas, Pierre Engvall, Kyle Palmieri, Jean-Gabriel Pageau, Brock Nelson, Julien Gauthier, Anders Lee, Noah Dobson, Scott Mayfield, Alexander Romanov, Samuel Bolduc, Ilya Sorokin, Semyon Varlamov","Bo Horvat, Mathew Barzal, Ryan Pulock, Adam Pelech, Casey Cizikas, Pierre Engvall, Jean-Gabriel Pageau, Anders Lee, Scott Mayfield, Ilya Sorokin, Semyon Varlamov","Bo Horvat, Mathew Barzal, Ryan Pulock, Adam Pelech, Casey Cizikas, Pierre Engvall, Scott Mayfield, Ilya Sorokin, Semyon Varlamov","Bo Horvat, Mathew Barzal, Ryan Pulock, Adam Pelech, Pierre Engvall, Scott Mayfield, Ilya Sorokin",22.0
New York Rangers,NYR,20222023,107,47,east,metro,top3,0.549,-4.05,0.919,0.097,+35,+48,-26,81996583,1503417,6,8,1,19,4,6,#052ca3,#3568f2,#052ca3,#fc4d47,#052ca3,#052ca3,0.0,0.0,22,0.0,14,72151524,8,57847024,6,38204167,3.0,23625000.0,3.0,23625000.0,1503417.0,NYR.png,Peter Laviolette,"June 13, 2023",Chris Drury,"May 5, 2021",29.0,28.86,31.88,32.5,34.33,34.33,"Mika Zibanejad, Chris Kreider, Artemi Panarin, Vincent Trocheck, Alexis Lafreniere, Barclay Goodrow, Filip Chytil, Kaapo Kakko, Will Cuylle, Blake Wheeler, Nick Bonino, Jimmy Vesey, Tyler Pitlick, Adam Fox, Jacob Trouba, Zachary Jones, Ryan Lindgren, Braden Schneider, Erik Gustafsson, Igor Shesterkin, Jonathan Quick, K'Andre Miller","Mika Zibanejad, Chris Kreider, Artemi Panarin, Vincent Trocheck, Alexis Lafreniere, Barclay Goodrow, Filip Chytil, Will Cuylle, Jimmy Vesey, Adam Fox, Jacob Trouba, Zachary Jones, Igor Shesterkin, K'Andre Miller","Mika Zibanejad, Chris Kreider, Artemi Panarin, Vincent Trocheck, Barclay Goodrow, Filip Chytil, Adam Fox, Jacob Trouba","Mika Zibanejad, Chris Kreider, Vincent Trocheck, Barclay Goodrow, Filip Chytil, Adam Fox","Mika Zibanejad, Vincent Trocheck, Adam Fox",27.0
Ottawa Senators,OTT,20222023,86,39,east,atlantic,none,0.465,+16.36,0.902,0.08,-25,+58,-45,81799047,1700953,22,2,13,12,12,18,#fc4d47,#052ca3,black,#3568f2,#3568f2,#fc4d47,1.0,0.0,20,0.0,15,66554047,9,49905714,7,46180714,5.0,36605714.0,2.0,16400000.0,1700953.0,OTT.png,D. J. Smith,"May 23, 2019",Pierre Dorion,"April 10, 2016",27.45,28.33,28.22,28.86,30.2,27.0,"Anton Forsberg, Brady Tkachuk, Tim Stutzle, Claude Giroux, Vladimir Tarasenko, Drake Batherson, Mathieu Joseph, Dominik Kubalik, Ridly Greig, Mark Kastelic, Rourke Chartier, Zack MacEwen, Parker Kelly, Joonas Korpisalo, Jakob Chychrun, Artem Zub, Erik Brannstrom, Travis Hamonic, Jake Sanderson, Thomas Chabot","Anton Forsberg, Brady Tkachuk, Tim Stutzle, Claude Giroux, Drake Batherson, Mathieu Joseph, Ridly Greig, Mark Kastelic, Zack MacEwen, Joonas Korpisalo, Jakob Chychrun, Artem Zub, Travis Hamonic, Jake Sanderson, Thomas Chabot","Brady Tkachuk, Tim Stutzle, Drake Batherson, Mathieu Joseph, Zack MacEwen, Joonas Korpisalo, Artem Zub, Jake Sanderson, Thomas Chabot","Brady Tkachuk, Tim Stutzle, Drake Batherson, Joonas Korpisalo, Artem Zub, Jake Sanderson, Thomas Chabot","Brady Tkachuk, Tim Stutzle, Joonas Korpisalo, Jake Sanderson, Thomas Chabot",10.0
Philadelphia Flyers,PHI,20222023,77,32,east,metro,none,0.469,-23.1,0.907,0.084,-23,+25,-45,80719595,2780405,21,22,13,26,11,15,#fc4d47,#fc4d47,black,red,#3568f2,black,0.0,0.0,23,0.0,14,47041666,7,26103333,3,19000000,3.0,19000000.0,2.0,14000000.0,2780405.0,PHI.png,John Tortorella,"June 17, 2022",Daniel Briere,"March 10, 2023",27.3,28.21,29.43,30.67,32.67,34.5,"Garnet Hathaway, Felix Sandstrom, Samuel Ersson, Carter Hart, Nick Seeler, Emil Andrae, Marc Staal, Cam York, Sean Walker, Travis Sanheim, Bobby Brink, Ryan Poehling, Owen Tippett, Nicolas Deslauriers, Morgan Frost, Noah Cates, Scott Laughton, Joel Farabee, Travis Konecny, Cam Atkinson, Sean Couturier, Tyson Foerster, Yegor Zamula","Garnet Hathaway, Samuel Ersson, Emil Andrae, Cam York, Travis Sanheim, Nicolas Deslauriers, Morgan Frost, Noah Cates, Scott Laughton, Joel Farabee, Travis Konecny, Cam Atkinson, Sean Couturier, Tyson Foerster","Samuel Ersson, Emil Andrae, Travis Sanheim, Nicolas Deslauriers, Scott Laughton, Joel Farabee, Sean Couturier","Travis Sanheim, Joel Farabee, Sean Couturier","Travis Sanheim, Joel Farabee, Sean Couturier",5.0
Pittsburgh Penguins,PIT,20222023,91,40,east,metro,none,0.495,+27.01,0.911,0.082,-4,+47,-46,82554342,945658,17,9,14,7,8,16,#fc4d47,#3568f2,black,#3568f2,#3568f2,black,0.0,0.0,22,0.0,15,66975175,8,44200000,6,36100000,5.0,26100000.0,1.0,4500000.0,945658.0,PIT.png,Mike Sullivan,"December 12, 2015",Kyle Dubas,"August 3, 2023",31.18,32.73,34.75,35.0,36.6,34.0,"Rickard Rakell, Bryan Rust, Sidney Crosby, Reilly Smith, Jeff Carter, Lars Eller, Noel Acciari, Jake Guentzel, Evgeni Malkin, Drew O'Connor, Matt Nieto, Marcus Pettersson, Erik Karlsson, Alex Nedeljkovic, Tristan Jarry, Ryan Shea, John Ludvig, Chad Ruhwedel, Pierre-Olivier Joseph, Ryan Graves, Kris Letang, Jansen Harkins","Rickard Rakell, Bryan Rust, Sidney Crosby, Reilly Smith, Lars Eller, Noel Acciari, Evgeni Malkin, Drew O'Connor, Matt Nieto, Marcus Pettersson, Erik Karlsson, Tristan Jarry, John Ludvig, Ryan Graves, Kris Letang","Rickard Rakell, Bryan Rust, Noel Acciari, Evgeni Malkin, Erik Karlsson, Tristan Jarry, Ryan Graves, Kris Letang","Rickard Rakell, Bryan Rust, Erik Karlsson, Tristan Jarry, Ryan Graves, Kris Letang","Rickard Rakell, Bryan Rust, Tristan Jarry, Ryan Graves, Kris Letang",28.0
San Jose Sharks,SJS,20222023,60,22,west,pacific,none,0.426,-10.2,0.884,0.092,-63,+25,-37,80283334,3216666,26,22,8,21,18,10,red,#fc4d47,#3568f2,#fc4d47,#fc4d47,#3568f2,0.0,0.0,23,0.0,13,37200833,6,21600833,1,8137500,1.0,8137500.0,1.0,8137500.0,3216666.0,SJS.png,David Quinn,"July 21, 2022",Mike Grier,"July 5, 2022",27.83,29.62,30.83,33.0,35.0,35.0,"Mackenzie Blackwood, Thomas Bordeleau, William Eklund, Givani Smith, Marc-Edouard Vlasic, Mario Ferraro, Jan Rutta, Matthew Benning, Nikolai Knyzhov, Kyle Burroughs, Henry Thrun, Ty Emberson, Filip Zadina, Fabian Zetterlund, Kaapo Kahkonen, Alexander Barabanov, Tomas Hertl, Mikael Granlund, Kevin Labanc, Mike Hoffman, Anthony Duclair, Luke Kunin, Nico Sturm","Mackenzie Blackwood, William Eklund, Givani Smith, Marc-Edouard Vlasic, Mario Ferraro, Jan Rutta, Matthew Benning, Nikolai Knyzhov, Kyle Burroughs, Fabian Zetterlund, Tomas Hertl, Mikael Granlund, Nico Sturm","William Eklund, Marc-Edouard Vlasic, Mario Ferraro, Matthew Benning, Kyle Burroughs, Tomas Hertl",Tomas Hertl,Tomas Hertl,7.0
St. Louis Blues,STL,20222023,81,37,west,central,none,0.476,-47.97,0.9,0.103,-20,+32,-52,83218929,281071,20,19,18,29,14,3,#fc4d47,#fc4d47,#fc4d47,red,black,#052ca3,0.0,0.0,23,0.0,15,69782262,10,60321429,7,48250000,4.0,29250000.0,3.0,22750000.0,281071.0,STL.png,Craig Berube,"November 19, 2018",Doug Armstrong,"July 1, 2010",28.87,29.73,32.7,33.14,33.75,32.33,"Joel Hofer, Jordan Binnington, Scott Perunovich, Tyler Tucker, Robert Bortuzzo, Nick Leddy, Jordan Kyrou, Marco Scandella, Robert Thomas, Brayden Schenn, Brandon Saad, Kevin Hayes, Kasperi Kapanen, Jakub Vrana, Pavel Buchnevich, Samuel Blais, Jake Neighbours, Nikita Alexandrov, Colton Parayko, Oskar Sundqvist, Justin Faulk, Alexey Toropchenko, Torey Krug","Joel Hofer, Jordan Binnington, Tyler Tucker, Nick Leddy, Jordan Kyrou, Robert Thomas, Brayden Schenn, Brandon Saad, Kevin Hayes, Pavel Buchnevich, Jake Neighbours, Colton Parayko, Justin Faulk, Alexey Toropchenko, Torey Krug","Jordan Binnington, Nick Leddy, Jordan Kyrou, Robert Thomas, Brayden Schenn, Brandon Saad, Kevin Hayes, Colton Parayko, Justin Faulk, Torey Krug","Jordan Binnington, Jordan Kyrou, Robert Thomas, Brayden Schenn, Colton Parayko, Justin Faulk, Torey Krug","Jordan Kyrou, Robert Thomas, Brayden Schenn, Colton Parayko",9.0
Tampa Bay Lightning,TBL,20222023,98,46,east,atlantic,top3,0.523,+13.84,0.912,0.095,+17,+56,-42,90448333,-6948333,12,3,11,15,7,8,#3568f2,#052ca3,#3568f2,black,#3568f2,#3568f2,0.0,0.0,23,0.0,16,66390000,9,51575000,7,48600000,6.0,39100000.0,6.0,39100000.0,-6948333.0,TBL.png,Jon Cooper,"March 25, 2013",Julien BriseBois,"September 11, 2018",29.48,29.88,30.22,30.71,32.17,32.17,"Nicholas Paul, Waltteri Merela, Brandon Hagel, Conor Sheary, Tanner Jeannot, Anthony Cirelli, Steven Stamkos, Nikita Kucherov, Jonas Johansson, Victor Hedman, Darren Raddysh, Matt Tomkins, Luke Glendening, Tyler Motte, Austin Watson, Mikhail Sergachev, Erik Cernak, Nick Perbix, Zach Bogosian, Calvin De Haan, Haydn Fleury, Michael Eyssimont, Brayden Point","Nicholas Paul, Brandon Hagel, Conor Sheary, Tanner Jeannot, Anthony Cirelli, Nikita Kucherov, Jonas Johansson, Victor Hedman, Darren Raddysh, Matt Tomkins, Luke Glendening, Mikhail Sergachev, Erik Cernak, Nick Perbix, Michael Eyssimont, Brayden Point","Nicholas Paul, Brandon Hagel, Conor Sheary, Anthony Cirelli, Nikita Kucherov, Darren Raddysh, Mikhail Sergachev, Erik Cernak, Brayden Point","Nicholas Paul, Brandon Hagel, Anthony Cirelli, Nikita Kucherov, Mikhail Sergachev, Erik Cernak, Brayden Point","Nicholas Paul, Brandon Hagel, Anthony Cirelli, Mikhail Sergachev, Erik Cernak, Brayden Point",32.0
Toronto Maple Leafs,TOR,20222023,111,50,east,atlantic,top3,0.565,+31.7,0.919,0.096,+46,+53,-33,96756450,-13256450,4,5,6,5,4,7,#052ca3,#052ca3,#052ca3,#052ca3,#052ca3,#3568f2,0.0,0.0,21,0.0,11,53040500,6,27445833,3,23150000,2.0,20750000.0,1.0,7500000.0,-13256450.0,TOR.png,Sheldon Keefe,"November 20, 2019",Brad Treliving,"May 31, 2023",29.1,29.55,31.33,31.67,33.5,35.0,"Joseph Woll, Auston Matthews, John Tavares, Mitchell Marner, William Nylander, Tyler Bertuzzi, Max Domi, David Kampf, Calle Jarnkrok, Ryan Reaves, Matthew Knies, Fraser Minten, Noah Gregor, Morgan Rielly, TJ Brodie, John Klingberg, Jake McCabe, Timothy Liljegren, Mark Giordano, Simon Benoit, Ilya Samsonov","Joseph Woll, Auston Matthews, John Tavares, Mitchell Marner, David Kampf, Calle Jarnkrok, Ryan Reaves, Matthew Knies, Fraser Minten, Morgan Rielly, Jake McCabe","Auston Matthews, David Kampf, Calle Jarnkrok, Ryan Reaves, Fraser Minten, Morgan Rielly","Auston Matthews, David Kampf, Morgan Rielly","Auston Matthews, Morgan Rielly",30.0
Vancouver Canucks,VAN,20222023,83,38,west,pacific,none,0.47,-19.23,0.898,0.096,-23,+45,-47,85542917,-2042917,21,11,15,25,15,7,#fc4d47,#3568f2,black,red,black,#3568f2,0.0,0.0,22,0.0,12,46225000,5,29050000,2,15850000,1.0,8000000.0,1.0,8000000.0,-2042917.0,VAN.png,Rick Tocchet,"January 22, 2023",Patrik Allvin,"January 26, 2022",28.27,28.67,30.2,30.5,36.0,36.0,"Guillaume Brisebois, Noah Juulsen, Thatcher Demko, Casey DeSmith, Ian Cole, Carson Soucy, Tyler Myers, J.T. Miller, Elias Pettersson, Brock Boeser, Andrei Kuzmenko, Conor Garland, Anthony Beauvillier, Teddy Blueger, Pius Suter, Sam Lafferty, Nils Hoglander, Vasily Podkolzin, Dakota Joshua, Phillip Di Giuseppe, Quinn Hughes, Filip Hronek","Guillaume Brisebois, Noah Juulsen, Thatcher Demko, Carson Soucy, J.T. Miller, Brock Boeser, Andrei Kuzmenko, Conor Garland, Pius Suter, Nils Hoglander, Phillip Di Giuseppe, Quinn Hughes","Thatcher Demko, Carson Soucy, J.T. Miller, Conor Garland, Quinn Hughes","J.T. Miller, Quinn Hughes",J.T. Miller,21.0
Vegas Golden Knights,VGK,20222023,111,51,west,pacific,top3,0.537,+16.7,0.918,0.095,+28,+37,-28,87648317,-4148317,10,16,3,11,5,8,#3568f2,black,#052ca3,#3568f2,#052ca3,#3568f2,0.0,0.0,23,0.0,16,63912500,8,43826683,5,32200000,1.0,5000000.0,0.0,0.0,-4148317.0,VGK.png,Bruce Cassidy,"June 14, 2022",Kelly McCrimmon,"September 1, 2019",27.87,28.75,30.0,33.4,33.0,,"Michael Amadio, Keegan Kolesar, William Carrier, Paul Cotter, Brett Howden, Chandler Stephenson, Nicolas Roy, Ivan Barbashev, Jonathan Marchessault, William Karlsson, Logan Thompson, Adin Hill, Brayden Pachal, Kaedan Korczak, Ben Hutton, Nicolas Hague, Brayden McNabb, Shea Theodore, Alex Pietrangelo, Jakub Demek, Jack Eichel, Pavel Dorofeyev, Mark Stone","Keegan Kolesar, Paul Cotter, Brett Howden, Nicolas Roy, Ivan Barbashev, William Karlsson, Logan Thompson, Adin Hill, Brayden Pachal, Nicolas Hague, Brayden McNabb, Shea Theodore, Alex Pietrangelo, Jakub Demek, Jack Eichel, Mark Stone","Paul Cotter, Nicolas Roy, Ivan Barbashev, William Karlsson, Alex Pietrangelo, Jakub Demek, Jack Eichel, Mark Stone","Nicolas Roy, Ivan Barbashev, William Karlsson, Alex Pietrangelo, Mark Stone",Ivan Barbashev,16.5
