player_id,player,position,shoots_catches,height,weight,birth_date,birth_country,draft_year,draft_team,round,pick,overall,primary_number,headshot,mp_name,cw_name,dupe_names
8475799,Nino Niederreiter,R,L,"6'2""",218,1992-09-08,SUI,2010,NYI,1,5,5,62,https://assets.nhle.com/mugs/nhl/20232024/WPG/8475799.png,Nino Niederreiter,Nino Niederreiter,
8475800,Teemu Pulkkinen,L,R,"5'10""",185,1992-01-02,FIN,2010,DET,4,21,111,67,https://assets.nhle.com/mugs/nhl/latest/8475800.png,Teemu Pulkkinen,Teemu Pulkkinen,
8475807,Joakim Nordstrom,C,L,"6'1""",194,1992-02-25,SWE,2010,CHI,3,30,90,20,https://assets.nhle.com/mugs/nhl/latest/8475807.png,Joakim Nordstrom,Joakim Nordstrom,
8475808,Michael Chaput,C,L,"6'2""",199,1992-04-09,CAN,2010,PHI,3,29,89,26,https://assets.nhle.com/mugs/nhl/latest/8475808.png,Michael Chaput,Michael Chaput,
8475809,Scott Wedgewood,G,L,"6'2""",201,1992-08-14,CAN,2010,NJD,3,24,84,41,https://assets.nhle.com/mugs/nhl/20232024/DAL/8475809.png,Scott Wedgewood,Scott Wedgewood,
8475810,Bryan Rust,R,R,"5'11""",192,1992-05-11,USA,2010,PIT,3,20,80,17,https://assets.nhle.com/mugs/nhl/20232024/PIT/8475810.png,Bryan Rust,Bryan Rust,
8475815,Julian Melchiori,D,L,"6'5""",222,1991-12-06,CAN,2010,ATL,3,27,87,44,https://assets.nhle.com/mugs/nhl/latest/8475815.png,Julian Melchiori,Julian Melchiori,
8475816,Stanislav Galiev,R,R,"6'1""",197,1992-01-17,RUS,2010,WSH,3,26,86,16,https://assets.nhle.com/mugs/nhl/latest/8475816.png,Stanislav Galiev,Stanislav Galiev,
8475820,Joonas Donskoi,R,R,"6'0""",185,1992-04-13,FIN,2010,FLA,4,9,99,72,https://assets.nhle.com/mugs/nhl/latest/8475820.png,Joonas Donskoi,Joonas Donskoi,
8475824,Sami Aittokallio,G,L,"6'1""",185,1992-08-06,FIN,2010,COL,4,17,107,74,https://assets.nhle.com/mugs/nhl/latest/8475824.png,Sami Aittokallio,Sami Aittokallio,
8475825,Jani Hakanpää,D,R,"6'7""",222,1992-03-31,FIN,2010,STL,4,14,104,2,https://assets.nhle.com/mugs/nhl/20232024/DAL/8475825.png,Jani Hakanpaa,Jani Hakanpaa,
8475826,Justin Shugg,R,R,"5'11""",185,1991-12-24,CAN,2010,CAR,4,15,105,52,https://assets.nhle.com/mugs/nhl/latest/8475826.png,Justin Shugg,Justin Shugg,
8475829,John Ramage,D,R,"6'0""",190,1991-02-07,CAN,2010,CGY,4,13,103,0,https://assets.nhle.com/mugs/nhl/latest/8475829.png,John Ramage,John Ramage,
8475831,Philipp Grubauer,G,L,"6'1""",188,1991-11-25,GER,2010,WSH,4,22,112,31,https://assets.nhle.com/mugs/nhl/20232024/SEA/8475831.png,Philipp Grubauer,Philipp Grubauer,
8475832,Tom Kuhnhackl,R,L,"6'2""",190,1992-01-21,GER,2010,PIT,4,20,110,14,https://assets.nhle.com/mugs/nhl/latest/8475832.png,Tom Kuhnhackl,Tom Kuhnhackl,
8475833,Bill Arnold,C,R,"6'0""",193,1992-05-13,USA,2010,CGY,4,18,108,46,https://assets.nhle.com/mugs/nhl/latest/8475833.png,Bill Arnold,Bill Arnold,
8475834,Marcus Sorensen,L,L,"5'11""",175,1992-04-07,SWE,2010,OTT,4,16,106,20,https://assets.nhle.com/mugs/nhl/latest/8475834.png,Marcus Sorensen,Marcus Sorensen,
8475836,Alex Friesen,C,L,"5'9""",186,1991-01-30,CAN,2010,VAN,6,22,172,53,https://assets.nhle.com/mugs/nhl/latest/8475836.png,Alex Friesen,Alex Friesen,
8475839,Louis Domingue,G,R,"6'3""",209,1992-03-06,CAN,2010,PHX,5,18,138,70,https://assets.nhle.com/mugs/nhl/20232024/NYR/8475839.png,Louis Domingue,Louis Domingue,
8475841,Tim Heed,D,R,"5'11""",180,1991-01-27,SWE,2010,ANA,5,12,132,72,https://assets.nhle.com/mugs/nhl/latest/8475841.png,Tim Heed,Tim Heed,
8475842,Sam Carrick,C,R,"6'0""",200,1992-02-04,CAN,2010,TOR,5,24,144,39,https://assets.nhle.com/mugs/nhl/20232024/EDM/8475842.png,Sam Carrick,Sam Carrick,
8475844,Kenny Agostino,L,L,"6'0""",204,1992-04-30,USA,2010,PIT,5,20,140,18,https://assets.nhle.com/mugs/nhl/latest/8475844.png,Kenny Agostino,Kenny Agostino,
8475845,Justin Florek,L,L,"6'4""",205,1990-05-18,USA,2010,BOS,5,15,135,46,https://assets.nhle.com/mugs/nhl/latest/8475845.png,Justin Florek,Justin Florek,
8475848,Brendan Gallagher,R,R,"5'9""",183,1992-05-06,CAN,2010,MTL,5,27,147,11,https://assets.nhle.com/mugs/nhl/20232024/MTL/8475848.png,Brendan Gallagher,Brendan Gallagher,
8475852,Petr Mrazek,G,L,"6'2""",188,1992-02-14,CZE,2010,DET,5,21,141,34,https://assets.nhle.com/mugs/nhl/20232024/CHI/8475852.png,Petr Mrazek,Petr Mrazek,
8475855,Jesper Fast,R,R,"6'1""",191,1991-12-02,SWE,2010,NYR,6,7,157,71,https://assets.nhle.com/mugs/nhl/20232024/CAR/8475855.png,Jesper Fast,Jesper Fast,
8475857,Kevin Gravel,D,L,"6'4""",205,1992-03-06,USA,2010,LAK,5,28,148,5,https://assets.nhle.com/mugs/nhl/20232024/NSH/8475857.png,Kevin Gravel,Kevin Gravel,
8475868,Anthony Bitetto,D,L,"6'1""",222,1990-07-15,USA,2010,NSH,6,18,168,2,https://assets.nhle.com/mugs/nhl/latest/8475868.png,Anthony Bitetto,Anthony Bitetto,
8475869,Brandon Davidson,D,L,"6'2""",204,1991-08-21,CAN,2010,EDM,6,12,162,88,https://assets.nhle.com/mugs/nhl/latest/8475869.png,Brandon Davidson,Brandon Davidson,
8475876,Zane McIntyre,G,L,"6'2""",206,1992-08-20,USA,2010,BOS,6,15,165,31,https://assets.nhle.com/mugs/nhl/20232024/MIN/8475876.png,Zane McIntyre,Zane McIntyre,
8475878,Freddie Hamilton,C,R,"6'1""",195,1992-01-01,CAN,2010,SJS,5,9,129,13,https://assets.nhle.com/mugs/nhl/latest/8475878.png,Freddie Hamilton,Freddie Hamilton,
8475883,Frederik Andersen,G,L,"6'4""",238,1989-10-02,DEN,2012,ANA,3,26,87,31,https://assets.nhle.com/mugs/nhl/20232024/CAR/8475883.png,Frederik Andersen,Frederik Andersen,
8475889,Patrick Holland,R,R,"6'0""",185,1992-01-07,CAN,2010,CGY,7,13,193,0,https://assets.nhle.com/mugs/nhl/latest/8475889.png,Patrick Holland,,
8475893,Joonas Rask,C,R,"5'11""",168,1990-03-24,FIN,2010,NSH,7,18,198,72,https://assets.nhle.com/mugs/nhl/latest/8475893.png,Joonas Rask,,
8475896,Brendan Ranford,L,L,"5'10""",205,1992-05-03,CAN,2010,PHI,7,29,209,0,https://assets.nhle.com/mugs/nhl/latest/8475896.png,Brendan Ranford,Brendan Ranford,
8475902,Zach Trotman,D,R,"6'3""",217,1990-08-26,USA,2010,BOS,7,30,210,55,https://assets.nhle.com/mugs/nhl/latest/8475902.png,Zach Trotman,Zach Trotman,
8475906,John Klingberg,D,R,"6'2""",185,1992-08-14,SWE,2010,DAL,5,11,131,3,https://assets.nhle.com/mugs/nhl/20232024/TOR/8475906.png,John Klingberg,John Klingberg,
8475907,Micheal Ferland,L,L,"6'1""",217,1992-04-20,CAN,2010,CGY,5,13,133,79,https://assets.nhle.com/mugs/nhl/latest/8475907.png,Micheal Ferland,Micheal Ferland,
